wavelength (nm), n, k
1.99976099e2, 1.13000000, 1.70000000
2.01601921e2, 1.16075700, 1.71334200
2.03254396e2, 1.18372700, 1.72668300
2.04934184e2, 1.20002300, 1.74002300
2.06641969e2, 1.21075900, 1.75336400
2.08378456e2, 1.21708900, 1.76674400
2.10144375e2, 1.21995100, 1.77999000
2.11940481e2, 1.22025300, 1.79289900
2.13767554e2, 1.21967300, 1.80607700
2.15626402e2, 1.22017100, 1.82015800
2.17517862e2, 1.22348800, 1.83564900
2.19442799e2, 1.22967900, 1.85227400
2.21402109e2, 1.24060700, 1.87022800
2.23396723e2, 1.25719700, 1.88953300
2.25427602e2, 1.27757400, 1.90970600
2.27495745e2, 1.30006200, 1.93005100
2.29602188e2, 1.32341800, 1.95017800
2.31748002e2, 1.34722200, 1.97010800
2.33934304e2, 1.36966100, 1.99049200
2.36162250e2, 1.39029600, 2.01123700
2.38433041e2, 1.40981400, 2.03167400
2.40747925e2, 1.43138400, 2.04939700
2.43108199e2, 1.45510300, 2.06421400
2.45515210e2, 1.47918900, 2.07726300
2.47970363e2, 1.49901100, 2.09021300
2.50475114e2, 1.51356000, 2.10423300
2.53030982e2, 1.52336500, 2.12046000
2.55639549e2, 1.53030800, 2.14108200
2.58302461e2, 1.53513300, 2.16651700
2.61021434e2, 1.53830000, 2.19662300
2.63798258e2, 1.54000300, 2.23078600
2.66634798e2, 1.54073500, 2.26831400
2.69533003e2, 1.54066500, 2.30857400
2.72494904e2, 1.53900900, 2.35117300
2.75522625e2, 1.53669600, 2.39542200
2.78618385e2, 1.53610600, 2.43925800
2.81784503e2, 1.54199800, 2.47821800
2.85023405e2, 1.55529000, 2.51221700
2.88337631e2, 1.57552600, 2.54506000
2.91729838e2, 1.60070900, 2.58437400
2.95202813e2, 1.62986100, 2.63257800
2.98759473e2, 1.65994600, 2.68603500
3.02402881e2, 1.68729300, 2.73797300
3.06136250e2, 1.71133200, 2.78546500
3.09962953e2, 1.73752300, 2.83217600
3.13886535e2, 1.77292400, 2.88345600
3.17910721e2, 1.82270800, 2.94219000
3.22039432e2, 1.88945400, 3.00974800
3.26276793e2, 1.97464800, 3.08612200
3.30627150e2, 2.07883600, 3.17083900
3.35095085e2, 2.20005000, 3.25086100
3.39685428e2, 2.33558600, 3.31461700
3.44403281e2, 2.48234800, 3.35029600
3.49254032e2, 2.63340600, 3.36748400
3.54243375e2, 2.78246900, 3.37428800
3.59377337e2, 2.92322300, 3.38042100
3.64662298e2, 3.05307900, 3.37935100
3.70105019e2, 3.17010800, 3.36575900
3.75712671e2, 3.27347200, 3.33402400
3.81492866e2, 3.36992700, 3.29110700
3.87453692e2, 3.46682900, 3.24404900
3.93603750e2, 3.57100400, 3.19819500
3.99952198e2, 3.68179200, 3.14399300
4.06508791e2, 3.79762300, 3.06928000
4.13283938e2, 3.91474700, 2.96589700
4.20288750e2, 4.02505800, 2.84066900
4.27535108e2, 4.11586700, 2.70584600
4.35035724e2, 4.18034400, 2.57194400
4.42804219e2, 4.22226300, 2.44468700
4.50855205e2, 4.25436900, 2.33138700
4.59204375e2, 4.28346900, 2.23466800
4.67868609e2, 4.31002700, 2.15273300
4.76866082e2, 4.33034600, 2.07338800
4.86216397e2, 4.34335200, 1.99177800
4.95940725e2, 4.34950200, 1.90768300
5.06061964e2, 4.34905900, 1.82565600
5.16604922e2, 4.34281800, 1.74832000
5.27596516e2, 4.33204200, 1.67802300
5.39066006e2, 4.31989900, 1.62075400
5.51045250e2, 4.30807700, 1.57839900
5.63569006e2, 4.29754100, 1.55030200
5.76675262e2, 4.28719800, 1.52976400
5.90405625e2, 4.27902600, 1.51356000
6.04805762e2, 4.27818500, 1.49812800
6.19925906e2, 4.29794900, 1.47794100
6.35821443e2, 4.34263900, 1.44909100
6.52553586e2, 4.40716600, 1.40843100
6.70190169e2, 4.47079900, 1.35360900
6.88806563e2, 4.52612600, 1.28230800
7.08486750e2, 4.56900800, 1.19929000
7.29324596e2, 4.59969300, 1.11702300
7.51425341e2, 4.61389400, 1.04094200
7.74907383e2, 4.61209100, 9.74962000e-1
7.99904395e2, 4.59753600, 9.21484000e-1
8.26567875e2, 4.56934100, 8.87800000e-1
8.55070216e2, 4.53400900, 8.61246000e-1
8.85608438e2, 4.50051200, 8.22270000e-1
9.18408750e2, 4.47766500, 7.53496000e-1
9.53732164e2, 4.45938600, 6.71773000e-1
9.91881450e2, 4.43738300, 5.99035000e-1
1.03320984e3, 4.40581900, 5.51319000e-1
1.07813201e3, 4.37086800, 5.17698000e-1
1.12713801e3, 4.33819500, 4.88390000e-1
1.18081125e3, 4.31013900, 4.61103000e-1
1.23985181e3, 4.29126900, 4.29142000e-1
1.30510717e3, 4.27975700, 3.97716000e-1
1.37761313e3, 4.26416100, 3.91465000e-1
1.45864919e3, 4.25390600, 3.78644000e-1
1.54981477e3, 4.24476500, 3.63657000e-1
1.65313575e3, 4.23665100, 3.47745000e-1
1.77121688e3, 4.23456200, 3.36001000e-1
1.90746433e3, 4.24000000, 3.18000000e-1
2.06641969e3, 4.24629200, 3.06921000e-1
2.25427602e3, 4.25683000, 2.77446000e-1
2.47970363e3, 4.29621700, 2.39628000e-1
