wavelength (nm), n, k
2.06641969e2, 6.40000000e-1, 8.60000000e-1
2.08378456e2, 6.34300000e-1, 8.68627000e-1
2.10144375e2, 6.28600000e-1, 8.78630000e-1
2.11940481e2, 6.22900000e-1, 8.89939000e-1
2.13767554e2, 6.17200000e-1, 9.02487000e-1
2.15626402e2, 6.11500000e-1, 9.16204000e-1
2.17517862e2, 6.05800000e-1, 9.31022000e-1
2.19442799e2, 6.00100000e-1, 9.46872000e-1
2.21402109e2, 5.94400000e-1, 9.63687000e-1
2.23396723e2, 5.88701000e-1, 9.81397000e-1
2.25427602e2, 5.83001000e-1, 9.99933000e-1
2.27495745e2, 5.77003000e-1, 1.01982400
2.29602188e2, 5.70740000e-1, 1.04093300
2.31748002e2, 5.64680000e-1, 1.06226000
2.33934304e2, 5.58958000e-1, 1.08346000
2.36162250e2, 5.53714000e-1, 1.10419200
2.38433041e2, 5.49216000e-1, 1.12384400
2.40747925e2, 5.45929000e-1, 1.14142100
2.43108199e2, 5.43364000e-1, 1.15783200
2.45515210e2, 5.41521000e-1, 1.17300800
2.47970363e2, 5.40400000e-1, 1.18688100
2.50475114e2, 5.40001000e-1, 1.19938200
2.53030982e2, 5.40614000e-1, 1.20608800
2.55639549e2, 5.41901000e-1, 1.21201100
2.58302461e2, 5.43777000e-1, 1.21835900
2.61021434e2, 5.46172000e-1, 1.22609400
2.63798258e2, 5.49018000e-1, 1.23617500
2.66634798e2, 5.51821000e-1, 1.25105300
2.69533003e2, 5.54833000e-1, 1.27056800
2.72494904e2, 5.58321000e-1, 1.29450100
2.75522625e2, 5.62355000e-1, 1.32333300
2.78618385e2, 5.67002000e-1, 1.35754400
2.81784503e2, 5.72729000e-1, 1.40079400
2.85023405e2, 5.79663000e-1, 1.45403900
2.88337631e2, 5.87125000e-1, 1.51176300
2.91729838e2, 5.94977000e-1, 1.57280200
2.95202813e2, 6.03081000e-1, 1.63598800
2.98759473e2, 6.11201000e-1, 1.69955600
3.02402881e2, 6.18801000e-1, 1.75995100
3.06136250e2, 6.26401000e-1, 1.81994800
3.09962953e2, 6.34001000e-1, 1.87920500
3.13886535e2, 6.41601000e-1, 1.93737900
3.17910721e2, 6.49201000e-1, 1.99412700
3.22039432e2, 6.54049000e-1, 2.04387800
3.26276793e2, 6.59178000e-1, 2.09205100
3.30627150e2, 6.65607000e-1, 2.14023800
3.35095085e2, 6.74021000e-1, 2.18940000
3.39685428e2, 6.85106000e-1, 2.24049700
3.44403281e2, 7.00732000e-1, 2.29744600
3.49254032e2, 7.20837000e-1, 2.35934200
3.54243375e2, 7.45000000e-1, 2.42437500
3.59377337e2, 7.73495000e-1, 2.49247600
3.64662298e2, 8.06596000e-1, 2.56357700
3.70105019e2, 8.44810000e-1, 2.64074500
3.75712671e2, 8.88522000e-1, 2.72541400
3.81492866e2, 9.37477000e-1, 2.81034400
3.87453692e2, 9.91810000e-1, 2.89361300
3.93603750e2, 1.05165900, 2.97330100
3.99952198e2, 1.11726100, 3.04672200
4.06508791e2, 1.18945600, 3.10655900
4.13283938e2, 1.26735200, 3.15879700
4.20288750e2, 1.35088000, 3.20309200
4.27535108e2, 1.43997100, 3.23910200
4.35035724e2, 1.53455700, 3.26648500
4.42804219e2, 1.63613100, 3.27996100
4.50855205e2, 1.74301600, 3.28427000
4.59204375e2, 1.85443100, 3.28132300
4.67868609e2, 1.96989700, 3.27208000
4.76866082e2, 2.08893400, 3.25750200
4.86216397e2, 2.21069600, 3.23999700
4.95940725e2, 2.33488100, 3.21981900
5.06061964e2, 2.46141200, 3.19632000
5.16604922e2, 2.58994600, 3.16991200
5.27596516e2, 2.72014100, 3.14100500
5.39066006e2, 2.85115500, 3.11001200
5.51045250e2, 2.98218700, 3.07734400
5.63569006e2, 3.11430300, 3.04341200
5.76675262e2, 3.24750100, 3.00862900
5.90405625e2, 3.38178300, 2.97340400
6.04805762e2, 3.51776300, 2.93815200
6.19925906e2, 3.66543400, 2.90328200
6.35821443e2, 3.81151600, 2.86920500
6.52553586e2, 3.95347200, 2.83633500
6.70190169e2, 4.08876500, 2.80508200
6.88806563e2, 4.21485700, 2.77585700
7.08486750e2, 4.32114600, 2.77497400
7.29324596e2, 4.41274800, 2.77826000
7.51425341e2, 4.49158600, 2.77179900
7.74907383e2, 4.55738400, 2.74873200
7.99904395e2, 4.60986900, 2.70219900
8.26567875e2, 4.64183200, 2.58540700
8.55070216e2, 4.65520100, 2.40417100
8.85608438e2, 4.65883000, 2.20422600
9.18408750e2, 4.65532500, 1.99531500
9.53732164e2, 4.64729300, 1.78717700
9.91881450e2, 4.63734100, 1.58955100
1.03320984e3, 4.62807400, 1.41217700
1.07813201e3, 4.62210000, 1.26479500
1.12713801e3, 4.62202500, 1.15714600
1.18081125e3, 4.63045700, 1.09896700
1.23985181e3, 4.65000000, 1.10000000
