wavelength (nm), n, k
1.90746433e2, 8.60000000e-1, 1.44000000
1.92225087e2, 8.60125000e-1, 1.45182500
1.93726846e2, 8.59791000e-1, 1.46452900
1.95252254e2, 8.59225000e-1, 1.47806600
1.96801875e2, 8.58657000e-1, 1.49239800
1.98376290e2, 8.58313000e-1, 1.50747800
1.99976099e2, 8.58421000e-1, 1.52326100
2.01601921e2, 8.59211000e-1, 1.53970700
2.03254396e2, 8.60912000e-1, 1.55677200
2.04934184e2, 8.63749000e-1, 1.57441200
2.06641969e2, 8.67952000e-1, 1.59258300
2.08378456e2, 8.73749000e-1, 1.61124300
2.10144375e2, 8.81368000e-1, 1.63034800
2.11940481e2, 8.90000000e-1, 1.65000000
2.13767554e2, 8.98834000e-1, 1.67030000
2.15626402e2, 9.07061000e-1, 1.69134800
2.17517862e2, 9.12512000e-1, 1.71374400
2.19442799e2, 9.16037000e-1, 1.73698100
2.21402109e2, 9.20000000e-1, 1.76000000
2.23396723e2, 9.27097000e-1, 1.78115600
2.25427602e2, 9.35963000e-1, 1.80180200
2.27495745e2, 9.47027000e-1, 1.82264000
2.29602188e2, 9.59623000e-1, 1.84355500
2.31748002e2, 9.72195000e-1, 1.86403300
2.33934304e2, 9.83174000e-1, 1.88377200
2.36162250e2, 9.94888000e-1, 1.90269500
2.38433041e2, 1.00947500, 1.92043700
2.40747925e2, 1.02626100, 1.93714200
2.43108199e2, 1.04325400, 1.95311400
2.45515210e2, 1.05915400, 1.96847300
2.47970363e2, 1.07424700, 1.98379100
2.50475114e2, 1.08825900, 1.99984300
2.53030982e2, 1.10095000, 2.01652500
2.55639549e2, 1.11181500, 2.03349200
2.58302461e2, 1.12019300, 2.05071900
2.61021434e2, 1.12830200, 2.06694700
2.63798258e2, 1.13858700, 2.07994900
2.66634798e2, 1.15021300, 2.09125100
2.69533003e2, 1.16297700, 2.10222800
2.72494904e2, 1.17721500, 2.11389200
2.75522625e2, 1.18837700, 2.12709500
2.78618385e2, 1.18911600, 2.14408500
2.81784503e2, 1.18448400, 2.16351500
2.85023405e2, 1.17950000, 2.18393500
2.88337631e2, 1.17817700, 2.20413400
2.91729838e2, 1.17938600, 2.22553600
2.95202813e2, 1.18590200, 2.24958200
2.98759473e2, 1.19473900, 2.27483000
3.02402881e2, 1.20228600, 2.29903600
3.06136250e2, 1.20678200, 2.32157100
3.09962953e2, 1.20962200, 2.34507000
3.13886535e2, 1.21098500, 2.37228800
3.17910721e2, 1.21083100, 2.40174600
3.22039432e2, 1.20807100, 2.43223900
3.26276793e2, 1.20314300, 2.46309200
3.30627150e2, 1.20014100, 2.49389200
3.35095085e2, 1.20549200, 2.52304500
3.39685428e2, 1.21449100, 2.55208300
3.44403281e2, 1.22211800, 2.58282400
3.49254032e2, 1.22647100, 2.61589100
3.54243375e2, 1.23000000, 2.65000000
3.59377337e2, 1.23324200, 2.68396900
3.64662298e2, 1.23708300, 2.71869400
3.70105019e2, 1.24245300, 2.75466000
3.75712671e2, 1.25003200, 2.79197600
3.81492866e2, 1.26000000, 2.83000000
3.87453692e2, 1.27458900, 2.86782400
3.93603750e2, 1.29049500, 2.90637200
3.99952198e2, 1.30457900, 2.94579400
4.06508791e2, 1.31624700, 2.98659500
4.13283938e2, 1.33000000, 3.03000000
4.20288750e2, 1.34804400, 3.07690800
4.27535108e2, 1.36397500, 3.12211400
4.35035724e2, 1.37888400, 3.16686700
4.42804219e2, 1.39386100, 3.21241300
4.50855205e2, 1.41000000, 3.26000000
4.59204375e2, 1.42973300, 3.31251800
4.67868609e2, 1.45110500, 3.36748600
4.76866082e2, 1.47489400, 3.42463700
4.86216397e2, 1.49902600, 3.48272300
4.95940725e2, 1.52000000, 3.54000000
5.06061964e2, 1.53517300, 3.59502400
5.16604922e2, 1.55891800, 3.65490700
5.27596516e2, 1.58759200, 3.71866100
5.39066006e2, 1.61755300, 3.78529100
5.51045250e2, 1.64347000, 3.85335100
5.63569006e2, 1.65858700, 3.92101000
5.76675262e2, 1.67325600, 3.99105000
5.90405625e2, 1.69668000, 4.06611200
6.04805762e2, 1.72649400, 4.14530200
6.19925906e2, 1.75427000, 4.22554600
6.35821443e2, 1.77384800, 4.30418400
6.52553586e2, 1.79233800, 4.38593800
6.70190169e2, 1.81307600, 4.47524800
6.88806563e2, 1.83746900, 4.57103500
7.08486750e2, 1.86660800, 4.66927700
7.29324596e2, 1.90240100, 4.76720200
7.51425341e2, 1.94180300, 4.86901400
7.74907383e2, 1.97431900, 4.97807600
7.99904395e2, 2.01408100, 5.09352400
8.26567875e2, 2.08212100, 5.21439200
8.55070216e2, 2.20053800, 5.34001500
8.85608438e2, 2.31126300, 5.47256200
9.18408750e2, 2.35015900, 5.61212000
9.53732164e2, 2.34956500, 5.76153300
9.91881450e2, 2.34815600, 5.92395800
1.03320984e3, 2.40010600, 6.10331900
1.07813201e3, 2.46617300, 6.29967500
1.12713801e3, 2.54022300, 6.51445700
1.18081125e3, 2.61612300, 6.74909400
1.23985181e3, 2.67911100, 7.00139000
1.30510717e3, 2.72930000, 7.27539900
1.37761313e3, 2.78707800, 7.58368500
1.45864919e3, 2.86072400, 7.93632600
1.54981477e3, 2.94950900, 8.33206700
1.65313575e3, 3.00119300, 8.83167900
1.77121688e3, 3.03806800, 9.41098900
1.90746433e3, 3.26161100, 9.83640300
2.06641969e3, 3.80000000, 9.96000000
2.25427602e3, 3.94562500, 1.06368800e1
2.47970363e3, 4.10000000, 1.14400000e1
