wavelength (nm), n, k
1.77121688e2, 1.07500000, 1.11500000
1.79688669e2, 1.07200000, 1.13600000
1.82331149e2, 1.06400000, 1.17800000
1.85052509e2, 1.07200000, 1.22800000
1.87856335e2, 1.09500000, 1.26000000
1.90746433e2, 1.11300000, 1.28800000
1.93726846e2, 1.14500000, 1.32300000
1.96801875e2, 1.17200000, 1.34700000
1.99976099e2, 1.18800000, 1.36200000
2.03254396e2, 1.20300000, 1.37800000
2.06641969e2, 1.21900000, 1.39400000
2.10144375e2, 1.23400000, 1.40900000
2.13767554e2, 1.24500000, 1.43000000
2.17517862e2, 1.25500000, 1.45000000
2.21402109e2, 1.26200000, 1.46300000
2.25427602e2, 1.27800000, 1.49700000
2.29602188e2, 1.29100000, 1.52500000
2.33934304e2, 1.30400000, 1.54400000
2.38433041e2, 1.32400000, 1.57300000
2.43108199e2, 1.33200000, 1.58800000
2.47970363e2, 1.34400000, 1.61200000
2.53030982e2, 1.36000000, 1.64400000
2.58302461e2, 1.36400000, 1.66100000
2.63798258e2, 1.36900000, 1.70900000
2.69533003e2, 1.38800000, 1.72100000
2.75522625e2, 1.39400000, 1.76700000
2.81784503e2, 1.41700000, 1.79600000
2.88337631e2, 1.43700000, 1.82700000
2.95202813e2, 1.44300000, 1.86600000
3.02402881e2, 1.46100000, 1.88700000
3.09962953e2, 1.46100000, 1.92900000
3.17910721e2, 1.47300000, 1.98000000
3.26276793e2, 1.49500000, 2.03400000
3.35095085e2, 1.50500000, 2.08000000
3.44403281e2, 1.51900000, 2.12500000
3.54243375e2, 1.53700000, 2.19500000
3.64662298e2, 1.57000000, 2.27400000
3.75712671e2, 1.60600000, 2.36100000
3.87453692e2, 1.64200000, 2.42500000
3.99952198e2, 1.68700000, 2.50900000
4.13283938e2, 1.74900000, 2.60300000
4.27535108e2, 1.82600000, 2.69500000
4.42804219e2, 1.90000000, 2.77100000
4.59204375e2, 1.97800000, 2.85100000
4.76866082e2, 2.08800000, 2.93000000
4.95940725e2, 2.21000000, 3.00000000
5.16604922e2, 2.33600000, 3.04200000
5.39066006e2, 2.46300000, 3.06100000
5.63569006e2, 2.56700000, 3.04900000
5.90405625e2, 2.63300000, 3.05000000
6.19925906e2, 2.67400000, 3.07200000
6.52553586e2, 2.72500000, 3.12400000
6.88806563e2, 2.76500000, 3.18200000
7.29324596e2, 2.82300000, 3.26400000
7.74907383e2, 2.87700000, 3.36300000
8.26567875e2, 2.93500000, 3.46500000
8.85608438e2, 3.04400000, 3.59100000
9.53732164e2, 3.09100000, 3.70500000
1.03320984e3, 3.13000000, 3.88300000
1.12713801e3, 3.21700000, 4.09900000
1.23985181e3, 3.33100000, 4.45900000
1.37761313e3, 3.52000000, 4.95200000
1.54981477e3, 3.74800000, 5.14100000
1.77121688e3, 3.94400000, 5.53500000
2.06641969e3, 4.00500000, 6.07200000
2.47970363e3, 4.12200000, 7.01900000
3.09962953e3, 4.53000000, 8.91700000
4.13283938e3, 5.17200000, 1.13920000e1
6.19925906e3, 6.55700000, 1.64420000e1
1.23985181e4, 8.95400000, 2.49870000e1
