wavelength (nm), n, k
1.77121688e2, 1.33600000, 1.09500000
1.79688669e2, 1.32500000, 1.13800000
1.82331149e2, 1.33300000, 1.16000000
1.85052509e2, 1.34200000, 1.18500000
1.87856335e2, 1.35100000, 1.21000000
1.90746433e2, 1.35800000, 1.22900000
1.93726846e2, 1.36800000, 1.23500000
1.96801875e2, 1.37100000, 1.27200000
1.99976099e2, 1.38500000, 1.27900000
2.03254396e2, 1.38700000, 1.28600000
2.06641969e2, 1.38700000, 1.31000000
2.10144375e2, 1.38500000, 1.33000000
2.13767554e2, 1.39800000, 1.37700000
2.17517862e2, 1.42100000, 1.38700000
2.21402109e2, 1.43000000, 1.40200000
2.25427602e2, 1.43100000, 1.42600000
2.29602188e2, 1.43800000, 1.44300000
2.33934304e2, 1.44100000, 1.46400000
2.38433041e2, 1.44500000, 1.49400000
2.43108199e2, 1.44800000, 1.51500000
2.47970363e2, 1.45300000, 1.55900000
2.53030982e2, 1.44900000, 1.57800000
2.58302461e2, 1.45500000, 1.66400000
2.63798258e2, 1.49600000, 1.66300000
2.69533003e2, 1.50700000, 1.70500000
2.75522625e2, 1.51800000, 1.68800000
2.81784503e2, 1.50500000, 1.76800000
2.88337631e2, 1.53300000, 1.81800000
2.95202813e2, 1.54300000, 1.85500000
3.02402881e2, 1.57400000, 1.91100000
3.09962953e2, 1.60700000, 1.95200000
3.17910721e2, 1.64300000, 1.99300000
3.26276793e2, 1.67900000, 2.02800000
3.35095085e2, 1.70300000, 2.06200000
3.44403281e2, 1.72800000, 2.09200000
3.54243375e2, 1.75500000, 2.12600000
3.64662298e2, 1.77800000, 2.17100000
3.75712671e2, 1.79200000, 2.22300000
3.87453692e2, 1.79700000, 2.27700000
3.99952198e2, 1.81500000, 2.36400000
4.13283938e2, 1.86700000, 2.47900000
4.27535108e2, 1.95600000, 2.56900000
4.42804219e2, 2.03900000, 2.62600000
4.59204375e2, 2.11500000, 2.67300000
4.76866082e2, 2.19300000, 2.70800000
4.95940725e2, 2.25400000, 2.74200000
5.16604922e2, 2.29600000, 2.78600000
5.39066006e2, 2.33800000, 2.85400000
5.63569006e2, 2.38400000, 2.94400000
5.90405625e2, 2.45100000, 3.05100000
6.19925906e2, 2.56400000, 3.17300000
6.52553586e2, 2.72800000, 3.27600000
6.88806563e2, 2.88400000, 3.33800000
7.29324596e2, 3.06400000, 3.34700000
7.74907383e2, 3.19900000, 3.31300000
8.26567875e2, 3.27800000, 3.28400000
8.85608438e2, 3.34300000, 3.22300000
9.53732164e2, 3.27200000, 3.10700000
1.03320984e3, 3.05300000, 3.05500000
1.12713801e3, 2.70000000, 3.31300000
1.23985181e3, 2.42700000, 3.95500000
1.37761313e3, 2.37600000, 4.68500000
1.54981477e3, 2.42200000, 5.40200000
1.77121688e3, 2.61200000, 6.20800000
2.06641969e3, 2.99000000, 7.20700000
2.47970363e3, 3.24500000, 8.39600000
3.09962953e3, 3.74200000, 1.05990000e1
4.13283938e3, 4.45000000, 1.37200000e1
6.19925906e3, 5.91600000, 2.00520000e1
1.23985181e4, 8.47500000, 3.07570000e1
