wavelength (nm), n, k
2.06641969e2, 1.38000000, 1.40000000
2.08378456e2, 1.37634100, 1.41720000
2.10144375e2, 1.37162900, 1.43440000
2.11940481e2, 1.36665700, 1.45160000
2.13767554e2, 1.36222200, 1.46879900
2.15626402e2, 1.35960700, 1.48599900
2.17517862e2, 1.35942400, 1.50319900
2.19442799e2, 1.36000000, 1.52039900
2.21402109e2, 1.36000000, 1.53759900
2.23396723e2, 1.36000000, 1.55479900
2.25427602e2, 1.36000000, 1.57199800
2.27495745e2, 1.36000000, 1.58919800
2.29602188e2, 1.36000000, 1.60639900
2.31748002e2, 1.36000000, 1.62360000
2.33934304e2, 1.36000000, 1.64076800
2.36162250e2, 1.36000000, 1.65740300
2.38433041e2, 1.36000000, 1.67487000
2.40747925e2, 1.36000000, 1.69489900
2.43108199e2, 1.36000000, 1.71659700
2.45515210e2, 1.35945000, 1.73850100
2.47970363e2, 1.35872000, 1.76000100
2.50475114e2, 1.36050900, 1.78145100
2.53030982e2, 1.36913400, 1.80239600
2.55639549e2, 1.37805500, 1.82419200
2.58302461e2, 1.38074000, 1.84859100
2.61021434e2, 1.38023400, 1.87460900
2.63798258e2, 1.38106200, 1.90109000
2.66634798e2, 1.38491000, 1.92723800
2.69533003e2, 1.39067400, 1.95212500
2.72494904e2, 1.39876400, 1.97413500
2.75522625e2, 1.40783500, 1.99516400
2.78618385e2, 1.41709000, 2.01600900
2.81784503e2, 1.42573500, 2.03746400
2.85023405e2, 1.43205900, 2.06093400
2.88337631e2, 1.43610500, 2.08665600
2.91729838e2, 1.44076200, 2.11291500
2.95202813e2, 1.44835100, 2.13818200
2.98759473e2, 1.45779000, 2.16433700
3.02402881e2, 1.47008000, 2.19267700
3.06136250e2, 1.48326000, 2.22301600
3.09962953e2, 1.49448100, 2.25648300
3.13886535e2, 1.50313300, 2.29177000
3.17910721e2, 1.51100100, 2.32344900
3.22039432e2, 1.51855900, 2.34576700
3.26276793e2, 1.52792900, 2.36616300
3.30627150e2, 1.54377300, 2.38935200
3.35095085e2, 1.56152100, 2.41543400
3.39685428e2, 1.57519000, 2.44581100
3.44403281e2, 1.58384500, 2.48015600
3.49254032e2, 1.59128400, 2.51560000
3.54243375e2, 1.59937500, 2.55000000
3.59377337e2, 1.60839000, 2.58439900
3.64662298e2, 1.61964800, 2.61879900
3.70105019e2, 1.63287000, 2.65319900
3.75712671e2, 1.64829000, 2.68690100
3.81492866e2, 1.66548700, 2.72074700
3.87453692e2, 1.68319900, 2.75765900
3.93603750e2, 1.70039900, 2.80038500
3.99952198e2, 1.71759900, 2.84398000
4.06508791e2, 1.73426600, 2.88286500
4.13283938e2, 1.75151800, 2.92135600
4.20288750e2, 1.77134000, 2.96425300
4.27535108e2, 1.79312000, 3.01160000
4.35035724e2, 1.81371400, 3.05990500
4.42804219e2, 1.83078500, 3.10720500
4.50855205e2, 1.84793000, 3.15450400
4.59204375e2, 1.86836500, 3.20017800
4.67868609e2, 1.89019600, 3.24771000
4.76866082e2, 1.91087000, 3.30199800
4.86216397e2, 1.93165500, 3.36233300
4.95940725e2, 1.95714600, 3.42400300
5.06061964e2, 1.99057000, 3.48420200
5.16604922e2, 2.02660100, 3.54440100
5.27596516e2, 2.06120000, 3.60515200
5.39066006e2, 2.09560000, 3.66524800
5.51045250e2, 2.13000000, 3.72109400
5.63569006e2, 2.16440000, 3.77583200
5.76675262e2, 2.19879900, 3.83789400
5.90405625e2, 2.23319900, 3.91290100
6.04805762e2, 2.26759900, 3.99415700
6.19925906e2, 2.29863900, 4.07815600
6.35821443e2, 2.33381600, 4.16501500
6.52553586e2, 2.38304900, 4.25363300
6.70190169e2, 2.44379400, 4.34382400
6.88806563e2, 2.50640100, 4.43547100
7.08486750e2, 2.56571500, 4.52847400
7.29324596e2, 2.62706500, 4.62536400
7.51425341e2, 2.69261200, 4.72943900
7.74907383e2, 2.76264900, 4.83840400
7.99904395e2, 2.83876800, 4.95010600
8.26567875e2, 2.92045200, 5.06572100
8.55070216e2, 3.00532300, 5.18783400
8.85608438e2, 3.09257900, 5.31804000
9.18408750e2, 3.18767500, 5.45667700
9.53732164e2, 3.29494500, 5.60742400
9.91881450e2, 3.41489400, 5.76439200
1.03320984e3, 3.54951000, 5.92044600
1.07813201e3, 3.69968100, 6.07874000
1.12713801e3, 3.86595600, 6.24544600
1.18081125e3, 4.04913100, 6.42454200
1.23985181e3, 4.25000000, 6.62000000
1.30510717e3, 4.50000000, 6.77000000
1.37761313e3, 4.77000000, 6.91000000
1.45864919e3, 5.05000000, 6.98000000
1.54981477e3, 5.31000000, 7.04000000
1.65313575e3, 5.57000000, 7.02000000
1.77121688e3, 5.71000000, 6.83000000
1.90746433e3, 5.52000000, 6.66000000
2.06641969e3, 5.13000000, 6.75000000
2.25427602e3, 4.58000000, 7.14000000
2.47970363e3, 3.91000000, 7.71000000
