wavelength (nm), n, k
2.40000000e2, 1.64010000, 3.38610000
2.42000000e2, 1.65460000, 3.41570000
2.44000000e2, 1.66950000, 3.45790000
2.46000000e2, 1.69100000, 3.51800000
2.48000000e2, 1.70300000, 3.56040000
2.50000000e2, 1.72440000, 3.62770000
2.52000000e2, 1.74610000, 3.68940000
2.54000000e2, 1.77630000, 3.76720000
2.56000000e2, 1.80190000, 3.83150000
2.58000000e2, 1.83130000, 3.91510000
2.60000000e2, 1.88590000, 4.00640000
2.62000000e2, 1.93380000, 4.10290000
2.64000000e2, 2.00230000, 4.19400000
2.66000000e2, 2.07100000, 4.29850000
2.68000000e2, 2.16560000, 4.40940000
2.70000000e2, 2.27290000, 4.51650000
2.72000000e2, 2.39340000, 4.62150000
2.74000000e2, 2.54290000, 4.71530000
2.76000000e2, 2.70030000, 4.79350000
2.78000000e2, 2.88060000, 4.86300000
2.80000000e2, 3.05620000, 4.91350000
2.82000000e2, 3.26330000, 4.94930000
2.84000000e2, 3.48110000, 4.96720000
2.86000000e2, 3.68730000, 4.96300000
2.88000000e2, 3.92610000, 4.91890000
2.90000000e2, 4.14860000, 4.84350000
2.92000000e2, 4.34430000, 4.72470000
2.94000000e2, 4.50660000, 4.57980000
2.96000000e2, 4.63900000, 4.42380000
2.98000000e2, 4.73170000, 4.26730000
3.00000000e2, 4.80650000, 4.12770000
3.02000000e2, 4.85807500, 3.99217600
3.04000000e2, 4.89420000, 3.87290000
3.06000000e2, 4.91965000, 3.76692500
3.08000000e2, 4.93920000, 3.67130000
3.10000000e2, 4.96106900, 3.58086900
3.12000000e2, 4.97970000, 3.49930000
3.14000000e2, 4.98955000, 3.43056200
3.16000000e2, 4.99880000, 3.36860000
3.18000000e2, 5.01626300, 3.30705000
3.20000000e2, 5.03450000, 3.25080000
3.22000000e2, 5.04716900, 3.20431200
3.24000000e2, 5.05980000, 3.16250000
3.26000000e2, 5.07654400, 3.12120600
3.28000000e2, 5.09520000, 3.08210000
3.30000000e2, 5.11463200, 3.04521800
3.32000000e2, 5.13580000, 3.01130000
3.34000000e2, 5.15923700, 2.98163100
3.36000000e2, 5.18510000, 2.95460000
3.38000000e2, 5.21311900, 2.92870000
3.40000000e2, 5.24510000, 2.90490000
3.42000000e2, 5.28321800, 2.88396200
3.44000000e2, 5.32610000, 2.86500000
3.46000000e2, 5.37175600, 2.84819400
3.48000000e2, 5.42420000, 2.83110000
3.50000000e2, 5.48720600, 2.81245600
3.52000000e2, 5.55950000, 2.78890000
3.54000000e2, 5.64143800, 2.75736900
3.56000000e2, 5.73190000, 2.71570000
3.58000000e2, 5.83086200, 2.66235000
3.60000000e2, 5.93540000, 2.59240000
3.62000000e2, 6.04616200, 2.50060700
3.64000000e2, 6.15240000, 2.38640000
3.66000000e2, 6.24520000, 2.24373700
3.68000000e2, 6.31970000, 2.08380000
3.70000000e2, 6.36770600, 1.91408100
3.72000000e2, 6.39030000, 1.73960000
3.74000000e2, 6.38458700, 1.56589300
3.76000000e2, 6.35430000, 1.39890000
3.78000000e2, 6.29890600, 1.24670000
3.80000000e2, 6.22830000, 1.10840000
3.82000000e2, 6.15203100, 9.84000000e-1
3.84000000e2, 6.07060000, 8.78900000e-1
3.86000000e2, 5.98282500, 8.01419000e-1
3.88000000e2, 5.90330000, 7.42800000e-1
3.90000000e2, 5.85758800, 7.05688000e-1
3.92000000e2, 5.81160000, 6.64200000e-1
3.94000000e2, 5.72988100, 5.76688000e-1
3.96000000e2, 5.64210000, 4.93100000e-1
3.98000000e2, 5.56914400, 4.61594000e-1
4.00000000e2, 5.50190000, 4.45900000e-1
4.02000000e2, 5.43735600, 4.24194000e-1
4.04000000e2, 5.37810000, 4.01300000e-1
4.06000000e2, 5.32593200, 3.72225000e-1
4.08000000e2, 5.28020000, 3.44600000e-1
4.10000000e2, 5.24252500, 3.25969000e-1
4.12000000e2, 5.20790000, 3.11600000e-1
4.14000000e2, 5.17100600, 2.99444000e-1
4.16000000e2, 5.13440000, 2.89000000e-1
4.18000000e2, 5.09866900, 2.79381000e-1
4.20000000e2, 5.06440000, 2.69700000e-1
4.22000000e2, 5.04098900, 2.62542000e-1
4.24000000e2, 5.00855000, 2.54895000e-1
4.26000000e2, 4.97077800, 2.46797000e-1
4.28000000e2, 4.93136300, 2.38286000e-1
4.30000000e2, 4.89400000, 2.29400000e-1
4.32000000e2, 4.86724100, 2.19725000e-1
4.34000000e2, 4.84436500, 2.10271000e-1
4.36000000e2, 4.82299500, 2.02026000e-1
4.38000000e2, 4.80178200, 1.95115000e-1
4.40000000e2, 4.78040000, 1.88800000e-1
4.42000000e2, 4.75655300, 1.82549000e-1
4.44000000e2, 4.73252400, 1.76534000e-1
4.46000000e2, 4.70958000, 1.70622000e-1
4.48000000e2, 4.68810600, 1.64845000e-1
4.50000000e2, 4.66760000, 1.59400000e-1
4.52000000e2, 4.64809600, 1.54476000e-1
4.54000000e2, 4.62934400, 1.50032000e-1
