wavelength (nm), n, k
2.40000000e2, 1.64030000, 3.43740000
2.42000000e2, 1.64830000, 3.47630000
2.44000000e2, 1.68970000, 3.49630000
2.46000000e2, 1.73050000, 3.55630000
2.48000000e2, 1.74500000, 3.60680000
2.50000000e2, 1.79470000, 3.65950000
2.52000000e2, 1.83670000, 3.70140000
2.54000000e2, 1.87870000, 3.76610000
2.56000000e2, 1.91200000, 3.81720000
2.58000000e2, 1.96920000, 3.87110000
2.60000000e2, 2.02110000, 3.93630000
2.62000000e2, 2.08530000, 3.99430000
2.64000000e2, 2.15000000, 4.06050000
2.66000000e2, 2.23050000, 4.11320000
2.68000000e2, 2.31750000, 4.17720000
2.70000000e2, 2.39110000, 4.23630000
2.72000000e2, 2.49270000, 4.28670000
2.74000000e2, 2.60740000, 4.33950000
2.76000000e2, 2.70430000, 4.38700000
2.78000000e2, 2.82280000, 4.42570000
2.80000000e2, 2.95040000, 4.45790000
2.82000000e2, 3.07820000, 4.47700000
2.84000000e2, 3.21570000, 4.48990000
2.86000000e2, 3.34530000, 4.50350000
2.88000000e2, 3.49510000, 4.49270000
2.90000000e2, 3.63190000, 4.46530000
2.92000000e2, 3.76560000, 4.43580000
2.94000000e2, 3.88830000, 4.38870000
2.96000000e2, 4.02020000, 4.33470000
2.98000000e2, 4.12440000, 4.26310000
3.00000000e2, 4.23290000, 4.19960000
3.02000000e2, 4.32489300, 4.13056900
3.04000000e2, 4.40750000, 4.05670000
3.06000000e2, 4.48295600, 3.98020600
3.08000000e2, 4.55350000, 3.90330000
3.10000000e2, 4.62438800, 3.82922500
3.12000000e2, 4.68880000, 3.75710000
3.14000000e2, 4.73901200, 3.68718700
3.16000000e2, 4.78300000, 3.61930000
3.18000000e2, 4.82666300, 3.55308800
3.20000000e2, 4.86850000, 3.48930000
3.22000000e2, 4.90875600, 3.42963100
3.24000000e2, 4.94810000, 3.37090000
3.26000000e2, 4.98797500, 3.30836200
3.28000000e2, 5.02630000, 3.24840000
3.30000000e2, 5.06052500, 3.19796800
3.32000000e2, 5.09350000, 3.15060000
3.34000000e2, 5.12722500, 3.10170600
3.36000000e2, 5.16170000, 3.05260000
3.38000000e2, 5.19763100, 3.00233100
3.40000000e2, 5.23490000, 2.95310000
3.42000000e2, 5.27367400, 2.90851900
3.44000000e2, 5.31380000, 2.86340000
3.46000000e2, 5.35501900, 2.81322600
3.48000000e2, 5.39780000, 2.75960000
3.50000000e2, 5.44340600, 2.70213700
3.52000000e2, 5.48920000, 2.64230000
3.54000000e2, 5.53201200, 2.58356200
3.56000000e2, 5.57470000, 2.51950000
3.58000000e2, 5.62116900, 2.44300000
3.60000000e2, 5.66510000, 2.35960000
3.62000000e2, 5.70095000, 2.27277600
3.64000000e2, 5.73030000, 2.18160000
3.66000000e2, 5.75344400, 2.08413100
3.68000000e2, 5.76870000, 1.98690000
3.70000000e2, 5.77374400, 1.89775000
3.72000000e2, 5.77080000, 1.81080000
3.74000000e2, 5.76086200, 1.72139300
3.76000000e2, 5.74530000, 1.63370000
3.78000000e2, 5.72614300, 1.54985600
3.80000000e2, 5.70240000, 1.47130000
3.82000000e2, 5.67223800, 1.40124400
3.84000000e2, 5.64020000, 1.33650000
3.86000000e2, 5.61140600, 1.27455000
3.88000000e2, 5.58230000, 1.21660000
3.90000000e2, 5.55047600, 1.16335700
3.92000000e2, 5.51760000, 1.11380000
3.94000000e2, 5.48423100, 1.06706200
3.96000000e2, 5.45130000, 1.02340000
3.98000000e2, 5.42043100, 9.83038000e-1
4.00000000e2, 5.39010000, 9.45200000e-1
4.02000000e2, 5.35885600, 9.09063000e-1
4.04000000e2, 5.32810000, 8.75000000e-1
4.06000000e2, 5.29888800, 8.43244000e-1
4.08000000e2, 5.27080000, 8.13400000e-1
4.10000000e2, 5.24385600, 7.85331000e-1
4.12000000e2, 5.21780000, 7.58500000e-1
4.14000000e2, 5.19248100, 7.32263000e-1
4.16000000e2, 5.16760000, 7.06800000e-1
4.18000000e2, 5.14289400, 6.82087000e-1
4.20000000e2, 5.11810000, 6.58100000e-1
4.22000000e2, 5.11810000, 6.58100000e-1
4.24000000e2, 5.10090800, 6.38977000e-1
4.26000000e2, 5.07667600, 6.19547000e-1
4.28000000e2, 5.04822000, 6.00078000e-1
4.30000000e2, 5.01835600, 5.80839000e-1
4.32000000e2, 4.98990000, 5.62100000e-1
4.34000000e2, 4.96925200, 5.44655000e-1
4.36000000e2, 4.95154800, 5.27646000e-1
4.38000000e2, 4.93550800, 5.10316000e-1
4.40000000e2, 4.91985200, 4.92756000e-1
4.42000000e2, 4.90330000, 4.75900000e-1
4.44000000e2, 4.88269000, 4.60669000e-1
4.46000000e2, 4.86077500, 4.46698000e-1
4.48000000e2, 4.83894000, 4.33016000e-1
4.50000000e2, 4.81754000, 4.20684000e-1
4.52000000e2, 4.79590000, 4.12800000e-1
4.54000000e2, 4.77069600, 4.21513000e-1
4.56000000e2, 4.74854800, 4.27326000e-1
4.58000000e2, 4.73786900, 4.10158000e-1
4.60000000e2, 4.73715700, 3.71235000e-1
4.62000000e2, 4.73500000, 3.33100000e-1
4.64000000e2, 4.71576000, 3.22897000e-1
4.66000000e2, 4.69264800, 3.19810000e-1
4.68000000e2, 4.67216000, 3.15195000e-1
4.70000000e2, 4.65586400, 3.06585000e-1
4.72000000e2, 4.64040000, 2.97700000e-1
4.74000000e2, 4.62410500, 2.89839000e-1
4.76000000e2, 4.60772700, 2.82190000e-1
4.78000000e2, 4.59104400, 2.74700000e-1
4.80000000e2, 4.57424000, 2.67140000e-1
4.82000000e2, 4.55790000, 2.59100000e-1
4.84000000e2, 4.54257000, 2.49269000e-1
4.86000000e2, 4.52828700, 2.39451000e-1
4.88000000e2, 4.51557800, 2.30867000e-1
4.90000000e2, 4.50431300, 2.23922000e-1
4.92000000e2, 4.49370000, 2.18200000e-1
4.94000000e2, 4.48324600, 2.14315000e-1
4.96000000e2, 4.47256100, 2.10930000e-1
4.98000000e2, 4.46074600, 2.06869000e-1
5.00000000e2, 4.44785700, 2.01874000e-1
5.02000000e2, 4.43490000, 1.96600000e-1
5.04000000e2, 4.42289400, 1.91219000e-1
5.06000000e2, 4.41132700, 1.85987000e-1
5.08000000e2, 4.40024000, 1.81306000e-1
5.10000000e2, 4.38954000, 1.77237000e-1
5.12000000e2, 4.37900000, 1.73500000e-1
5.14000000e2, 4.36833100, 1.70049000e-1
5.16000000e2, 4.35765000, 1.66642000e-1
5.18000000e2, 4.34671200, 1.62986000e-1
5.20000000e2, 4.33573600, 1.59017000e-1
5.22000000e2, 4.32540000, 1.54900000e-1
5.24000000e2, 4.31680200, 1.50586000e-1
5.26000000e2, 4.30899700, 1.46343000e-1
5.28000000e2, 4.30181600, 1.42420000e-1
5.30000000e2, 4.29484000, 1.38900000e-1
5.32000000e2, 4.28740000, 1.35700000e-1
5.34000000e2, 4.27789900, 1.32831000e-1
5.36000000e2, 4.26805000, 1.30270000e-1
5.38000000e2, 4.25902800, 1.28098000e-1
5.40000000e2, 4.25097800, 1.26209000e-1
5.42000000e2, 4.24300000, 1.24300000e-1
5.44000000e2, 4.23421500, 1.21932000e-1
5.46000000e2, 4.22532300, 1.19404000e-1
5.48000000e2, 4.21660500, 1.16783000e-1
5.50000000e2, 4.20817800, 1.14131000e-1
5.52000000e2, 4.20000000, 1.11500000e-1
5.54000000e2, 4.19212200, 1.08927000e-1
5.56000000e2, 4.18455600, 1.06518000e-1
5.58000000e2, 4.17737600, 1.04406000e-1
5.60000000e2, 4.17056000, 1.02623000e-1
5.62000000e2, 4.16400000, 1.01100000e-1
5.64000000e2, 4.15770500, 9.98780000e-2
5.66000000e2, 4.15145400, 9.88070000e-2
5.68000000e2, 4.14501200, 9.78540000e-2
5.70000000e2, 4.13832000, 9.68730000e-2
5.72000000e2, 4.13150000, 9.56000000e-2
5.74000000e2, 4.12469600, 9.35120000e-2
5.76000000e2, 4.11770000, 9.10880000e-2
5.78000000e2, 4.11012200, 8.84820000e-2
5.80000000e2, 4.10216000, 8.58590000e-2
5.82000000e2, 4.09460000, 8.34000000e-2
5.84000000e2, 4.08855900, 8.14560000e-2
5.86000000e2, 4.08319500, 7.98160000e-2
5.88000000e2, 4.07829000, 7.84770000e-2
5.90000000e2, 4.07362700, 7.73780000e-2
5.92000000e2, 4.06900000, 7.64000000e-2
5.94000000e2, 4.06397800, 7.53700000e-2
5.96000000e2, 4.05881900, 7.43790000e-2
5.98000000e2, 4.05361500, 7.34550000e-2
6.00000000e2, 4.04835100, 7.25820000e-2
6.02000000e2, 4.04290000, 7.17000000e-2
6.04000000e2, 4.03698100, 7.07360000e-2
6.06000000e2, 4.03097800, 6.97240000e-2
6.08000000e2, 4.02514600, 6.86700000e-2
6.10000000e2, 4.01957600, 6.75690000e-2
6.12000000e2, 4.01420000, 6.64000000e-2
6.14000000e2, 4.00900500, 6.50840000e-2
6.16000000e2, 4.00406200, 6.37520000e-2
6.18000000e2, 3.99947500, 6.24940000e-2
6.20000000e2, 3.99523000, 6.13470000e-2
6.22000000e2, 3.99120000, 6.03000000e-2
6.24000000e2, 3.98740900, 5.94320000e-2
6.26000000e2, 3.98358200, 5.86120000e-2
6.28000000e2, 3.97923100, 5.76900000e-2
6.30000000e2, 3.97448600, 5.66870000e-2
6.32000000e2, 3.97010000, 5.58000000e-2
6.34000000e2, 3.96725800, 5.52940000e-2
6.36000000e2, 3.96480700, 5.49410000e-2
6.38000000e2, 3.96212900, 5.46460000e-2
6.40000000e2, 3.95902200, 5.43630000e-2
6.42000000e2, 3.95570000, 5.41000000e-2
6.44000000e2, 3.95218200, 5.38760000e-2
6.46000000e2, 3.94844900, 5.35880000e-2
6.48000000e2, 3.94447900, 5.32170000e-2
6.50000000e2, 3.94028200, 5.26540000e-2
6.52000000e2, 3.93590000, 5.17000000e-2
6.54000000e2, 3.93121800, 4.97660000e-2
6.56000000e2, 3.92656100, 4.76330000e-2
6.58000000e2, 3.92224600, 4.58170000e-2
6.60000000e2, 3.91832900, 4.44940000e-2
6.62000000e2, 3.91460000, 4.35000000e-2
6.64000000e2, 3.91083800, 4.29710000e-2
6.66000000e2, 3.90727700, 4.26380000e-2
6.68000000e2, 3.90424400, 4.22820000e-2
6.70000000e2, 3.90159200, 4.18390000e-2
6.72000000e2, 3.89870000, 4.14000000e-2
6.74000000e2, 3.89442800, 4.09990000e-2
6.76000000e2, 3.89001200, 4.06020000e-2
6.78000000e2, 3.88628400, 4.01750000e-2
6.80000000e2, 3.88337200, 3.97260000e-2
6.82000000e2, 3.88070000, 3.93000000e-2
6.84000000e2, 3.87789300, 3.89610000e-2
6.86000000e2, 3.87505000, 3.86500000e-2
6.88000000e2, 3.87209000, 3.83340000e-2
6.90000000e2, 3.86899100, 3.80070000e-2
6.92000000e2, 3.86580000, 3.77000000e-2
6.94000000e2, 3.86252300, 3.74750000e-2
6.96000000e2, 3.85918500, 3.72380000e-2
6.98000000e2, 3.85580300, 3.69070000e-2
7.00000000e2, 3.85239800, 3.64740000e-2
7.02000000e2, 3.84900000, 3.60000000e-2
7.04000000e2, 3.84563900, 3.55260000e-2
7.06000000e2, 3.84233000, 3.50430000e-2
7.08000000e2, 3.83911300, 3.45730000e-2
7.10000000e2, 3.83598600, 3.41060000e-2
7.12000000e2, 3.83290000, 3.36000000e-2
7.14000000e2, 3.82971900, 3.29690000e-2
7.16000000e2, 3.82665500, 3.23180000e-2
7.18000000e2, 3.82388600, 3.17190000e-2
7.20000000e2, 3.82144100, 3.11900000e-2
7.22000000e2, 3.81920000, 3.07000000e-2
7.24000000e2, 3.81710800, 3.02530000e-2
7.26000000e2, 3.81514400, 2.98180000e-2
7.28000000e2, 3.81326600, 2.93490000e-2
7.30000000e2, 3.81145300, 2.88540000e-2
7.32000000e2, 3.80970000, 2.84000000e-2
7.34000000e2, 3.80804000, 2.80820000e-2
7.36000000e2, 3.80636400, 2.78190000e-2
7.38000000e2, 3.80453400, 2.75620000e-2
7.40000000e2, 3.80256100, 2.73090000e-2
7.42000000e2, 3.80060000, 2.71000000e-2
