wavelength (nm), n, k
2.21402109e2, 1.27059800, 2.80970100
2.25427602e2, 1.30028100, 2.78401400
2.29602188e2, 1.29880600, 2.78332500
2.33934304e2, 1.29040700, 2.81694000
2.38433041e2, 1.27595900, 2.88410600
2.43108199e2, 1.27826700, 2.98059800
2.47970363e2, 1.29840600, 3.09610400
2.53030982e2, 1.33472500, 3.23287600
2.58302461e2, 1.38768900, 3.39052800
2.63798258e2, 1.46557000, 3.57881200
2.69533003e2, 1.58366500, 3.80762300
2.75522625e2, 1.78427200, 4.10531700
2.81784503e2, 2.21180200, 4.44207900
2.88337631e2, 2.90328200, 4.45185900
2.95202813e2, 3.37537400, 4.10769400
3.02402881e2, 3.58810200, 3.75825400
3.09962953e2, 3.67929200, 3.49387900
3.17910721e2, 3.73708400, 3.29936300
3.26276793e2, 3.78240300, 3.14747000
3.35095085e2, 3.83067800, 3.02557400
3.44403281e2, 3.88083300, 2.92076500
3.54243375e2, 3.93275300, 2.83135000
3.64662298e2, 4.00414100, 2.74465800
3.75712671e2, 4.07933000, 2.63646200
3.87453692e2, 4.13298500, 2.51029200
3.99952198e2, 4.14400200, 2.38175500
4.13283938e2, 4.10827200, 2.30388800
4.27535108e2, 4.08206700, 2.29418100
4.42804219e2, 4.11362100, 2.33492600
4.59204375e2, 4.19577200, 2.39050200
4.76866082e2, 4.34038500, 2.45945900
4.95940725e2, 4.59378700, 2.52841500
5.16604922e2, 5.01678200, 2.43682100
5.39066006e2, 5.32802200, 2.17435300
5.63569006e2, 5.75471400, 1.71077100
5.90405625e2, 5.64215600, 9.96958900e-1
6.19925906e2, 5.36129900, 6.58422600e-1
6.52553586e2, 5.12468300, 5.12226300e-1
6.88806563e2, 4.95499400, 3.63269400e-1
7.29324596e2, 4.81342600, 2.62806000e-1
