wavelength (nm), n, k
2.43108199e2, 1.84761300, 3.49434300
2.44707595e2, 1.91247000, 3.55380900
2.46328175e2, 1.98897500, 3.64983800
2.47970363e2, 2.08924000, 3.71291500
2.49634593e2, 2.21275600, 3.77815400
2.51321313e2, 2.35105500, 3.82466700
2.53030982e2, 2.54466200, 3.87395000
2.54764071e2, 2.67485700, 3.87319300
2.56521065e2, 2.84421000, 3.87102600
2.58302461e2, 3.01748500, 3.83900500
2.60108772e2, 3.16927100, 3.77342600
2.61940524e2, 3.29369200, 3.68324600
2.63798258e2, 3.41186800, 3.60629700
2.65682531e2, 3.50976000, 3.51787600
2.67593916e2, 3.61675000, 3.40532200
2.69533003e2, 3.67591200, 3.30254300
2.71500397e2, 3.74080800, 3.19103200
2.73496723e2, 3.81045200, 3.09389800
2.75522625e2, 3.84905000, 2.98820400
2.77578764e2, 3.89220200, 2.88263900
2.79665822e2, 3.91488900, 2.78947000
2.81784503e2, 3.95697100, 2.66516700
2.83935530e2, 3.95210400, 2.56003600
2.86119649e2, 3.93470600, 2.45792800
2.88337631e2, 3.92137000, 2.36265800
2.90590269e2, 3.87988500, 2.30045200
2.92878381e2, 3.85638400, 2.21777400
2.95202813e2, 3.82389500, 2.16538600
2.97564435e2, 3.79826500, 2.11944500
2.99964148e2, 3.76418200, 2.06861400
3.02402881e2, 3.72431000, 2.03311500
3.04881593e2, 3.70292500, 1.99746900
3.07401276e2, 3.67793500, 1.96963800
3.09962953e2, 3.65982600, 1.94560200
3.12567684e2, 3.62279600, 1.92052600
3.15216563e2, 3.60521400, 1.90870900
3.17910721e2, 3.58204600, 1.88936300
3.20651331e2, 3.57071100, 1.88431000
3.23439603e2, 3.55117000, 1.87545900
3.26276793e2, 3.53570400, 1.86789400
3.29164198e2, 3.52060300, 1.86661300
3.32103164e2, 3.51789900, 1.86442700
3.35095085e2, 3.50826100, 1.86484100
3.38141404e2, 3.50893500, 1.87264600
3.41243618e2, 3.49398500, 1.87332000
3.44403281e2, 3.49604300, 1.87166500
3.47622004e2, 3.50446200, 1.88001900
3.50901456e2, 3.50303200, 1.88438500
3.54243375e2, 3.51690900, 1.89183300
3.57649561e2, 3.51946600, 1.90259100
3.61121887e2, 3.53098300, 1.91360400
3.64662298e2, 3.54526400, 1.92499600
3.68272816e2, 3.56568900, 1.93960600
3.71955544e2, 3.58641800, 1.95000700
3.75712671e2, 3.60868700, 1.96384200
3.79546473e2, 3.63533600, 1.98262100
3.83459324e2, 3.67050600, 1.99784400
3.87453692e2, 3.70999500, 2.01148700
3.91532151e2, 3.75163500, 2.03640200
3.95697387e2, 3.81296600, 2.04973900
3.99952198e2, 3.88143800, 2.07018700
4.04299504e2, 3.96848100, 2.06752300
4.08742356e2, 4.06642100, 2.06891100
4.13283938e2, 4.16318500, 2.02140500
4.17927577e2, 4.24987800, 1.96597400
4.22676754e2, 4.31451800, 1.90630500
4.27535108e2, 4.37604000, 1.84143900
4.32506446e2, 4.42191600, 1.79560900
4.37594757e2, 4.49800900, 1.75199400
4.42804219e2, 4.58889400, 1.69584500
4.48139209e2, 4.69453500, 1.59248400
4.53604322e2, 4.79139200, 1.44898100
4.59204375e2, 4.82643700, 1.27605200
4.64944430e2, 4.81390900, 1.10666300
4.70829802e2, 4.76223200, 9.64079500e-1
4.76866082e2, 4.69369900, 8.54831500e-1
4.83059148e2, 4.62990600, 7.69599300e-1
4.89415189e2, 4.56658400, 6.94167400e-1
4.95940725e2, 4.49948600, 6.35440500e-1
5.02642627e2, 4.44527100, 5.86035300e-1
5.09528142e2, 4.38786700, 5.45316200e-1
5.16604922e2, 4.33889600, 5.07525900e-1
5.23881048e2, 4.29218300, 4.77370700e-1
5.31365063e2, 4.24758400, 4.47583500e-1
5.39066006e2, 4.20588700, 4.24053300e-1
5.46993447e2, 4.16781100, 4.05440300e-1
5.55157528e2, 4.12890100, 3.85721300e-1
5.63569006e2, 4.09441400, 3.69160800e-1
5.72239298e2, 4.05834000, 3.52715100e-1
5.81180537e2, 4.02926000, 3.39000400e-1
5.90405625e2, 4.00267200, 3.26110100e-1
5.99928297e2, 3.97517800, 3.12960800e-1
6.09763187e2, 3.94930500, 3.01463900e-1
6.19925906e2, 3.92256000, 2.90568100e-1
6.30433125e2, 3.89928200, 2.81519800e-1
6.41302662e2, 3.87816400, 2.75446400e-1
6.52553586e2, 3.85924700, 2.67136100e-1
6.64206328e2, 3.83943500, 2.57000000e-1
6.76282807e2, 3.82154300, 2.46235400e-1
6.88806563e2, 3.80265200, 2.42278800e-1
7.01802913e2, 3.78670500, 2.38552300e-1
7.15299123e2, 3.77023300, 2.32328200e-1
7.29324596e2, 3.76196500, 2.20647600e-1
7.43911088e2, 3.74953800, 2.12281300e-1
7.59092947e2, 3.73132100, 2.07161800e-1
7.74907383e2, 3.72281600, 2.07363500e-1
7.91394774e2, 3.71659500, 2.00295900e-1
8.08599008e2, 3.71222800, 1.86359900e-1
8.26567875e2, 3.70372200, 1.70257400e-1
8.45353509e2, 3.68315100, 1.49160300e-1
8.65012893e2, 3.69326400, 2.04151300e-1
8.85608438e2, 3.64656700, 1.86172500e-1
9.07208644e2, 3.90946400, 2.69811500e-1
9.29888860e2, 3.87717400, 5.06341200e-1
9.53732164e2, 3.83759400, 1.11379200
