wavelength (nm), n, k
2.06641969e2, 7.60000000e-1, 1.93000000
2.08378456e2, 7.71281000e-1, 1.95131700
2.10144375e2, 7.79182000e-1, 1.96808200
2.11940481e2, 7.84741000e-1, 1.98237300
2.13767554e2, 7.88997000e-1, 1.99626500
2.15626402e2, 7.94012000e-1, 2.01388500
2.17517862e2, 7.98648000e-1, 2.03295700
2.19442799e2, 8.00587000e-1, 2.04884400
2.21402109e2, 8.00377000e-1, 2.06264300
2.23396723e2, 8.00000000e-1, 2.07831500
2.25427602e2, 8.00000000e-1, 2.09694900
2.27495745e2, 8.00275000e-1, 2.11834300
2.29602188e2, 8.00630000e-1, 2.14210600
2.31748002e2, 7.99027000e-1, 2.16434600
2.33934304e2, 7.94135000e-1, 2.18249300
2.36162250e2, 7.89846000e-1, 2.20269200
2.38433041e2, 7.89384000e-1, 2.22997000
2.40747925e2, 7.89983000e-1, 2.25936900
2.43108199e2, 7.90000000e-1, 2.28820500
2.45515210e2, 7.90000000e-1, 2.31600800
2.47970363e2, 7.90000000e-1, 2.33951900
2.50475114e2, 7.90000000e-1, 2.36300800
2.53030982e2, 7.90000000e-1, 2.39255900
2.55639549e2, 7.90000000e-1, 2.42609100
2.58302461e2, 7.90430000e-1, 2.45917100
2.61021434e2, 7.90547000e-1, 2.49195100
2.63798258e2, 7.87612000e-1, 2.52708800
2.66634798e2, 7.82362000e-1, 2.56473100
2.69533003e2, 7.80776000e-1, 2.60254000
2.72494904e2, 7.85236000e-1, 2.63976800
2.75522625e2, 7.90670000e-1, 2.67871600
2.78618385e2, 7.94417000e-1, 2.72071400
2.81784503e2, 8.01081000e-1, 2.76352900
2.85023405e2, 8.15316000e-1, 2.80526700
2.88337631e2, 8.29462000e-1, 2.84813300
2.91729838e2, 8.36377000e-1, 2.89495800
2.95202813e2, 8.39701000e-1, 2.94210400
2.98759473e2, 8.39536000e-1, 2.98518900
3.02402881e2, 8.39483000e-1, 3.02725900
3.06136250e2, 8.44879000e-1, 3.07140500
3.09962953e2, 8.54879000e-1, 3.11871800
3.13886535e2, 8.67531000e-1, 3.17126000
3.17910721e2, 8.81796000e-1, 3.22799000
3.22039432e2, 8.95631000e-1, 3.28520100
3.26276793e2, 9.09182000e-1, 3.34160300
3.30627150e2, 9.26959000e-1, 3.39751300
3.35095085e2, 9.50551000e-1, 3.45312500
3.39685428e2, 9.73561000e-1, 3.51207300
3.44403281e2, 9.91709000e-1, 3.57721300
3.49254032e2, 1.01145800, 3.64419800
3.54243375e2, 1.03687500, 3.71000000
3.59377337e2, 1.06781400, 3.77580200
3.64662298e2, 1.10709000, 3.84219600
3.70105019e2, 1.15119700, 3.90766700
3.75712671e2, 1.19628200, 3.97058100
3.81492866e2, 1.24396800, 4.03113600
3.87453692e2, 1.29670000, 4.08996400
3.93603750e2, 1.35363500, 4.14612400
3.99952198e2, 1.41405200, 4.19792600
4.06508791e2, 1.47562300, 4.24497400
4.13283938e2, 1.53328300, 4.28728200
4.20288750e2, 1.58529400, 4.32519500
4.27535108e2, 1.63482700, 4.36017100
4.35035724e2, 1.68282600, 4.39325000
4.42804219e2, 1.72726800, 4.42573200
4.50855205e2, 1.76711500, 4.45914000
4.59204375e2, 1.80126200, 4.49109900
4.67868609e2, 1.82763000, 4.51692900
4.76866082e2, 1.84845300, 4.54704300
4.86216397e2, 1.86418400, 4.59175800
4.95940725e2, 1.87733000, 4.64703400
5.06061964e2, 1.89056700, 4.71190100
5.16604922e2, 1.90478800, 4.78413700
5.27596516e2, 1.92086500, 4.86103200
5.39066006e2, 1.93983500, 4.94140000
5.51045250e2, 1.96390800, 5.02328500
5.63569006e2, 1.99233900, 5.10743400
5.76675262e2, 2.02078800, 5.19758600
5.90405625e2, 2.04835700, 5.29523100
6.04805762e2, 2.07927000, 5.39950600
6.19925906e2, 2.11560200, 5.51040600
6.35821443e2, 2.15646700, 5.62781400
6.52553586e2, 2.20215300, 5.75143500
6.70190169e2, 2.25096400, 5.88292500
6.88806563e2, 2.29847000, 6.02503200
7.08486750e2, 2.35348900, 6.17385600
7.29324596e2, 2.42639900, 6.32674400
7.51425341e2, 2.50960000, 6.48303600
7.74907383e2, 2.59505000, 6.64072500
7.99904395e2, 2.68542100, 6.80105200
8.26567875e2, 2.78524600, 6.96725000
8.55070216e2, 2.89407400, 7.13698600
8.85608438e2, 3.01041500, 7.30528500
9.18408750e2, 3.13268500, 7.47011700
9.53732164e2, 3.26076900, 7.63001100
9.91881450e2, 3.39062700, 7.78491000
1.03320984e3, 3.50714800, 7.93870400
1.07813201e3, 3.59965100, 8.09426100
1.12713801e3, 3.66706100, 8.26245300
1.18081125e3, 3.70522700, 8.45159600
1.23985181e3, 3.71000000, 8.67000000
1.30510717e3, 3.69000000, 8.94000000
1.37761313e3, 3.62000000, 9.36000000
1.45864919e3, 3.64000000, 9.81000000
1.54981477e3, 3.63000000, 1.03000000e1
1.65313575e3, 3.63000000, 1.10000000e1
1.77121688e3, 3.67000000, 1.17000000e1
1.90746433e3, 3.77000000, 1.26000000e1
2.06641969e3, 3.87000000, 1.35000000e1
2.25427602e3, 3.97000000, 1.47000000e1
2.47970363e3, 4.20000000, 1.61000000e1
