wavelength (nm), n, k
2.10144375e2, 3.21752615, 0.00000000
2.13767554e2, 3.08620188, 0.00000000
2.17517862e2, 2.96460485, 0.00000000
2.21402109e2, 2.85233989, 0.00000000
2.25427602e2, 2.74899781, 0.00000000
2.29602188e2, 2.65415564, 0.00000000
2.33934304e2, 2.56737754, 0.00000000
2.38433041e2, 2.48821651, 0.00000000
2.43108199e2, 2.41621674, 0.00000000
2.47970363e2, 2.35091667, 0.00000000
2.53030982e2, 2.29185258, 0.00000000
2.58302461e2, 2.23856256, 0.00000000
2.63798258e2, 2.19059065, 0.00000000
2.69533003e2, 2.14749099, 0.00000000
2.75522625e2, 2.10883175, 0.00000000
2.81784503e2, 2.07419868, 0.00000000
2.88337631e2, 2.04319816, 0.00000000
2.95202813e2, 2.01545960, 0.00000000
3.02402881e2, 1.99063732, 0.00000000
3.09962953e2, 1.96841161, 0.00000000
3.17910721e2, 1.94848931, 0.00000000
3.26276793e2, 1.93060372, 0.00000000
3.35095085e2, 1.91451415, 0.00000000
3.44403281e2, 1.90000493, 0.00000000
3.54243375e2, 1.88688419, 0.00000000
3.64662298e2, 1.87498242, 0.00000000
3.75712671e2, 1.86415076, 0.00000000
3.87453692e2, 1.85425935, 0.00000000
3.99952198e2, 1.84519554, 0.00000000
4.13283938e2, 1.83686212, 0.00000000
4.27535108e2, 1.82917562, 0.00000000
4.42804219e2, 1.82206472, 0.00000000
4.59204375e2, 1.81546863, 0.00000000
4.76866082e2, 1.80933569, 0.00000000
4.95940725e2, 1.80362204, 0.00000000
5.16604922e2, 1.79829038, 0.00000000
5.39066006e2, 1.79330884, 0.00000000
5.63569006e2, 1.78865001, 0.00000000
5.90405625e2, 1.78428995, 0.00000000
6.19925906e2, 1.78020742, 0.00000000
6.52553586e2, 1.77638300, 0.00000000
6.88806563e2, 1.77279839, 0.00000000
7.29324596e2, 1.76943558, 0.00000000
7.74907383e2, 1.76627599, 0.00000000
8.26567875e2, 1.76329946, 0.00000000
8.85608438e2, 1.76048283, 0.00000000
9.53732164e2, 1.75779801, 0.00000000
1.03320984e3, 1.75520898, 0.00000000
1.12713801e3, 1.75266686, 0.00000000
1.23985181e3, 1.75010156, 0.00000000
