wavelength (nm), n, k
2.30000000e2, 1.52474000, 3.62383500
2.32000000e2, 1.64355400, 3.49551400
2.34000000e2, 1.69363000, 3.43673800
2.36000000e2, 1.70026600, 3.42520200
2.38000000e2, 1.68954600, 3.43865100
2.40000000e2, 1.68208600, 3.45175500
2.42000000e2, 1.67915600, 3.46000200
2.44000000e2, 1.68310600, 3.51011200
2.46000000e2, 1.68258000, 3.56350700
2.48000000e2, 1.68431800, 3.62042700
2.50000000e2, 1.69491900, 3.68029800
2.52000000e2, 1.71158600, 3.74609200
2.54000000e2, 1.73574500, 3.82204400
2.56000000e2, 1.74741500, 3.90751200
2.58000000e2, 1.77824700, 3.99606500
2.60000000e2, 1.80576200, 4.09501700
2.62000000e2, 1.84740300, 4.20295000
2.64000000e2, 1.90089000, 4.31412500
2.66000000e2, 1.96678800, 4.44307800
2.68000000e2, 2.04371100, 4.58143500
2.70000000e2, 2.15405600, 4.72432900
2.72000000e2, 2.29679300, 4.86819200
2.74000000e2, 2.46613700, 4.99711400
2.76000000e2, 2.65159300, 5.11220300
2.78000000e2, 2.87104600, 5.20665500
2.80000000e2, 3.09978800, 5.27456300
2.82000000e2, 3.33033800, 5.32035200
2.84000000e2, 3.60146000, 5.35363800
2.86000000e2, 3.89556600, 5.35112800
2.88000000e2, 4.20301200, 5.28143700
2.90000000e2, 4.49059400, 5.12703100
2.92000000e2, 4.72924900, 4.91355200
2.94000000e2, 4.88765300, 4.68183900
2.96000000e2, 4.98159000, 4.46422900
2.98000000e2, 5.03317800, 4.26641900
3.00000000e2, 5.06448000, 4.09358700
3.02000000e2, 5.07841200, 3.94522700
3.04000000e2, 5.07993600, 3.82128900
3.06000000e2, 5.07719400, 3.71397700
3.08000000e2, 5.07367200, 3.62100200
3.10000000e2, 5.07673900, 3.53956200
3.12000000e2, 5.07415800, 3.46822700
3.14000000e2, 5.08066500, 3.40652900
3.16000000e2, 5.08703100, 3.35155300
3.18000000e2, 5.09130700, 3.30461800
3.20000000e2, 5.10630700, 3.25721800
3.22000000e2, 5.11214100, 3.21939700
3.24000000e2, 5.12355300, 3.18084200
3.26000000e2, 5.14194000, 3.14340700
3.28000000e2, 5.16594200, 3.10926900
3.30000000e2, 5.18355500, 3.07677900
3.32000000e2, 5.19873800, 3.04666900
3.34000000e2, 5.22577700, 3.01594500
3.36000000e2, 5.25029100, 2.99212600
3.38000000e2, 5.27429800, 2.96866900
3.40000000e2, 5.30124300, 2.94737600
3.42000000e2, 5.33389400, 2.93183600
3.44000000e2, 5.36548800, 2.91917100
