wavelength (nm), n, k
2.30000000e2, 1.43039000, 3.52257400
2.32000000e2, 1.60047200, 3.44662400
2.34000000e2, 1.68109700, 3.41469700
2.36000000e2, 1.69996200, 3.41138900
2.38000000e2, 1.68464400, 3.42029300
2.40000000e2, 1.66492000, 3.43232600
2.42000000e2, 1.66477800, 3.46248300
2.44000000e2, 1.66832300, 3.50700600
2.46000000e2, 1.66336800, 3.55714700
2.48000000e2, 1.66642900, 3.61590900
2.50000000e2, 1.67889800, 3.67719900
2.52000000e2, 1.68961000, 3.75293600
2.54000000e2, 1.71188300, 3.82946300
2.56000000e2, 1.72759600, 3.90768100
2.58000000e2, 1.75568400, 4.00092400
2.60000000e2, 1.78596900, 4.09421300
2.62000000e2, 1.82678400, 4.20482200
2.64000000e2, 1.88021800, 4.31735400
2.66000000e2, 1.94539000, 4.45249200
2.68000000e2, 2.02110600, 4.59015200
2.70000000e2, 2.12917700, 4.72599700
2.72000000e2, 2.26755800, 4.87355700
2.74000000e2, 2.43722100, 5.00415900
2.76000000e2, 2.62568400, 5.11520800
2.78000000e2, 2.83557700, 5.21398800
2.80000000e2, 3.05421400, 5.28609200
2.82000000e2, 3.28123500, 5.34277200
2.84000000e2, 3.54088700, 5.39223800
2.86000000e2, 3.83813400, 5.40549100
2.88000000e2, 4.16266500, 5.35918300
2.90000000e2, 4.47284200, 5.22293900
2.92000000e2, 4.74305500, 5.00745700
2.94000000e2, 4.92262800, 4.76026800
2.96000000e2, 5.02339200, 4.52633100
2.98000000e2, 5.08754000, 4.31384500
3.00000000e2, 5.11720300, 4.12810300
3.02000000e2, 5.12811100, 3.97222400
3.04000000e2, 5.12788700, 3.83635900
3.06000000e2, 5.12167900, 3.72403000
3.08000000e2, 5.11549600, 3.62613800
3.10000000e2, 5.11483000, 3.53909500
3.12000000e2, 5.10794200, 3.46822000
3.14000000e2, 5.10873700, 3.40524100
3.16000000e2, 5.11162200, 3.34660900
3.18000000e2, 5.11333200, 3.29791300
3.20000000e2, 5.12232700, 3.25180700
3.22000000e2, 5.13006600, 3.21125900
3.24000000e2, 5.14172200, 3.17180500
3.26000000e2, 5.15856500, 3.13723100
3.28000000e2, 5.18159100, 3.10338000
3.30000000e2, 5.20014300, 3.06807200
3.32000000e2, 5.21065100, 3.04096500
3.34000000e2, 5.23577800, 3.01199200
3.36000000e2, 5.25859800, 2.98719800
3.38000000e2, 5.28016700, 2.96838900
3.40000000e2, 5.30486100, 2.95046800
3.42000000e2, 5.33396200, 2.93550000
3.44000000e2, 5.36585300, 2.92373000
3.46000000e2, 5.40537700, 2.91610900
3.48000000e2, 5.45054300, 2.91348400
3.50000000e2, 5.50563900, 2.91967300
3.52000000e2, 5.57313000, 2.92962200
3.54000000e2, 5.65960700, 2.94393300
3.56000000e2, 5.77829500, 2.95525800
3.58000000e2, 5.92675200, 2.95744300
3.60000000e2, 6.11459000, 2.92367700
3.62000000e2, 6.33026400, 2.83932100
3.64000000e2, 6.54570600, 2.68489600
3.66000000e2, 6.72819100, 2.46539700
3.68000000e2, 6.85519200, 2.19788500
3.70000000e2, 6.91532400, 1.91195000
3.72000000e2, 6.91081900, 1.62665800
3.74000000e2, 6.85150600, 1.36842900
3.76000000e2, 6.75105000, 1.14729200
3.78000000e2, 6.62932200, 9.64795000e-1
3.80000000e2, 6.49899100, 8.18570000e-1
3.82000000e2, 6.36149900, 6.99564000e-1
3.84000000e2, 6.24543400, 6.13961000e-1
3.86000000e2, 6.13798300, 5.44000000e-1
3.88000000e2, 6.03360600, 4.85524000e-1
3.90000000e2, 5.93957500, 4.37199000e-1
3.92000000e2, 5.85177900, 3.95636000e-1
3.94000000e2, 5.77561000, 3.62582000e-1
3.96000000e2, 5.70089900, 3.32778000e-1
3.98000000e2, 5.62874200, 3.07315000e-1
4.00000000e2, 5.56147100, 2.85908000e-1
4.02000000e2, 5.50008200, 2.66468000e-1
4.04000000e2, 5.44025600, 2.48604000e-1
4.06000000e2, 5.38466700, 2.33323000e-1
4.08000000e2, 5.33222700, 2.19379000e-1
4.10000000e2, 5.28351400, 2.06920000e-1
4.12000000e2, 5.23670400, 1.95198000e-1
4.14000000e2, 5.19273500, 1.85130000e-1
4.16000000e2, 5.14956200, 1.76174000e-1
4.18000000e2, 5.10983700, 1.67482000e-1
4.20000000e2, 5.07300200, 1.60195000e-1
4.22000000e2, 5.03739200, 1.53434000e-1
4.24000000e2, 5.00205500, 1.45531000e-1
4.26000000e2, 4.96900500, 1.39086000e-1
4.28000000e2, 4.93777500, 1.33935000e-1
4.30000000e2, 4.90867800, 1.28692000e-1
4.32000000e2, 4.88032900, 1.23657000e-1
4.34000000e2, 4.85335100, 1.18470000e-1
4.36000000e2, 4.82984000, 1.14031000e-1
4.38000000e2, 4.80346400, 1.10594000e-1
4.40000000e2, 4.77857800, 1.06039000e-1
4.42000000e2, 4.75437200, 1.02622000e-1
4.44000000e2, 4.72956300, 9.91700000e-2
4.46000000e2, 4.70642700, 9.56680000e-2
4.48000000e2, 4.68368200, 9.27280000e-2
4.50000000e2, 4.66329900, 8.97880000e-2
4.52000000e2, 4.64174700, 8.66910000e-2
4.54000000e2, 4.62138200, 8.40370000e-2
4.56000000e2, 4.60165700, 8.16580000e-2
4.58000000e2, 4.58252000, 7.94380000e-2
4.60000000e2, 4.56390300, 7.72260000e-2
4.62000000e2, 4.54572600, 7.48440000e-2
4.64000000e2, 4.52808400, 7.24910000e-2
4.66000000e2, 4.51104200, 7.02650000e-2
4.68000000e2, 4.49457900, 6.81760000e-2
4.70000000e2, 4.47870100, 6.62200000e-2
4.72000000e2, 4.46345900, 6.44110000e-2
4.74000000e2, 4.44847700, 6.27620000e-2
4.76000000e2, 4.43318200, 6.13960000e-2
4.78000000e2, 4.41790200, 6.01510000e-2
4.80000000e2, 4.40319800, 5.87520000e-2
4.82000000e2, 4.38954400, 5.69360000e-2
4.84000000e2, 4.37631900, 5.51190000e-2
4.86000000e2, 4.36297600, 5.36600000e-2
4.88000000e2, 4.34978300, 5.24370000e-2
4.90000000e2, 4.33723200, 5.12330000e-2
4.92000000e2, 4.32573700, 4.98920000e-2
4.94000000e2, 4.31461000, 4.85800000e-2
4.96000000e2, 4.30328900, 4.73660000e-2
4.98000000e2, 4.29190100, 4.62740000e-2
5.00000000e2, 4.28070400, 4.53480000e-2
5.02000000e2, 4.26985000, 4.46580000e-2
5.04000000e2, 4.25917500, 4.40040000e-2
5.06000000e2, 4.24854200, 4.31860000e-2
5.08000000e2, 4.23803500, 4.22590000e-2
5.10000000e2, 4.22777300, 4.13240000e-2
5.12000000e2, 4.21783700, 4.04500000e-2
5.14000000e2, 4.20828300, 3.95690000e-2
5.16000000e2, 4.19930600, 3.85970000e-2
5.18000000e2, 4.19076000, 3.76170000e-2
5.20000000e2, 4.18242600, 3.67620000e-2
5.22000000e2, 4.17413000, 3.61520000e-2
5.24000000e2, 4.16594000, 3.56420000e-2
5.26000000e2, 4.15786000, 3.51950000e-2
5.28000000e2, 4.14983300, 3.47350000e-2
5.30000000e2, 4.14172900, 3.41370000e-2
5.32000000e2, 4.13339500, 3.32580000e-2
5.34000000e2, 4.12526600, 3.23570000e-2
5.36000000e2, 4.11790000, 3.16490000e-2
5.38000000e2, 4.11099300, 3.10910000e-2
5.40000000e2, 4.10403100, 3.06090000e-2
5.42000000e2, 4.09660500, 3.01720000e-2
5.44000000e2, 4.08913300, 2.97360000e-2
5.46000000e2, 4.08177900, 2.92170000e-2
5.48000000e2, 4.07459700, 2.86500000e-2
5.50000000e2, 4.06765900, 2.81010000e-2
5.52000000e2, 4.06108100, 2.76180000e-2
5.54000000e2, 4.05462800, 2.71430000e-2
5.56000000e2, 4.04803700, 2.66420000e-2
5.58000000e2, 4.04144300, 2.61210000e-2
5.60000000e2, 4.03508900, 2.55830000e-2
5.62000000e2, 4.02917200, 2.50140000e-2
