wavelength (nm), n, k
1.54981477e2, 2.65100000, 9.62000000e-1
1.55956203e2, 2.66391200, 9.44304000e-1
1.56943267e2, 2.67645600, 9.25872000e-1
1.57942906e2, 2.68854400, 9.06688000e-1
1.58955361e2, 2.70008800, 8.86736000e-1
1.59980879e2, 2.71100000, 8.66000000e-1
1.61019716e2, 2.72119200, 8.44464000e-1
1.62072132e2, 2.73057600, 8.22112000e-1
1.63138396e2, 2.73906400, 7.98928000e-1
1.64218783e2, 2.74661400, 7.75047000e-1
1.65313575e2, 2.75300000, 7.50000000e-1
1.66423062e2, 2.75790200, 7.22998000e-1
1.67547542e2, 2.76156800, 6.95144000e-1
1.68687321e2, 2.76417400, 6.67108000e-1
1.69842714e2, 2.76562400, 6.39392000e-1
1.71014043e2, 2.76584600, 6.12756000e-1
1.72201641e2, 2.76494400, 5.87096000e-1
1.73405848e2, 2.76293400, 5.62740000e-1
1.74627016e2, 2.76000800, 5.39152000e-1
1.75865505e2, 2.75629100, 5.15950000e-1
1.77121688e2, 2.75200000, 4.93000000e-1
1.78395944e2, 2.74747500, 4.69965000e-1
1.79688669e2, 2.74248000, 4.47080000e-1
1.81000265e2, 2.73686800, 4.24484000e-1
1.82331149e2, 2.73072000, 4.02120000e-1
1.83681750e2, 2.72408400, 3.79972000e-1
1.85052509e2, 2.71691200, 3.58056000e-1
1.86443882e2, 2.70920400, 3.36372000e-1
1.87856335e2, 2.70086400, 3.14952000e-1
1.89290353e2, 2.69183900, 2.93884000e-1
1.90746433e2, 2.68200000, 2.73000000e-1
1.92225087e2, 2.67113500, 2.52011000e-1
1.93726846e2, 2.65943200, 2.31376000e-1
1.95252254e2, 2.64704000, 2.11386000e-1
1.96801875e2, 2.63385600, 1.92248000e-1
1.98376290e2, 2.61977600, 1.74266000e-1
1.99976099e2, 2.60495200, 1.57440000e-1
2.01601921e2, 2.58940800, 1.41922000e-1
2.03254396e2, 2.57342400, 1.27560000e-1
2.04934184e2, 2.55719600, 1.14205000e-1
2.06641969e2, 2.54100000, 1.02000000e-1
2.08378456e2, 2.52525900, 9.11250000e-2
2.10144375e2, 2.50973600, 8.13200000e-2
2.11940481e2, 2.49430200, 7.24060000e-2
2.13767554e2, 2.47904800, 6.43200000e-2
