wavelength (nm), n, k
2.40000000e2, 1.61970000, 3.40380000
2.42000000e2, 1.61870000, 3.43440000
2.44000000e2, 1.64080000, 3.46420000
2.46000000e2, 1.63480000, 3.53840000
2.48000000e2, 1.64320000, 3.59620000
2.50000000e2, 1.66780000, 3.65030000
2.52000000e2, 1.68660000, 3.72690000
2.54000000e2, 1.71130000, 3.81570000
2.56000000e2, 1.72320000, 3.88360000
2.58000000e2, 1.75830000, 3.97970000
2.60000000e2, 1.79640000, 4.07750000
2.62000000e2, 1.84300000, 4.18730000
2.64000000e2, 1.88580000, 4.29970000
2.66000000e2, 1.97050000, 4.42300000
2.68000000e2, 2.06030000, 4.55140000
2.70000000e2, 2.16460000, 4.67570000
2.72000000e2, 2.29880000, 4.80820000
2.74000000e2, 2.46990000, 4.93500000
2.76000000e2, 2.65180000, 5.04000000
2.78000000e2, 2.84860000, 5.12570000
2.80000000e2, 3.07560000, 5.19580000
2.82000000e2, 3.30790000, 5.23420000
2.84000000e2, 3.55930000, 5.25100000
2.86000000e2, 3.81540000, 5.23440000
2.88000000e2, 4.10560000, 5.17730000
2.90000000e2, 4.36170000, 5.05880000
2.92000000e2, 4.59340000, 4.89020000
2.94000000e2, 4.75440000, 4.69430000
2.96000000e2, 4.87980000, 4.48630000
2.98000000e2, 4.94950000, 4.29480000
3.00000000e2, 4.98700000, 4.12680000
3.02000000e2, 5.01789300, 3.97493800
3.04000000e2, 5.03200000, 3.84650000
3.06000000e2, 5.03470600, 3.73761200
3.08000000e2, 5.03140000, 3.64440000
3.10000000e2, 5.02919400, 3.56186900
3.12000000e2, 5.02830000, 3.48950000
3.14000000e2, 5.03203700, 3.42565000
3.16000000e2, 5.03820000, 3.36870000
3.18000000e2, 5.04510000, 3.31626900
3.20000000e2, 5.05450000, 3.26900000
3.22000000e2, 5.06836900, 3.22756900
3.24000000e2, 5.08440000, 3.18950000
3.26000000e2, 5.10086900, 3.15177500
3.28000000e2, 5.11800000, 3.11670000
3.30000000e2, 5.13441900, 3.08629300
3.32000000e2, 5.15320000, 3.05840000
3.34000000e2, 5.17845600, 3.03012500
3.36000000e2, 5.20570000, 3.00570000
3.38000000e2, 5.22933800, 2.99042500
3.40000000e2, 5.25680000, 2.97820000
3.42000000e2, 5.29520600, 2.96390000
3.44000000e2, 5.33990000, 2.94990000
3.46000000e2, 5.38700000, 2.93825600
3.48000000e2, 5.44130000, 2.92480000
3.50000000e2, 5.50733700, 2.90572500
3.52000000e2, 5.58200000, 2.88200000
3.54000000e2, 5.66445000, 2.85311200
3.56000000e2, 5.75240000, 2.81970000
3.58000000e2, 5.84121200, 2.78457500
3.60000000e2, 5.93710000, 2.74070000
3.62000000e2, 6.04645600, 2.68406900
3.64000000e2, 6.16410000, 2.60840000
3.66000000e2, 6.29086300, 2.50686200
3.68000000e2, 6.41510000, 2.37710000
3.70000000e2, 6.53053100, 2.21090000
3.72000000e2, 6.62190000, 2.01900000
3.74000000e2, 6.67083100, 1.80383000
3.76000000e2, 6.68040000, 1.58210000
3.78000000e2, 6.64233100, 1.36879300
3.80000000e2, 6.57230000, 1.17150000
3.82000000e2, 6.47888800, 1.00395000
3.84000000e2, 6.37510000, 8.62700000e-1
3.86000000e2, 6.27923700, 7.51844000e-1
3.88000000e2, 6.18400000, 6.62500000e-1
3.90000000e2, 6.08625700, 5.87694000e-1
3.92000000e2, 5.99180000, 5.25800000e-1
3.94000000e2, 5.90672400, 4.73156000e-1
3.96000000e2, 5.82700000, 4.28900000e-1
3.98000000e2, 5.75035600, 3.91263000e-1
4.00000000e2, 5.67760000, 3.59300000e-1
4.02000000e2, 5.60875600, 3.31756000e-1
4.04000000e2, 5.54390000, 3.07800000e-1
4.06000000e2, 5.48316300, 2.86163000e-1
4.08000000e2, 5.42640000, 2.66900000e-1
4.10000000e2, 5.37363700, 2.49725000e-1
4.12000000e2, 5.32450000, 2.34400000e-1
4.14000000e2, 5.27915600, 2.20625000e-1
4.16000000e2, 5.23600000, 2.08300000e-1
4.18000000e2, 5.19386900, 1.97275000e-1
4.20000000e2, 5.15160000, 1.87400000e-1
4.22000000e2, 5.10710100, 1.78130000e-1
4.24000000e2, 5.06650100, 1.69479000e-1
4.26000000e2, 5.02939900, 1.61413000e-1
4.28000000e2, 4.99539900, 1.53898000e-1
4.30000000e2, 4.96410000, 1.46900000e-1
4.32000000e2, 4.93510500, 1.40386000e-1
4.34000000e2, 4.90801700, 1.34323000e-1
4.36000000e2, 4.88243500, 1.28677000e-1
4.38000000e2, 4.85796300, 1.23414000e-1
4.40000000e2, 4.83420000, 1.18500000e-1
4.42000000e2, 4.80874000, 1.13848000e-1
4.44000000e2, 4.78369600, 1.09492000e-1
4.46000000e2, 4.75917200, 1.05412000e-1
4.48000000e2, 4.73527200, 1.01588000e-1
4.50000000e2, 4.71210000, 9.80000000e-2
