wavelength (nm), n, k
2.06641969e2, 1.11099900, 2.27799900
2.10144375e2, 1.15100000, 2.32400000
2.13767554e2, 1.19500000, 2.37000000
2.17517862e2, 1.24300000, 2.41600000
2.21402109e2, 1.29500000, 2.46200000
2.25427602e2, 1.35000000, 2.51000000
2.29602188e2, 1.40900000, 2.56100000
2.33934304e2, 1.47200000, 2.61100000
2.38433041e2, 1.54000000, 2.66200000
2.43108199e2, 1.61300000, 2.71200000
2.47970363e2, 1.69000000, 2.76000000
2.53030982e2, 1.77100000, 2.80600000
2.58302461e2, 1.86000000, 2.85000000
2.63798258e2, 1.96100000, 2.89200000
2.69533003e2, 2.07000000, 2.93000000
2.75522625e2, 2.18200000, 2.96200000
2.81784503e2, 2.30000000, 2.99000000
2.88337631e2, 2.42500000, 3.01700000
2.95202813e2, 2.56000000, 3.04000000
3.02402881e2, 2.71000000, 3.05700000
3.09962953e2, 2.87000000, 3.06000000
3.17910721e2, 3.03800000, 3.03900000
3.26276793e2, 3.21000000, 3.00000000
3.35095085e2, 3.37900000, 2.95000000
3.44403281e2, 3.55000000, 2.88000000
3.54243375e2, 3.72900000, 2.78000000
3.64662298e2, 3.90000000, 2.66000000
3.75712671e2, 4.04400000, 2.52900000
3.87453692e2, 4.17000000, 2.38000000
3.99952198e2, 4.28600000, 2.20600000
4.13283938e2, 4.38000000, 2.02000000
4.27535108e2, 4.43700000, 1.83000000
4.42804219e2, 4.47000000, 1.64000000
4.59204375e2, 4.48700000, 1.45600000
4.76866082e2, 4.49000000, 1.28000000
4.95940725e2, 4.48200000, 1.11900000
5.16604922e2, 4.46000000, 9.69000000e-1
5.39066006e2, 4.42000000, 8.27000000e-1
5.63569006e2, 4.36000000, 6.90000000e-1
5.90405625e2, 4.27700000, 5.57000000e-1
6.19925906e2, 4.23000000, 4.61000000e-1
6.52553586e2, 4.17000000, 3.63000000e-1
6.88806563e2, 4.09000000, 2.71000000e-1
7.29324596e2, 4.01000000, 1.99000000e-1
7.74907383e2, 3.93000000, 1.36000000e-1
8.26567875e2, 3.86000000, 8.12000000e-2
8.85608438e2, 3.77000000, 4.01000000e-2
9.53732164e2, 3.68000000, 0.00000000
1.03320984e3, 3.61000000, 0.00000000
1.12713801e3, 3.57000000, 0.00000000
1.23985181e3, 3.54000000, 0.00000000
1.37761313e3, 3.50000000, 0.00000000
1.54981477e3, 3.48000000, 0.00000000
1.77121688e3, 3.45000000, 0.00000000
2.06641969e3, 3.44000000, 0.00000000
