wavelength (nm), n, k
1.90000000e2, 4.02075100, 1.71785500
1.95000000e2, 4.04182100, 1.33477800
2.00000000e2, 3.96027500, 1.06001900
2.05000000e2, 3.86336900, 8.56408000e-1
2.10000000e2, 3.75876900, 7.02193000e-1
2.15000000e2, 3.65705900, 5.82250000e-1
2.20000000e2, 3.56497700, 4.86509000e-1
2.25000000e2, 3.47200500, 4.15198000e-1
2.30000000e2, 3.38369600, 3.63262000e-1
2.35000000e2, 3.31284500, 3.25046000e-1
2.40000000e2, 3.25226600, 3.07453000e-1
2.45000000e2, 3.19659400, 2.98516000e-1
2.50000000e2, 3.13292800, 2.09827000e-1
2.55000000e2, 3.07838700, 2.07218000e-1
2.60000000e2, 3.04433700, 2.06303000e-1
2.65000000e2, 3.02498700, 2.03478000e-1
2.70000000e2, 3.01408200, 2.01450000e-1
2.75000000e2, 3.00065500, 1.99471000e-1
2.80000000e2, 2.98975500, 1.94555000e-1
2.85000000e2, 2.98134300, 1.89714000e-1
2.90000000e2, 2.97363000, 1.85171000e-1
2.95000000e2, 2.96362400, 1.82127000e-1
3.00000000e2, 2.95324700, 1.79501000e-1
3.05000000e2, 2.94301100, 1.76861000e-1
3.10000000e2, 2.93312300, 1.73989000e-1
3.15000000e2, 2.92410500, 1.70626000e-1
3.20000000e2, 2.91519500, 1.66632000e-1
3.25000000e2, 2.90595800, 1.61861000e-1
3.30000000e2, 2.89570400, 1.55674000e-1
3.35000000e2, 2.88326900, 1.46928000e-1
3.40000000e2, 2.86999300, 1.37240000e-1
3.45000000e2, 2.85673100, 1.27684000e-1
3.50000000e2, 2.84424600, 1.19372000e-1
3.55000000e2, 2.83358600, 1.13844000e-1
3.60000000e2, 2.82406400, 1.10001000e-1
3.65000000e2, 2.81523000, 1.07109000e-1
3.70000000e2, 2.80697100, 1.05000000e-1
3.75000000e2, 2.79912100, 1.03454000e-1
3.80000000e2, 2.79168800, 1.02236000e-1
3.85000000e2, 2.78466700, 1.01116000e-1
3.90000000e2, 2.77797700, 1.00462000e-1
3.95000000e2, 2.77153500, 1.00823000e-1
4.00000000e2, 2.76537400, 1.00382000e-1
4.05000000e2, 2.75953000, 9.72890000e-2
4.10000000e2, 2.75400800, 8.80530000e-2
4.15000000e2, 2.74881900, 6.86890000e-2
4.20000000e2, 2.74393600, 4.42850000e-2
4.25000000e2, 2.73933400, 2.04760000e-2
4.30000000e2, 2.73502500, 2.13800000e-3
4.35000000e2, 2.73102600, 5.30900000e-3
4.40000000e2, 2.72725200, 5.58300000e-3
4.45000000e2, 2.72359900, 3.44100000e-3
4.50000000e2, 2.71995000, 7.59000000e-4
4.55000000e2, 2.71618300, 1.48000000e-4
4.60000000e2, 2.71237400, 5.00000000e-6
4.65000000e2, 2.70863800, 0.00000000
4.70000000e2, 2.70501800, 0.00000000
4.75000000e2, 2.70156000, 0.00000000
4.80000000e2, 2.69825000, 0.00000000
4.85000000e2, 2.69506100, 0.00000000
4.90000000e2, 2.69200800, 0.00000000
4.95000000e2, 2.68910000, 0.00000000
5.00000000e2, 2.68631400, 0.00000000
5.05000000e2, 2.68361800, 0.00000000
5.10000000e2, 2.68098300, 0.00000000
5.15000000e2, 2.67837100, 0.00000000
5.20000000e2, 2.67581100, 0.00000000
5.25000000e2, 2.67334900, 0.00000000
5.30000000e2, 2.67102600, 0.00000000
5.35000000e2, 2.66888400, 0.00000000
5.40000000e2, 2.66687500, 0.00000000
5.45000000e2, 2.66492300, 0.00000000
5.50000000e2, 2.66298300, 0.00000000
5.55000000e2, 2.66100400, 0.00000000
5.60000000e2, 2.65900100, 0.00000000
5.65000000e2, 2.65700100, 0.00000000
5.70000000e2, 2.65498400, 0.00000000
5.75000000e2, 2.65292700, 0.00000000
5.80000000e2, 2.65087400, 0.00000000
5.85000000e2, 2.64888800, 0.00000000
5.90000000e2, 2.64702400, 0.00000000
5.95000000e2, 2.64534400, 0.00000000
6.00000000e2, 2.64381300, 0.00000000
6.05000000e2, 2.64236800, 0.00000000
6.10000000e2, 2.64100100, 0.00000000
6.15000000e2, 2.63969500, 0.00000000
6.20000000e2, 2.63843800, 0.00000000
6.25000000e2, 2.63721200, 0.00000000
6.30000000e2, 2.63599300, 0.00000000
6.35000000e2, 2.63475200, 0.00000000
6.40000000e2, 2.63350000, 0.00000000
6.45000000e2, 2.63225200, 0.00000000
6.50000000e2, 2.63099300, 0.00000000
6.55000000e2, 2.62971400, 0.00000000
6.60000000e2, 2.62843700, 0.00000000
6.65000000e2, 2.62719100, 0.00000000
6.70000000e2, 2.62601300, 0.00000000
6.75000000e2, 2.62494000, 0.00000000
6.80000000e2, 2.62393700, 0.00000000
6.85000000e2, 2.62296300, 0.00000000
6.90000000e2, 2.62199400, 0.00000000
6.95000000e2, 2.62100200, 0.00000000
7.00000000e2, 2.62000000, 0.00000000
7.05000000e2, 2.61900000, 0.00000000
7.10000000e2, 2.61800000, 0.00000000
7.15000000e2, 2.61700000, 0.00000000
7.20000000e2, 2.61600000, 0.00000000
7.25000000e2, 2.61500300, 0.00000000
7.30000000e2, 2.61399500, 0.00000000
7.35000000e2, 2.61296300, 0.00000000
7.40000000e2, 2.61193800, 0.00000000
7.45000000e2, 2.61093800, 0.00000000
7.50000000e2, 2.61001800, 0.00000000
7.55000000e2, 2.60922800, 0.00000000
7.60000000e2, 2.60849900, 0.00000000
7.65000000e2, 2.60777600, 0.00000000
7.70000000e2, 2.60697300, 0.00000000
7.75000000e2, 2.60602200, 0.00000000
7.80000000e2, 2.60500000, 0.00000000
7.85000000e2, 2.60397900, 0.00000000
7.90000000e2, 2.60301400, 0.00000000
7.95000000e2, 2.60215300, 0.00000000
8.00000000e2, 2.60137500, 0.00000000
8.05000000e2, 2.60065100, 0.00000000
8.10000000e2, 2.60001500, 0.00000000
8.15000000e2, 2.59948200, 0.00000000
8.20000000e2, 2.59899900, 0.00000000
8.25000000e2, 2.59852600, 0.00000000
8.30000000e2, 2.59796900, 0.00000000
8.35000000e2, 2.59727000, 0.00000000
8.40000000e2, 2.59650200, 0.00000000
8.45000000e2, 2.59572500, 0.00000000
8.50000000e2, 2.59503200, 0.00000000
8.55000000e2, 2.59448100, 0.00000000
8.60000000e2, 2.59399800, 0.00000000
8.65000000e2, 2.59352500, 0.00000000
8.70000000e2, 2.59296700, 0.00000000
8.75000000e2, 2.59226800, 0.00000000
8.80000000e2, 2.59150200, 0.00000000
8.85000000e2, 2.59072900, 0.00000000
8.90000000e2, 2.59001600, 0.00000000
8.95000000e2, 2.58940400, 0.00000000
9.00000000e2, 2.58887400, 0.00000000
9.05000000e2, 2.58840200, 0.00000000
9.10000000e2, 2.58801800, 0.00000000
9.15000000e2, 2.58773300, 0.00000000
9.20000000e2, 2.58749900, 0.00000000
9.25000000e2, 2.58727400, 0.00000000
9.30000000e2, 2.58696600, 0.00000000
9.35000000e2, 2.58651900, 0.00000000
9.40000000e2, 2.58600200, 0.00000000
9.45000000e2, 2.58547600, 0.00000000
9.50000000e2, 2.58503400, 0.00000000
9.55000000e2, 2.58473200, 0.00000000
9.60000000e2, 2.58449900, 0.00000000
9.65000000e2, 2.58427300, 0.00000000
9.70000000e2, 2.58396500, 0.00000000
9.75000000e2, 2.58351900, 0.00000000
9.80000000e2, 2.58300200, 0.00000000
9.85000000e2, 2.58247900, 0.00000000
9.90000000e2, 2.58202500, 0.00000000
9.95000000e2, 2.58169300, 0.00000000
1.00000000e3, 2.58143700, 0.00000000
1.00500000e3, 2.58121200, 0.00000000
1.01000000e3, 2.58099200, 0.00000000
1.01500000e3, 2.58075100, 0.00000000
1.02000000e3, 2.58050000, 0.00000000
1.02500000e3, 2.58025000, 0.00000000
1.03000000e3, 2.57999900, 0.00000000
1.03500000e3, 2.57974900, 0.00000000
