wavelength (nm), n, k
2.63798258e2, 1.99800000, 4.04400000
2.65208944e2, 2.02300000, 4.11300000
2.66634798e2, 2.06500000, 4.16200000
2.68076068e2, 2.09100000, 4.23600000
2.69533003e2, 2.16400000, 4.30900000
2.71005861e2, 2.20200000, 4.39600000
2.72494904e2, 2.27600000, 4.45200000
2.74000401e2, 2.35400000, 4.54300000
2.75522625e2, 2.44100000, 4.63200000
2.77061858e2, 2.52600000, 4.69200000
2.78618385e2, 2.65000000, 4.78400000
2.80192500e2, 2.76400000, 4.84900000
2.81784503e2, 2.87200000, 4.90800000
2.83394700e2, 3.01100000, 4.98500000
2.85023405e2, 3.16300000, 5.03100000
2.86670939e2, 3.33900000, 5.06500000
2.88337631e2, 3.51700000, 5.11300000
2.90023816e2, 3.71200000, 5.12300000
2.91729838e2, 3.92500000, 5.11300000
2.93456050e2, 4.15300000, 5.07400000
2.95202813e2, 4.34400000, 4.97300000
2.96970494e2, 4.54000000, 4.85100000
2.98759473e2, 4.70400000, 4.72300000
3.00570136e2, 4.83000000, 4.55500000
3.02402881e2, 4.93700000, 4.39300000
3.04258114e2, 4.99900000, 4.23400000
3.06136250e2, 5.03300000, 4.08900000
3.08037717e2, 5.06100000, 3.97500000
3.09962953e2, 5.09700000, 3.83700000
3.11912406e2, 5.10700000, 3.74500000
3.13886535e2, 5.12600000, 3.63400000
3.15885812e2, 5.13700000, 3.55400000
3.17910721e2, 5.13500000, 3.47100000
3.19961758e2, 5.15600000, 3.41300000
3.22039432e2, 5.15600000, 3.34300000
3.24144265e2, 5.15900000, 3.27700000
3.26276793e2, 5.17200000, 3.22100000
3.28437566e2, 5.19700000, 3.17400000
3.30627150e2, 5.20200000, 3.11600000
3.32846124e2, 5.21100000, 3.07400000
3.35095085e2, 5.24100000, 3.03700000
3.37374643e2, 5.25600000, 3.00400000
3.39685428e2, 5.27900000, 2.96800000
3.42028086e2, 5.30100000, 2.92400000
3.44403281e2, 5.33000000, 2.89400000
3.46811696e2, 5.36400000, 2.86500000
3.49254032e2, 5.39600000, 2.83800000
3.51731011e2, 5.44000000, 2.80600000
3.54243375e2, 5.49300000, 2.78000000
3.56791889e2, 5.55000000, 2.75600000
3.59377337e2, 5.61400000, 2.75000000
3.62000529e2, 5.69600000, 2.71900000
3.64662298e2, 5.80800000, 2.68300000
3.67363500e2, 5.93900000, 2.62600000
3.70105019e2, 6.08600000, 2.54400000
3.72887763e2, 6.24000000, 2.41400000
3.75712671e2, 6.38300000, 2.23900000
3.78580706e2, 6.49400000, 2.00200000
3.81492866e2, 6.53800000, 1.73900000
3.84450175e2, 6.51600000, 1.48500000
3.87453692e2, 6.46100000, 1.25600000
3.90504508e2, 6.36300000, 1.04300000
3.93603750e2, 6.23900000, 8.82000000e-1
3.96752580e2, 6.11400000, 7.55000000e-1
3.99952198e2, 5.99000000, 6.41000000e-1
4.03203842e2, 5.87000000, 5.40000000e-1
4.06508791e2, 5.76600000, 4.77000000e-1
4.09868368e2, 5.66100000, 4.13000000e-1
4.13283938e2, 5.55900000, 3.66000000e-1
4.16756912e2, 5.47000000, 3.19000000e-1
4.20288750e2, 5.38500000, 2.91000000e-1
4.23880962e2, 5.30900000, 2.57000000e-1
4.27535108e2, 5.23300000, 2.36000000e-1
4.31252804e2, 5.16200000, 2.12000000e-1
4.35035724e2, 5.09700000, 1.87000000e-1
4.38885597e2, 5.03400000, 1.71000000e-1
4.42804219e2, 4.97500000, 1.51000000e-1
4.46793446e2, 4.91800000, 1.40000000e-1
4.50855205e2, 4.86600000, 1.35000000e-1
4.54991491e2, 4.81400000, 1.18000000e-1
4.59204375e2, 4.76600000, 1.06000000e-1
4.63496005e2, 4.72100000, 9.40000000e-2
4.67868609e2, 4.67700000, 8.90000000e-2
4.72324500e2, 4.63400000, 8.30000000e-2
4.76866082e2, 4.59000000, 7.40000000e-2
4.81495850e2, 4.55500000, 6.70000000e-2
4.86216397e2, 4.51600000, 6.20000000e-2
4.91030421e2, 4.48000000, 5.60000000e-2
4.95940725e2, 4.44700000, 4.90000000e-2
5.00950227e2, 4.41500000, 4.40000000e-2
5.06061964e2, 4.38300000, 4.20000000e-2
5.11279098e2, 4.35200000, 3.50000000e-2
5.16604922e2, 4.32500000, 3.20000000e-2
5.22042869e2, 4.29400000, 3.00000000e-2
5.27596516e2, 4.26600000, 2.60000000e-2
5.33269597e2, 4.24000000, 2.40000000e-2
5.39066006e2, 4.21600000, 1.80000000e-2
5.44989808e2, 4.19400000, 1.90000000e-2
5.51045250e2, 4.17000000, 1.60000000e-2
5.57236770e2, 4.14900000, 1.60000000e-2
5.63569006e2, 4.12900000, 1.40000000e-2
5.70046811e2, 4.10800000, 1.50000000e-2
5.76675262e2, 4.08900000, 1.00000000e-2
5.83459677e2, 4.07000000, 1.00000000e-2
5.90405625e2, 4.05000000, 1.00000000e-2
5.97518946e2, 4.03430000, 1.10000000e-2
6.04805762e2, 4.01650000, 8.00000000e-3
6.12272500e2, 3.99930000, 6.00000000e-3
6.19925906e2, 3.98200000, 6.00000000e-3
6.27773070e2, 3.96640000, 5.00000000e-3
6.35821443e2, 3.95070000, 6.00000000e-3
6.44078864e2, 3.93560000, 5.00000000e-3
6.52553586e2, 3.92300000, 6.00000000e-3
6.61254300e2, 3.90700000, 5.00000000e-3
6.70190169e2, 3.89350000, 3.00000000e-3
6.79370856e2, 3.88060000, 4.00000000e-3
6.88806563e2, 3.87000000, 3.00000000e-3
