wavelength (nm), n, k
1.63138396e2, 5.25120000e-1, 2.16784000
1.63568841e2, 5.32938000e-1, 2.17385700
1.64001563e2, 5.40312000e-1, 2.18008700
1.64436580e2, 5.47265000e-1, 2.18652400
1.64873911e2, 5.53820000e-1, 2.19316400
1.65313575e2, 5.60000000e-1, 2.20000000
1.65755590e2, 5.65828000e-1, 2.20702900
1.66199975e2, 5.71327000e-1, 2.21424400
1.66646749e2, 5.76520000e-1, 2.22164100
1.67095932e2, 5.81430000e-1, 2.22921500
1.67547542e2, 5.86080000e-1, 2.23696000
1.68001601e2, 5.90493000e-1, 2.24487200
1.68458127e2, 5.94693000e-1, 2.25294400
1.68917141e2, 5.98702000e-1, 2.26117400
1.69378663e2, 6.02543000e-1, 2.26955400
1.69842714e2, 6.06240000e-1, 2.27808000
1.70309315e2, 6.09816000e-1, 2.28674700
1.70778487e2, 6.13293000e-1, 2.29554900
1.71250250e2, 6.16695000e-1, 2.30448200
1.71724628e2, 6.20043000e-1, 2.31354100
1.72201641e2, 6.23357000e-1, 2.32272100
1.72681311e2, 6.26648000e-1, 2.33202100
1.73163661e2, 6.29956000e-1, 2.34143200
1.73648713e2, 6.33314000e-1, 2.35094400
1.74136491e2, 6.36749000e-1, 2.36055200
1.74627016e2, 6.40275000e-1, 2.37025300
1.75120313e2, 6.43890000e-1, 2.38005000
1.75616404e2, 6.47666000e-1, 2.38992300
1.76115314e2, 6.51638000e-1, 2.39986400
1.76617067e2, 6.55869000e-1, 2.40985500
1.77121688e2, 6.60451000e-1, 2.41987200
1.77629200e2, 6.65588000e-1, 2.42985600
1.78139628e2, 6.71088000e-1, 2.43986400
1.78652999e2, 6.76866000e-1, 2.44992600
1.79169337e2, 6.82873000e-1, 2.46005600
1.79688669e2, 6.89094000e-1, 2.47025600
1.80211019e2, 6.95495000e-1, 2.48052800
1.80736416e2, 7.02052000e-1, 2.49089600
1.81264885e2, 7.08745000e-1, 2.50137200
1.81796454e2, 7.15539000e-1, 2.51197600
1.82331149e2, 7.22385000e-1, 2.52273600
1.82868999e2, 7.29193000e-1, 2.53370900
1.83410031e2, 7.36023000e-1, 2.54484800
1.83954275e2, 7.42900000e-1, 2.55613100
1.84501758e2, 7.49825000e-1, 2.56755200
1.85052509e2, 7.56779000e-1, 2.57911700
1.85606559e2, 7.63729000e-1, 2.59084100
1.86163936e2, 7.70721000e-1, 2.60269100
1.86724671e2, 7.77781000e-1, 2.61465000
1.87288793e2, 7.84927000e-1, 2.62669900
1.87856335e2, 7.92171000e-1, 2.63882300
1.88427327e2, 7.99531000e-1, 2.65099100
1.89001801e2, 8.07015000e-1, 2.66321400
1.89579788e2, 8.14625000e-1, 2.67548600
1.90161321e2, 8.22381000e-1, 2.68780900
1.90746433e2, 8.30316000e-1, 2.70019700
1.91335156e2, 8.38507000e-1, 2.71270700
1.91927525e2, 8.46873000e-1, 2.72524200
1.92523573e2, 8.55373000e-1, 2.73773700
1.93123335e2, 8.63986000e-1, 2.75016300
1.93726846e2, 8.72712000e-1, 2.76252900
1.94334140e2, 8.81561000e-1, 2.77491200
1.94945254e2, 8.90479000e-1, 2.78712100
1.95560223e2, 8.99436000e-1, 2.79907300
1.96179084e2, 9.08392000e-1, 2.81063600
1.96801875e2, 9.17295000e-1, 2.82163100
1.97428633e2, 9.26031000e-1, 2.83164000
1.98059395e2, 9.34694000e-1, 2.84106400
1.98694201e2, 9.43327000e-1, 2.85011100
1.99333089e2, 9.51942000e-1, 2.85885300
1.99976099e2, 9.60517000e-1, 2.86723300
2.00623271e2, 9.68997000e-1, 2.87505500
2.01274645e2, 9.77483000e-1, 2.88276500
2.01930263e2, 9.86361000e-1, 2.89108500
2.02590166e2, 9.95349000e-1, 2.89977500
2.03254396e2, 1.00349800, 2.90763200
2.03922996e2, 1.00004800, 2.90533700
2.04596009e2, 9.95253000e-1, 2.90138100
2.05273479e2, 9.92848000e-1, 2.89873000
2.05955451e2, 9.96564000e-1, 2.90034900
2.06641969e2, 1.01013600, 2.90920100
2.07333079e2, 1.03522200, 2.92832800
2.08028828e2, 1.04697700, 2.94214400
2.08729261e2, 1.06549500, 2.93902800
2.09434428e2, 1.06870400, 2.96086700
2.10144375e2, 1.08037000, 2.97983000
2.10859152e2, 1.09031800, 2.98963000
2.11578808e2, 1.10140700, 3.00348000
2.12303393e2, 1.10974000, 3.01565000
2.13032958e2, 1.11880200, 3.02508500
2.13767554e2, 1.13254400, 3.04478300
2.14507234e2, 1.13910500, 3.06055000
2.15252051e2, 1.15478800, 3.07263400
2.16002058e2, 1.16458300, 3.08631200
2.16757310e2, 1.17511700, 3.10270500
2.17517862e2, 1.18588500, 3.11961500
2.18283770e2, 1.19508600, 3.13498800
2.19055091e2, 1.21069300, 3.15007600
2.19831882e2, 1.22184400, 3.16915500
2.20614202e2, 1.23471400, 3.19006500
2.21402109e2, 1.24747300, 3.20674300
2.22195665e2, 1.26524900, 3.22792600
2.22994930e2, 1.28067300, 3.24533500
2.23799966e2, 1.29839900, 3.26703300
2.24610836e2, 1.31861400, 3.28518600
2.25427602e2, 1.33997400, 3.30158400
2.26250331e2, 1.36204900, 3.31861700
2.27079087e2, 1.38925600, 3.33441800
2.27913936e2, 1.41626300, 3.34957200
2.28754947e2, 1.44468700, 3.35933200
2.29602188e2, 1.47176200, 3.36638900
2.30455727e2, 1.50138400, 3.36855700
2.31315637e2, 1.52610500, 3.36745700
2.32181987e2, 1.54820800, 3.36375400
2.33054852e2, 1.56554800, 3.35851200
2.33934304e2, 1.57855100, 3.35285900
2.34820419e2, 1.58549200, 3.34631500
2.35713272e2, 1.58987100, 3.34426000
2.36612941e2, 1.59139600, 3.34368900
2.37519504e2, 1.59188700, 3.34714000
2.38433041e2, 1.58869600, 3.35363400
2.39353632e2, 1.58614300, 3.36306100
2.40281359e2, 1.58156200, 3.37555900
2.41216306e2, 1.57829400, 3.38948600
2.42158557e2, 1.57377300, 3.40823000
2.43108199e2, 1.57107300, 3.42924700
2.44065318e2, 1.56967900, 3.45084200
2.45030003e2, 1.56881600, 3.47686800
2.46002344e2, 1.56829300, 3.50370500
2.46982433e2, 1.56890300, 3.53349000
2.47970363e2, 1.57044600, 3.56473600
2.48966227e2, 1.57494700, 3.59784600
2.49970124e2, 1.57955500, 3.63253700
2.50982148e2, 1.58427500, 3.67001100
2.52002401e2, 1.59086000, 3.70933400
2.53030982e2, 1.59703900, 3.74918900
2.54067994e2, 1.60841800, 3.78894700
2.55113542e2, 1.61756000, 3.83512300
2.56167730e2, 1.62913300, 3.88012200
2.57230667e2, 1.64319700, 3.92857900
2.58302461e2, 1.65767800, 3.97909400
2.59383224e2, 1.67326900, 4.03147700
2.60473070e2, 1.69202700, 4.08837500
2.61572112e2, 1.71318100, 4.14868300
2.62680469e2, 1.73710500, 4.21114600
2.63798258e2, 1.76411100, 4.27810000
2.64925601e2, 1.79390000, 4.35062300
2.66062621e2, 1.83134100, 4.42619500
2.67209442e2, 1.87450400, 4.50629600
2.68366193e2, 1.92744500, 4.59051200
2.69533003e2, 1.98794000, 4.67807900
