wavelength (nm), n, k
2.40000000e2, 1.63780000, 3.23300000
2.42000000e2, 1.63740000, 3.25130000
2.44000000e2, 1.64050000, 3.25980000
2.46000000e2, 1.65770000, 3.34800000
2.48000000e2, 1.67610000, 3.40500000
2.50000000e2, 1.68750000, 3.45680000
2.52000000e2, 1.71720000, 3.51030000
2.54000000e2, 1.76780000, 3.58520000
2.56000000e2, 1.78250000, 3.64620000
2.58000000e2, 1.82590000, 3.71900000
2.60000000e2, 1.87050000, 3.78120000
2.62000000e2, 1.90530000, 3.86550000
2.64000000e2, 1.95440000, 3.94330000
2.66000000e2, 2.01890000, 4.02050000
2.68000000e2, 2.08800000, 4.11140000
2.70000000e2, 2.15470000, 4.19830000
2.72000000e2, 2.24810000, 4.29810000
2.74000000e2, 2.35630000, 4.39130000
2.76000000e2, 2.47810000, 4.48120000
2.78000000e2, 2.60830000, 4.56970000
2.80000000e2, 2.78190000, 4.65750000
2.82000000e2, 2.97510000, 4.73010000
2.84000000e2, 3.18690000, 4.75490000
2.86000000e2, 3.42590000, 4.75100000
2.88000000e2, 3.67340000, 4.68890000
2.90000000e2, 3.87990000, 4.58520000
2.92000000e2, 4.04450000, 4.45260000
2.94000000e2, 4.17080000, 4.30960000
2.96000000e2, 4.28050000, 4.15860000
2.98000000e2, 4.33260000, 4.02110000
3.00000000e2, 4.38420000, 3.89700000
3.02000000e2, 4.42391300, 3.77411900
3.04000000e2, 4.44750000, 3.67000000
3.06000000e2, 4.45976300, 3.58078100
3.08000000e2, 4.46550000, 3.50260000
3.10000000e2, 4.47136300, 3.42985000
3.12000000e2, 4.47660000, 3.36390000
3.14000000e2, 4.48293100, 3.30479400
3.16000000e2, 4.48960000, 3.25090000
3.18000000e2, 4.49616900, 3.20066300
3.20000000e2, 4.50340000, 3.15390000
3.22000000e2, 4.51256800, 3.10981200
3.24000000e2, 4.52170000, 3.06870000
3.26000000e2, 4.52863100, 3.03085000
3.28000000e2, 4.53520000, 2.99550000
3.30000000e2, 4.54251300, 2.96178100
3.32000000e2, 4.55060000, 2.93030000
3.34000000e2, 4.56065000, 2.90140000
3.36000000e2, 4.57030000, 2.87500000
3.38000000e2, 4.57613800, 2.85190600
3.40000000e2, 4.58250000, 2.82980000
3.42000000e2, 4.59415600, 2.80567500
3.44000000e2, 4.60640000, 2.78240000
3.46000000e2, 4.61449400, 2.76269400
3.48000000e2, 4.62330000, 2.74400000
3.50000000e2, 4.63711900, 2.72420600
3.52000000e2, 4.65290000, 2.70470000
3.54000000e2, 4.66910600, 2.68608100
3.56000000e2, 4.68550000, 2.66860000
3.58000000e2, 4.70070000, 2.65311200
3.60000000e2, 4.71660000, 2.63840000
3.62000000e2, 4.73480000, 2.62369400
3.64000000e2, 4.75480000, 2.60850000
3.66000000e2, 4.77699400, 2.59221200
3.68000000e2, 4.80030000, 2.57440000
3.70000000e2, 4.82367500, 2.55425000
3.72000000e2, 4.84740000, 2.53230000
3.74000000e2, 4.87175700, 2.50808700
3.76000000e2, 4.89570000, 2.48380000
3.78000000e2, 4.91783100, 2.46270600
