wavelength (nm), n, k
2.40000000e2, 1.69563200, 3.62697300
2.45000000e2, 1.99595400, 3.83231100
2.50000000e2, 2.48919200, 4.04727200
2.55000000e2, 3.01808600, 3.98986800
2.60000000e2, 3.38970600, 3.73613300
2.65000000e2, 3.69210000, 3.44161400
2.70000000e2, 3.82847900, 3.13312000
2.75000000e2, 3.95682900, 2.89469900
2.80000000e2, 3.98948700, 2.61969700
2.85000000e2, 3.99427300, 2.37910700
2.90000000e2, 3.90887600, 2.19780300
2.95000000e2, 3.83706100, 2.07782600
3.00000000e2, 3.75746800, 1.99720500
3.05000000e2, 3.69131800, 1.94116300
3.10000000e2, 3.63544900, 1.90348300
3.15000000e2, 3.58940900, 1.88228200
3.20000000e2, 3.55771400, 1.87177700
3.25000000e2, 3.53027200, 1.86955200
3.30000000e2, 3.52014600, 1.87376300
3.35000000e2, 3.50493100, 1.87883600
3.40000000e2, 3.50794100, 1.89149900
3.45000000e2, 3.50936200, 1.90442200
3.50000000e2, 3.51783300, 1.92210700
3.55000000e2, 3.53201000, 1.94349900
3.60000000e2, 3.56045600, 1.96586200
3.65000000e2, 3.58853700, 1.98529300
3.70000000e2, 3.62290500, 2.01220900
3.75000000e2, 3.66364400, 2.03605000
3.80000000e2, 3.72572700, 2.06165200
3.85000000e2, 3.78761100, 2.09181600
3.90000000e2, 3.88221100, 2.11872700
3.95000000e2, 3.98380700, 2.12352000
4.00000000e2, 4.11611700, 2.09761200
4.05000000e2, 4.20899100, 2.03158900
4.10000000e2, 4.27294900, 1.96426600
4.15000000e2, 4.32520500, 1.92332100
4.20000000e2, 4.37500200, 1.89689500
4.25000000e2, 4.45284500, 1.90422100
4.30000000e2, 4.61691900, 1.90806200
4.35000000e2, 4.82732000, 1.78475800
4.40000000e2, 4.95226600, 1.55241500
4.45000000e2, 4.97129600, 1.31776200
4.50000000e2, 4.93645100, 1.12632800
4.55000000e2, 4.86644100, 9.81826200e-1
4.60000000e2, 4.79233800, 8.77641300e-1
4.65000000e2, 4.72435600, 7.95790400e-1
4.70000000e2, 4.65898600, 7.25932800e-1
4.75000000e2, 4.59509800, 6.70416600e-1
4.80000000e2, 4.54125200, 6.22134600e-1
4.85000000e2, 4.49273300, 5.83223500e-1
4.90000000e2, 4.44355000, 5.50566100e-1
4.95000000e2, 4.39944800, 5.20755600e-1
5.00000000e2, 4.35930000, 4.93835300e-1
5.05000000e2, 4.32392100, 4.70678500e-1
5.10000000e2, 4.28931600, 4.51574600e-1
5.15000000e2, 4.25633300, 4.30910000e-1
5.20000000e2, 4.22542100, 4.14910400e-1
5.25000000e2, 4.19676200, 4.00013700e-1
5.30000000e2, 4.16964400, 3.85442600e-1
5.35000000e2, 4.14413600, 3.72659700e-1
5.40000000e2, 4.11996900, 3.62211700e-1
5.45000000e2, 4.09524000, 3.48364500e-1
5.50000000e2, 4.07628000, 3.40152400e-1
5.55000000e2, 4.05467800, 3.30917000e-1
5.60000000e2, 4.03354600, 3.20333100e-1
5.65000000e2, 4.01492400, 3.13205200e-1
5.70000000e2, 3.99410500, 3.02160200e-1
5.75000000e2, 3.98114700, 2.95595100e-1
5.80000000e2, 3.96247800, 2.89817900e-1
5.85000000e2, 3.94809900, 2.81987800e-1
5.90000000e2, 3.93701900, 2.76068800e-1
5.95000000e2, 3.92089600, 2.68206500e-1
6.00000000e2, 3.90816500, 2.63135600e-1
6.05000000e2, 3.90076200, 2.60680100e-1
6.10000000e2, 3.88365300, 2.51358500e-1
6.15000000e2, 3.87393500, 2.48946900e-1
6.20000000e2, 3.86459200, 2.43521900e-1
6.25000000e2, 3.85265200, 2.37074400e-1
6.30000000e2, 3.84129900, 2.33280100e-1
6.35000000e2, 3.83154600, 2.29161100e-1
6.40000000e2, 3.81706200, 2.24291300e-1
6.45000000e2, 3.80945500, 2.19421200e-1
6.50000000e2, 3.80297000, 2.17339600e-1
6.55000000e2, 3.79114300, 2.13064600e-1
6.60000000e2, 3.78698800, 2.09642100e-1
6.65000000e2, 3.78254700, 2.07247800e-1
6.70000000e2, 3.77524500, 2.05101500e-1
6.75000000e2, 3.76904400, 2.01388000e-1
6.80000000e2, 3.75637700, 1.94903900e-1
6.85000000e2, 3.74778900, 1.90407100e-1
6.90000000e2, 3.75038700, 1.93919000e-1
6.95000000e2, 3.74678300, 1.90385000e-1
7.00000000e2, 3.73835600, 1.85813400e-1
7.05000000e2, 3.72413000, 1.79999400e-1
7.10000000e2, 3.72462000, 1.79207900e-1
7.15000000e2, 3.72308900, 1.74858600e-1
7.20000000e2, 3.71215100, 1.70182100e-1
7.25000000e2, 3.71215200, 1.66740500e-1
7.30000000e2, 3.70520100, 1.64106500e-1
7.35000000e2, 3.70420200, 1.54391800e-1
7.40000000e2, 3.69987200, 1.48969500e-1
7.45000000e2, 3.69572000, 1.49420700e-1
7.50000000e2, 3.69172100, 1.46947700e-1
7.55000000e2, 3.68300600, 1.44879100e-1
7.60000000e2, 3.67710000, 1.44259200e-1
7.65000000e2, 3.67482400, 1.39321000e-1
7.70000000e2, 3.67177200, 1.42977400e-1
7.75000000e2, 3.66689500, 1.49444900e-1
7.80000000e2, 3.66550600, 1.47096900e-1
7.85000000e2, 3.66079900, 1.48380600e-1
7.90000000e2, 3.65980200, 1.41845900e-1
7.95000000e2, 3.65300100, 1.48839900e-1
8.00000000e2, 3.65300500, 1.40245800e-1
8.05000000e2, 3.65059600, 1.44671200e-1
8.10000000e2, 3.64760400, 1.43933600e-1
8.15000000e2, 3.64282800, 1.46690000e-1
8.20000000e2, 3.63891400, 1.36197000e-1
8.25000000e2, 3.64005200, 1.19939200e-1
8.30000000e2, 3.63639100, 1.36368700e-1
8.35000000e2, 3.63625000, 1.26745000e-1
8.40000000e2, 3.63412200, 1.63101900e-1
