wavelength (nm), n, k
2.50000000e2, 1.63447300, 2.36400000e-3
2.55000000e2, 1.63029800, 1.56200000e-3
2.60000000e2, 1.62595600, 8.78000000e-4
2.65000000e2, 1.62178700, 3.46000000e-4
2.70000000e2, 1.61813000, 0.00000000
2.75000000e2, 1.61598500, 5.50000000e-5
2.80000000e2, 1.61370800, 0.00000000
2.85000000e2, 1.60930800, 0.00000000
2.90000000e2, 1.60482200, 0.00000000
2.95000000e2, 1.60200300, 0.00000000
3.00000000e2, 1.59971100, 0.00000000
3.05000000e2, 1.59725500, 0.00000000
3.10000000e2, 1.59504700, 0.00000000
3.15000000e2, 1.59346200, 0.00000000
3.20000000e2, 1.59192000, 0.00000000
3.25000000e2, 1.58974300, 0.00000000
3.30000000e2, 1.58760800, 0.00000000
3.35000000e2, 1.58610500, 0.00000000
3.40000000e2, 1.58481000, 0.00000000
3.45000000e2, 1.58346400, 0.00000000
3.50000000e2, 1.58216600, 0.00000000
3.55000000e2, 1.58093900, 0.00000000
3.60000000e2, 1.57975700, 0.00000000
3.65000000e2, 1.57859700, 0.00000000
3.70000000e2, 1.57746800, 0.00000000
3.75000000e2, 1.57635600, 0.00000000
3.80000000e2, 1.57531500, 0.00000000
3.85000000e2, 1.57442400, 0.00000000
3.90000000e2, 1.57359700, 0.00000000
3.95000000e2, 1.57277800, 0.00000000
4.00000000e2, 1.57195000, 0.00000000
4.05000000e2, 1.57102400, 0.00000000
4.10000000e2, 1.57015300, 0.00000000
4.15000000e2, 1.56953800, 0.00000000
4.20000000e2, 1.56894000, 0.00000000
4.25000000e2, 1.56812100, 0.00000000
4.30000000e2, 1.56727500, 0.00000000
4.35000000e2, 1.56648300, 0.00000000
4.40000000e2, 1.56585300, 0.00000000
4.45000000e2, 1.56564600, 0.00000000
4.50000000e2, 1.56548700, 0.00000000
4.55000000e2, 1.56504000, 0.00000000
4.60000000e2, 1.56444500, 0.00000000
4.65000000e2, 1.56366800, 0.00000000
4.70000000e2, 1.56289700, 0.00000000
4.75000000e2, 1.56235800, 0.00000000
4.80000000e2, 1.56190400, 0.00000000
4.85000000e2, 1.56147700, 0.00000000
4.90000000e2, 1.56103500, 0.00000000
4.95000000e2, 1.56049300, 0.00000000
5.00000000e2, 1.55992900, 0.00000000
5.05000000e2, 1.55938400, 0.00000000
5.10000000e2, 1.55887800, 0.00000000
5.15000000e2, 1.55845600, 0.00000000
5.20000000e2, 1.55807600, 0.00000000
5.25000000e2, 1.55772000, 0.00000000
5.30000000e2, 1.55736800, 0.00000000
5.35000000e2, 1.55698900, 0.00000000
5.40000000e2, 1.55659100, 0.00000000
5.45000000e2, 1.55614300, 0.00000000
5.50000000e2, 1.55572900, 0.00000000
5.55000000e2, 1.55542600, 0.00000000
5.60000000e2, 1.55522400, 0.00000000
5.65000000e2, 1.55518400, 0.00000000
5.70000000e2, 1.55517100, 0.00000000
5.75000000e2, 1.55506300, 0.00000000
5.80000000e2, 1.55488600, 0.00000000
5.85000000e2, 1.55462500, 0.00000000
5.90000000e2, 1.55427400, 0.00000000
5.95000000e2, 1.55378300, 0.00000000
6.00000000e2, 1.55327100, 0.00000000
6.05000000e2, 1.55285400, 0.00000000
6.10000000e2, 1.55248800, 0.00000000
6.15000000e2, 1.55217200, 0.00000000
6.20000000e2, 1.55188900, 0.00000000
6.25000000e2, 1.55161300, 0.00000000
6.30000000e2, 1.55136900, 0.00000000
6.35000000e2, 1.55118000, 0.00000000
6.40000000e2, 1.55102700, 0.00000000
6.45000000e2, 1.55088700, 0.00000000
6.50000000e2, 1.55079400, 0.00000000
6.55000000e2, 1.55080200, 0.00000000
6.60000000e2, 1.55082300, 0.00000000
6.65000000e2, 1.55078200, 0.00000000
6.70000000e2, 1.55069800, 0.00000000
6.75000000e2, 1.55056000, 0.00000000
6.80000000e2, 1.55037700, 0.00000000
6.85000000e2, 1.55015600, 0.00000000
6.90000000e2, 1.54989200, 0.00000000
6.95000000e2, 1.54956200, 0.00000000
7.00000000e2, 1.54922000, 0.00000000
7.05000000e2, 1.54891700, 0.00000000
7.10000000e2, 1.54863300, 0.00000000
7.15000000e2, 1.54836700, 0.00000000
7.20000000e2, 1.54811900, 0.00000000
7.25000000e2, 1.54788600, 0.00000000
7.30000000e2, 1.54766900, 0.00000000
7.35000000e2, 1.54747300, 0.00000000
7.40000000e2, 1.54729000, 0.00000000
7.45000000e2, 1.54711100, 0.00000000
7.50000000e2, 1.54693900, 0.00000000
7.55000000e2, 1.54677400, 0.00000000
7.60000000e2, 1.54661500, 0.00000000
7.65000000e2, 1.54646300, 0.00000000
7.70000000e2, 1.54631600, 0.00000000
7.75000000e2, 1.54616900, 0.00000000
7.80000000e2, 1.54602600, 0.00000000
7.85000000e2, 1.54588800, 0.00000000
7.90000000e2, 1.54575700, 0.00000000
7.95000000e2, 1.54563500, 0.00000000
8.00000000e2, 1.54552300, 0.00000000
