wavelength (nm), n, k
1.90746433e2, 1.74600000, 7.34800000e-1
1.92225087e2, 1.75432500, 7.33009000e-1
1.93726846e2, 1.76263200, 7.31016000e-1
1.95252254e2, 1.77092800, 7.28826000e-1
1.96801875e2, 1.77921600, 7.26444000e-1
1.98376290e2, 1.78750000, 7.23875000e-1
1.99976099e2, 1.79578400, 7.21124000e-1
2.01601921e2, 1.80407200, 7.18197000e-1
2.03254396e2, 1.81236800, 7.15096000e-1
2.04934184e2, 1.82067600, 7.11829000e-1
2.06641969e2, 1.82900000, 7.08400000e-1
2.08378456e2, 1.83734400, 7.04814000e-1
2.10144375e2, 1.84571200, 7.01076000e-1
2.11940481e2, 1.85410800, 6.97191000e-1
2.13767554e2, 1.86253600, 6.93164000e-1
2.15626402e2, 1.87100500, 6.89007000e-1
2.17517862e2, 1.87955100, 6.84787000e-1
2.19442799e2, 1.88813600, 6.80428000e-1
2.21402109e2, 1.89674400, 6.75904000e-1
2.23396723e2, 1.90536900, 6.71200000e-1
2.25427602e2, 1.91399300, 6.66293000e-1
2.27495745e2, 1.92256900, 6.61119000e-1
2.29602188e2, 1.93114400, 6.55725000e-1
2.31748002e2, 1.93973700, 6.50123000e-1
2.33934304e2, 1.94835000, 6.44313000e-1
2.36162250e2, 1.95702200, 6.38318000e-1
2.38433041e2, 1.96585400, 6.32215000e-1
2.40747925e2, 1.97472300, 6.25901000e-1
2.43108199e2, 1.98355800, 6.19314000e-1
2.45515210e2, 1.99233100, 6.12428000e-1
2.47970363e2, 2.00097600, 6.05165000e-1
2.50475114e2, 2.00939700, 5.97401000e-1
2.53030982e2, 2.01767900, 5.89282000e-1
2.55639549e2, 2.02587500, 5.80900000e-1
2.58302461e2, 2.03402600, 5.72334000e-1
2.61021434e2, 2.04220600, 5.63705000e-1
2.63798258e2, 2.05031300, 5.54894000e-1
2.66634798e2, 2.05826100, 5.45808000e-1
2.69533003e2, 2.06597100, 5.36364000e-1
2.72494904e2, 2.07334100, 5.26448000e-1
2.75522625e2, 2.08043800, 5.16163000e-1
2.78618385e2, 2.08732000, 5.05600000e-1
2.81784503e2, 2.09400800, 4.94826000e-1
2.85023405e2, 2.10053000, 4.83923000e-1
2.88337631e2, 2.10687500, 4.72831000e-1
2.91729838e2, 2.11302800, 4.61494000e-1
2.95202813e2, 2.11902300, 4.49904000e-1
2.98759473e2, 2.12489400, 4.38049000e-1
3.02402881e2, 2.13056300, 4.25900000e-1
3.06136250e2, 2.13594300, 4.13431000e-1
3.09962953e2, 2.14101600, 4.00561000e-1
3.13886535e2, 2.14575500, 3.87219000e-1
3.17910721e2, 2.15006300, 3.73500000e-1
3.22039432e2, 2.15384700, 3.59512000e-1
3.26276793e2, 2.15692600, 3.45306000e-1
