wavelength (nm), n, k
2.10144375e2, 1.09220000, 2.88310000
2.11940481e2, 1.10090000, 2.90360600
2.13767554e2, 1.11840000, 2.93150000
2.15626402e2, 1.14237500, 2.96529400
2.17517862e2, 1.17050000, 3.00350000
2.19442799e2, 1.19796900, 3.04418700
2.21402109e2, 1.22990000, 3.08720000
2.23396723e2, 1.26980000, 3.13376200
2.25427602e2, 1.31770000, 3.17780000
2.27495745e2, 1.37850000, 3.21563800
2.29602188e2, 1.44110000, 3.24130000
2.31748002e2, 1.49894400, 3.24150000
2.33934304e2, 1.54330000, 3.23450000
2.36162250e2, 1.55796300, 3.23246900
2.38433041e2, 1.55880000, 3.24040000
2.40747925e2, 1.55514400, 3.26931900
2.43108199e2, 1.55040000, 3.31330000
2.45515210e2, 1.55126200, 3.37039900
2.47970363e2, 1.55720000, 3.43970000
2.50475114e2, 1.56976300, 3.51966900
2.53030982e2, 1.58940000, 3.61020000
2.55639549e2, 1.61655000, 3.70928800
2.58302461e2, 1.65280000, 3.82110000
2.61021434e2, 1.69610000, 3.94773100
2.63798258e2, 1.75780000, 4.09340000
2.66634798e2, 1.84298700, 4.26903700
2.69533003e2, 1.96840000, 4.45660000
2.72494904e2, 2.15662400, 4.64814900
2.75522625e2, 2.39520000, 4.82430000
2.78618385e2, 2.67333300, 4.96418200
2.81784503e2, 3.00860000, 5.06430000
2.85023405e2, 3.44290200, 5.14667500
2.88337631e2, 3.89250000, 5.11390000
2.91729838e2, 4.30740700, 4.81354500
2.95202813e2, 4.62830000, 4.43270000
2.98759473e2, 4.73979900, 4.11512000
3.02402881e2, 4.76010000, 3.83840000
3.06136250e2, 4.77064400, 3.63769500
3.09962953e2, 4.76630000, 3.48410000
3.13886535e2, 4.76873200, 3.36293100
3.17910721e2, 4.77900000, 3.26670000
3.22039432e2, 4.80813700, 3.18317500
3.26276793e2, 4.84790000, 3.11190000
3.30627150e2, 4.89223100, 3.04714400
3.35095085e2, 4.94560000, 2.99250000
3.39685428e2, 5.00373700, 2.94735000
3.44403281e2, 5.08680000, 2.91860000
3.49254032e2, 5.19221300, 2.93819400
3.54243375e2, 5.38390000, 2.93040000
3.59377337e2, 5.80733200, 2.86335000
3.64662298e2, 6.21530000, 2.63740000
3.70105019e2, 6.38978800, 2.02885500
3.75712671e2, 6.38870000, 1.37800000
3.81492866e2, 6.14004300, 9.98007000e-1
3.87453692e2, 5.81550000, 7.46500000e-1
3.93603750e2, 5.58196900, 5.98994000e-1
3.99952198e2, 5.38180000, 5.15000000e-1
4.06508791e2, 5.21596900, 4.43550000e-1
4.13283938e2, 5.07550000, 3.91600000e-1
4.20288750e2, 4.95258800, 3.49431000e-1
4.27535108e2, 4.84470000, 3.16100000e-1
4.35035724e2, 4.74682400, 2.87837000e-1
4.42804219e2, 4.65860000, 2.63400000e-1
4.50855205e2, 4.57823100, 2.40775000e-1
4.59204375e2, 4.50500000, 2.18500000e-1
4.67868609e2, 4.43795000, 1.92556000e-1
4.76866082e2, 4.37600000, 1.68600000e-1
4.86216397e2, 4.31774400, 1.52450000e-1
4.95940725e2, 4.26320000, 1.39600000e-1
5.06061964e2, 4.21200000, 1.27413000e-1
5.16604922e2, 4.16390000, 1.16100000e-1
5.27596516e2, 4.11859400, 1.05156000e-1
5.39066006e2, 4.07590000, 9.41000000e-2
5.51045250e2, 4.03563100, 8.12810000e-2
5.63569006e2, 3.99750000, 6.97000000e-2
5.76675262e2, 3.96108700, 6.31630000e-2
5.90405625e2, 3.92660000, 5.76000000e-2
6.04805762e2, 3.89436200, 4.94560000e-2
6.19925906e2, 3.86360000, 4.10000000e-2
6.35821443e2, 3.83325600, 3.33810000e-2
6.52553586e2, 3.80450000, 2.64000000e-2
6.70190169e2, 3.77841900, 2.00560000e-2
6.88806563e2, 3.75420000, 1.49000000e-2
7.08486750e2, 3.73136900, 1.18130000e-2
7.29324596e2, 3.71000000, 9.80000000e-3
7.51425341e2, 3.69049400, 8.17500000e-3
7.74907383e2, 3.67140000, 6.90000000e-3
7.99904395e2, 3.65110600, 5.63100000e-3
8.26567875e2, 3.63050000, 4.60000000e-3
8.55070216e2, 3.60900600, 4.01300000e-3
8.85608438e2, 3.58940000, 3.60000000e-3
9.18408750e2, 3.57575600, 3.14400000e-3
9.53732164e2, 3.56360000, 2.70000000e-3
9.91881450e2, 3.54898100, 2.19400000e-3
1.03320984e3, 3.53440000, 1.80000000e-3
1.07813201e3, 3.52152500, 1.80000000e-3
1.12713801e3, 3.50890000, 1.80000000e-3
1.18081125e3, 3.49585000, 1.57500000e-3
1.23985181e3, 3.48170000, 9.00000000e-4
