wavelength (nm), n, k
1.90746433e2, 9.20294000e-1, 2.30374900
1.92225087e2, 9.34155200e-1, 2.32984000
1.93726846e2, 9.48935900e-1, 2.35583300
1.95252254e2, 9.64573300e-1, 2.38167200
1.96801875e2, 9.80844500e-1, 2.40673100
1.98376290e2, 9.97445300e-1, 2.43008300
1.99976099e2, 1.01456800, 2.45256000
2.01601921e2, 1.03218200, 2.47420800
2.03254396e2, 1.05063600, 2.49645700
2.04934184e2, 1.07088400, 2.52234100
2.06641969e2, 1.09105900, 2.54710400
2.08378456e2, 1.10818800, 2.56406900
2.10144375e2, 1.12654300, 2.58199700
2.11940481e2, 1.14885000, 2.60637000
2.13767554e2, 1.17411000, 2.63457200
2.15626402e2, 1.19859600, 2.66196500
2.17517862e2, 1.22188800, 2.68878400
2.19442799e2, 1.25218800, 2.72095000
2.21402109e2, 1.28006000, 2.75318100
2.23396723e2, 1.31304200, 2.78621100
2.25427602e2, 1.35000000, 2.81934300
2.27495745e2, 1.39198500, 2.85092900
2.29602188e2, 1.43654700, 2.87489700
2.31748002e2, 1.48080000, 2.89021100
2.33934304e2, 1.51630000, 2.90074000
2.36162250e2, 1.54115400, 2.91329600
2.38433041e2, 1.56176000, 2.93313800
2.40747925e2, 1.58049000, 2.96033400
2.43108199e2, 1.59994000, 2.99366700
2.45515210e2, 1.62263800, 3.03259600
2.47970363e2, 1.64778600, 3.07654600
2.50475114e2, 1.67723700, 3.12451600
2.53030982e2, 1.70974100, 3.17644400
2.55639549e2, 1.74762200, 3.23202100
2.58302461e2, 1.79073300, 3.29218700
2.61021434e2, 1.83983500, 3.35824200
2.63798258e2, 1.89787600, 3.43185100
2.66634798e2, 1.96785700, 3.51459400
2.69533003e2, 2.05639600, 3.60366700
2.72494904e2, 2.16815300, 3.69105600
2.75522625e2, 2.30384000, 3.76711600
2.78618385e2, 2.50346300, 3.84326500
2.81784503e2, 2.62447000, 3.87335200
2.85023405e2, 2.81298900, 3.90971900
2.88337631e2, 3.04999100, 3.90442400
2.91729838e2, 3.27775200, 3.80089800
2.95202813e2, 3.42587400, 3.65392800
2.98759473e2, 3.51488200, 3.52763100
3.02402881e2, 3.57935200, 3.42721800
3.06136250e2, 3.63314300, 3.34830500
3.09962953e2, 3.68479800, 3.28231800
3.13886535e2, 3.73985100, 3.22581400
3.17910721e2, 3.79727800, 3.17602300
3.22039432e2, 3.85962800, 3.12991500
3.26276793e2, 3.92576300, 3.08717700
3.30627150e2, 3.99476100, 3.04644600
3.35095085e2, 4.06687600, 3.00713300
3.39685428e2, 4.14210700, 2.97059700
3.44403281e2, 4.22625900, 2.93528300
3.49254032e2, 4.32416500, 2.90581800
3.54243375e2, 4.45411900, 2.88358900
3.59377337e2, 4.65006300, 2.84754400
3.64662298e2, 4.90174600, 2.70357200
3.70105019e2, 5.07136400, 2.41662800
3.75712671e2, 5.05398900, 2.15260700
3.81492866e2, 5.02204900, 1.88773600
3.87453692e2, 4.96822600, 1.74392400
3.93603750e2, 4.87656900, 1.60816100
3.99952198e2, 4.83292300, 1.50169800
4.06508791e2, 4.78496500, 1.41956100
4.13283938e2, 4.74306400, 1.33401500
4.20288750e2, 4.70502800, 1.25725900
4.27535108e2, 4.67013400, 1.18622200
4.35035724e2, 4.63538700, 1.11704700
4.42804219e2, 4.60253000, 1.05057500
4.50855205e2, 4.57110900, 9.85683300e-1
4.59204375e2, 4.54076100, 9.22258100e-1
4.67868609e2, 4.51099900, 8.60009800e-1
4.76866082e2, 4.48237800, 8.01342200e-1
4.86216397e2, 4.45409700, 7.46778400e-1
4.95940725e2, 4.42592800, 6.95362500e-1
5.06061964e2, 4.39737000, 6.46828000e-1
5.16604922e2, 4.36787000, 6.00247800e-1
5.27596516e2, 4.33716300, 5.54575300e-1
5.39066006e2, 4.30503100, 5.09855200e-1
5.51045250e2, 4.27339700, 4.67344500e-1
5.63569006e2, 4.23503000, 4.23544000e-1
5.76675262e2, 4.19020700, 3.78643000e-1
5.90405625e2, 4.15537900, 3.42271600e-1
6.04805762e2, 4.12834500, 3.12913200e-1
6.19925906e2, 4.10062500, 2.82724700e-1
6.35821443e2, 4.07258300, 2.52468900e-1
6.52553586e2, 4.04081000, 2.22248400e-1
6.70190169e2, 4.00613700, 1.92318500e-1
6.88806563e2, 3.97225100, 1.66310300e-1
7.08486750e2, 3.93955100, 1.43732100e-1
7.29324596e2, 3.90671500, 1.22581800e-1
7.51425341e2, 3.87297100, 1.02944200e-1
7.74907383e2, 3.84306200, 8.41065600e-2
7.99904395e2, 3.81600600, 6.57966000e-2
8.26567875e2, 3.78443100, 5.05320700e-2
8.55070216e2, 3.74980600, 3.93905200e-2
8.85608438e2, 3.71432700, 2.55482000e-2
9.18408750e2, 3.68018100, 8.90430100e-3
9.53732164e2, 3.64893400, 1.15319300e-3
9.91881450e2, 3.61946600, 1.12869500e-3
1.03320984e3, 3.59605300, 0.00000000
1.07813201e3, 3.57709300, 0.00000000
1.12713801e3, 3.56115200, 0.00000000
1.18081125e3, 3.54855500, 0.00000000
1.23985181e3, 3.53239200, 1.05750000e-3
1.30510717e3, 3.51289600, 0.00000000
1.37761313e3, 3.49894400, 0.00000000
1.45864919e3, 3.49046200, 0.00000000
1.54981477e3, 3.47856500, 0.00000000
1.65313575e3, 3.46559400, 0.00000000
1.77121688e3, 3.45379900, 0.00000000
1.90746433e3, 3.44545600, 0.00000000
2.06641969e3, 3.44283900, 0.00000000
2.25427602e3, 3.44920000, 0.00000000
2.47970363e3, 3.46508500, 0.00000000
