wavelength (nm), n, k
2.10144375e2, 1.23450000, 9.87200000e-1
2.11940481e2, 1.24313800, 9.93131000e-1
2.13767554e2, 1.25200000, 9.99900000e-1
2.15626402e2, 1.26123800, 1.00744400
2.17517862e2, 1.27100000, 1.01570000
2.19442799e2, 1.28117500, 1.02471900
2.21402109e2, 1.29270000, 1.03410000
2.23396723e2, 1.30660000, 1.04404400
2.25427602e2, 1.32250000, 1.05280000
2.27495745e2, 1.34152500, 1.05901300
2.29602188e2, 1.36020000, 1.06170000
2.31748002e2, 1.37589400, 1.05753100
2.33934304e2, 1.38720000, 1.05220000
2.36162250e2, 1.39021300, 1.05012500
2.38433041e2, 1.38980000, 1.05180000
2.40747925e2, 1.38932500, 1.05985000
2.43108199e2, 1.38940000, 1.07230000
2.45515210e2, 1.39187500, 1.08815000
2.47970363e2, 1.39640000, 1.10710000
2.50475114e2, 1.40321900, 1.12851300
2.53030982e2, 1.41240000, 1.15240000
2.55639549e2, 1.42394400, 1.17820600
2.58302461e2, 1.43830000, 1.20700000
2.61021434e2, 1.45492500, 1.23940000
2.63798258e2, 1.47680000, 1.27620000
2.66634798e2, 1.50551900, 1.31996200
2.69533003e2, 1.54470000, 1.36600000
2.72494904e2, 1.59948700, 1.41183100
2.75522625e2, 1.66690000, 1.45340000
2.78618385e2, 1.74358200, 1.48622500
2.81784503e2, 1.83580000, 1.50910000
2.85023405e2, 1.95648800, 1.52911200
2.88337631e2, 2.08230000, 1.51690000
2.91729838e2, 2.20058800, 1.42757500
2.95202813e2, 2.29220000, 1.31480000
2.98759473e2, 2.32218100, 1.21901300
3.02402881e2, 2.32530000, 1.13500000
3.06136250e2, 2.32487500, 1.07397500
3.09962953e2, 2.32030000, 1.02710000
3.13886535e2, 2.31916300, 9.89944000e-1
3.17910721e2, 2.32020000, 9.60500000e-1
3.22039432e2, 2.32486200, 9.35444000e-1
3.26276793e2, 2.33260000, 9.14300000e-1
3.30627150e2, 2.34320600, 8.95063000e-1
3.35095085e2, 2.35710000, 8.79000000e-1
3.39685428e2, 2.37245000, 8.66019000e-1
3.44403281e2, 2.39580000, 8.58200000e-1
3.49254032e2, 2.42645000, 8.65506000e-1
3.54243375e2, 2.48430000, 8.64200000e-1
3.59377337e2, 2.61477500, 8.44406000e-1
3.64662298e2, 2.74060000, 7.74500000e-1
3.70105019e2, 2.79395000, 5.83800000e-1
3.75712671e2, 2.79190000, 3.79600000e-1
3.81492866e2, 2.71057500, 2.60400000e-1
3.87453692e2, 2.60500000, 1.81900000e-1
3.93603750e2, 2.52830600, 1.37031000e-1
3.99952198e2, 2.46230000, 1.12600000e-1
4.06508791e2, 2.40744400, 9.23500000e-2
4.13283938e2, 2.36090000, 7.84000000e-2
4.20288750e2, 2.32028100, 6.75380000e-2
4.27535108e2, 2.28470000, 5.95000000e-2
4.35035724e2, 2.25251800, 5.31120000e-2
4.42804219e2, 2.22360000, 4.79000000e-2
4.50855205e2, 2.19733700, 4.31500000e-2
4.59204375e2, 2.17350000, 3.84000000e-2
4.67868609e2, 2.15177500, 3.23250000e-2
4.76866082e2, 2.13180000, 2.68000000e-2
4.86216397e2, 2.11311300, 2.37560000e-2
4.95940725e2, 2.09570000, 2.17000000e-2
5.06061964e2, 2.07941200, 1.97560000e-2
5.16604922e2, 2.06420000, 1.80000000e-2
5.27596516e2, 2.04999400, 1.62690000e-2
5.39066006e2, 2.03670000, 1.44000000e-2
5.51045250e2, 2.02423700, 1.18190000e-2
5.63569006e2, 2.01250000, 9.60000000e-3
5.76675262e2, 2.00133100, 9.09400000e-3
5.90405625e2, 1.99080000, 8.90000000e-3
6.04805762e2, 1.98100600, 7.81300000e-3
6.19925906e2, 1.97170000, 6.60000000e-3
6.35821443e2, 1.96255600, 5.66900000e-3
6.52553586e2, 1.95390000, 4.90000000e-3
6.70190169e2, 1.94602500, 4.34400000e-3
6.88806563e2, 1.93870000, 3.90000000e-3
7.08486750e2, 1.93177500, 3.48800000e-3
7.29324596e2, 1.92530000, 3.10000000e-3
7.51425341e2, 1.91944400, 2.69400000e-3
7.74907383e2, 1.91370000, 2.30000000e-3
7.99904395e2, 1.90753100, 1.92500000e-3
8.26567875e2, 1.90120000, 1.60000000e-3
8.55070216e2, 1.89448100, 1.37500000e-3
8.85608438e2, 1.88830000, 1.20000000e-3
9.18408750e2, 1.88393100, 1.04400000e-3
9.53732164e2, 1.88010000, 9.00000000e-4
9.91881450e2, 1.87580000, 7.31000000e-4
1.03320984e3, 1.87150000, 6.00000000e-4
1.07813201e3, 1.86738100, 6.00000000e-4
1.12713801e3, 1.86330000, 6.00000000e-4
1.18081125e3, 1.85919400, 5.25000000e-4
1.23985181e3, 1.85500000, 3.00000000e-4
