wavelength (nm), n, k
2.75522625e2, 2.45600000, 5.08500000
2.77061858e2, 2.60400000, 5.16200000
2.78618385e2, 2.77300000, 5.23400000
2.80192500e2, 2.94500000, 5.29400000
2.81784503e2, 3.12200000, 5.34500000
2.83394700e2, 3.32000000, 5.38900000
2.85023405e2, 3.54100000, 5.42400000
2.86670939e2, 3.80100000, 5.43800000
2.88337631e2, 4.09800000, 5.39000000
2.90023816e2, 4.37500000, 5.26100000
2.91729838e2, 4.61200000, 5.06500000
2.93456050e2, 4.77800000, 4.85100000
2.95202813e2, 4.88900000, 4.63500000
2.96970494e2, 4.95100000, 4.43800000
2.98759473e2, 4.98800000, 4.26600000
3.00570136e2, 5.00900000, 4.11100000
3.02402881e2, 5.02000000, 3.97700000
3.04258114e2, 5.02100000, 3.86200000
3.06136250e2, 5.01900000, 3.75800000
3.08037717e2, 5.01600000, 3.66500000
3.09962953e2, 5.01000000, 3.58700000
3.11912406e2, 5.00900000, 3.50600000
3.13886535e2, 5.01000000, 3.43800000
3.15885812e2, 5.01100000, 3.39600000
3.17910721e2, 5.01600000, 3.34500000
3.19961758e2, 5.02300000, 3.30000000
3.22039432e2, 5.03500000, 3.25800000
3.24144265e2, 5.04900000, 3.21900000
3.26276793e2, 5.06500000, 3.18200000
3.28437566e2, 5.08300000, 3.14700000
3.30627150e2, 5.10600000, 3.11500000
3.32846124e2, 5.13000000, 3.08400000
3.35095085e2, 5.15600000, 3.05800000
3.37374643e2, 5.18600000, 3.03400000
3.39685428e2, 5.21800000, 3.01400000
3.42028086e2, 5.25400000, 2.99800000
3.44403281e2, 5.29700000, 2.98700000
3.46811696e2, 5.34900000, 2.98300000
3.49254032e2, 5.41400000, 2.98700000
3.51731011e2, 5.49900000, 2.99700000
3.54243375e2, 5.61500000, 3.01500000
3.56791889e2, 5.77600000, 3.02500000
3.59377337e2, 5.99800000, 3.00100000
3.62000529e2, 6.26100000, 2.90200000
3.64662298e2, 6.52200000, 2.70400000
3.67363500e2, 6.72200000, 2.37600000
3.70105019e2, 6.81200000, 2.01300000
3.72887763e2, 6.80400000, 1.64000000
3.75712671e2, 6.70600000, 1.31600000
3.78580706e2, 6.54900000, 1.06600000
3.81492866e2, 6.38200000, 8.78600000e-1
3.84450175e2, 6.21400000, 7.36500000e-1
3.87453692e2, 6.06200000, 6.30000000e-1
3.90504508e2, 5.92000000, 5.46600000e-1
3.93603750e2, 5.79300000, 4.80700000e-1
3.96752580e2, 5.67600000, 4.25700000e-1
3.99952198e2, 5.57000000, 3.87000000e-1
4.03203842e2, 5.47300000, 3.47800000e-1
4.06508791e2, 5.38300000, 3.20700000e-1
4.09868368e2, 5.29800000, 2.95800000e-1
4.13283938e2, 5.22100000, 2.68800000e-1
4.16756912e2, 5.15000000, 2.52200000e-1
4.20288750e2, 5.08300000, 2.35800000e-1
4.23880962e2, 5.02000000, 2.15000000e-1
4.27535108e2, 4.96000000, 2.02700000e-1
4.31252804e2, 4.90400000, 1.91600000e-1
4.35035724e2, 4.85100000, 1.85000000e-1
4.38885597e2, 4.80100000, 1.73700000e-1
4.42804219e2, 4.75200000, 1.62800000e-1
4.46793446e2, 4.70800000, 1.49000000e-1
4.50855205e2, 4.66400000, 1.40700000e-1
4.54991491e2, 4.62300000, 1.31500000e-1
4.59204375e2, 4.58200000, 1.30000000e-1
4.63496005e2, 4.54500000, 1.31800000e-1
4.67868609e2, 4.50800000, 1.26700000e-1
4.72324500e2, 4.47300000, 1.20000000e-1
4.76866082e2, 4.44200000, 9.00200000e-2
4.81495850e2, 4.41000000, 9.11800000e-2
4.86216397e2, 4.37800000, 8.09300000e-2
4.91030421e2, 4.34900000, 7.74700000e-2
4.95940725e2, 4.31900000, 7.30000000e-2
5.00950227e2, 4.29200000, 7.11100000e-2
5.06061964e2, 4.26600000, 6.91000000e-2
5.11279098e2, 4.24000000, 6.27500000e-2
5.16604922e2, 4.21500000, 5.99400000e-2
5.22042869e2, 4.19100000, 5.52000000e-2
5.27596516e2, 4.16800000, 4.79900000e-2
5.33269597e2, 4.14400000, 4.45200000e-2
5.39066006e2, 4.12300000, 4.79700000e-2
5.44989808e2, 4.10200000, 4.40000000e-2
5.51045250e2, 4.08100000, 3.78600000e-2
5.57236770e2, 4.06100000, 3.65600000e-2
5.63569006e2, 4.04200000, 3.20100000e-2
5.70046811e2, 4.02200000, 3.29300000e-2
5.76675262e2, 4.00400000, 2.84800000e-2
5.83459677e2, 3.98600000, 2.92900000e-2
5.90405625e2, 3.96900000, 2.99600000e-2
5.97518946e2, 3.95300000, 2.64900000e-2
6.04805762e2, 3.93700000, 2.50000000e-2
6.12272500e2, 3.92100000, 2.42400000e-2
6.19925906e2, 3.90600000, 2.20000000e-2
