wavelength (nm), n, k
2.10144375e2, 1.69330000, 1.05740000
2.13767554e2, 1.61120000, 1.05910000
2.17517862e2, 1.63330000, 1.06810000
2.21402109e2, 1.65730000, 1.08020000
2.25427602e2, 1.68170000, 1.09020000
2.29602188e2, 1.70690000, 1.10000000
2.33934304e2, 1.73470000, 1.10920000
2.38433041e2, 1.76390000, 1.11820000
2.43108199e2, 1.79490000, 1.12650000
2.47970363e2, 1.82700000, 1.13330000
2.53030982e2, 1.86220000, 1.14030000
2.58302461e2, 1.89880000, 1.14570000
2.63798258e2, 1.93830000, 1.14970000
2.69533003e2, 1.97980000, 1.15200000
2.75522625e2, 2.02410000, 1.15240000
2.81784503e2, 2.07050000, 1.15000000
2.88337631e2, 2.12010000, 1.14450000
2.95202813e2, 2.17210000, 1.13510000
3.02402881e2, 2.22590000, 1.12090000
3.09962953e2, 2.28120000, 1.10070000
3.17910721e2, 2.34840000, 1.07810000
3.26276793e2, 2.39330000, 1.04150000
3.35095085e2, 2.44680000, 1.00020000
3.44403281e2, 2.49670000, 9.53000000e-1
3.54243375e2, 2.54200000, 8.98700000e-1
3.64662298e2, 2.58010000, 8.39600000e-1
3.75712671e2, 2.61170000, 7.76000000e-1
3.87453692e2, 2.63530000, 7.10700000e-1
3.99952198e2, 2.65060000, 6.44600000e-1
4.13283938e2, 2.65900000, 5.78800000e-1
4.27535108e2, 2.65990000, 5.15600000e-1
4.42804219e2, 2.65530000, 4.54900000e-1
4.59204375e2, 2.64560000, 3.97100000e-1
4.76866082e2, 2.63150000, 3.43600000e-1
4.95940725e2, 2.61430000, 2.93400000e-1
5.16604922e2, 2.59420000, 2.46800000e-1
5.39066006e2, 2.57110000, 2.04200000e-1
5.63569006e2, 2.54680000, 1.64400000e-1
5.90405625e2, 2.52160000, 1.25400000e-1
6.19925906e2, 2.49630000, 8.63000000e-2
6.52553586e2, 2.47020000, 4.80000000e-2
6.88806563e2, 2.44800000, 1.31000000e-2
7.29324596e2, 2.42880000, 1.80000000e-3
7.74907383e2, 2.41080000, 0.00000000
8.26567875e2, 2.39440000, 0.00000000
8.85608438e2, 2.38140000, 0.00000000
9.53732164e2, 2.37430000, 0.00000000
1.03320984e3, 2.35660000, 0.00000000
1.12713801e3, 2.35090000, 0.00000000
1.23985181e3, 2.33760000, 0.00000000
1.37761313e3, 2.32540000, 0.00000000
1.54981477e3, 2.31320000, 0.00000000
1.77121688e3, 2.30100000, 0.00000000
2.06641969e3, 2.28880000, 0.00000000
