wavelength (nm), n, k
1.80000000e2, 1.20774000, 2.06520500
1.90000000e2, 1.31675500, 2.26006500
2.00000000e2, 1.48000000, 2.45000000
2.10000000e2, 1.72091200, 2.59833800
2.20000000e2, 2.01695100, 2.66775000
2.30000000e2, 2.32147100, 2.60421300
2.40000000e2, 2.54161000, 2.40075800
2.50000000e2, 2.57257900, 2.15419500
2.60000000e2, 2.48046400, 2.08827400
2.70000000e2, 2.41454100, 2.05297500
2.80000000e2, 2.37225400, 2.04366000
2.90000000e2, 2.35104400, 2.05569200
3.00000000e2, 2.34835400, 2.08443500
3.10000000e2, 2.36162500, 2.12525200
3.20000000e2, 2.38830100, 2.17350600
3.30000000e2, 2.42582200, 2.22456100
3.40000000e2, 2.47163600, 2.27382900
3.50000000e2, 2.52297000, 2.31370500
3.60000000e2, 2.57612200, 2.32372500
3.70000000e2, 2.63031400, 2.32386900
3.80000000e2, 2.68343000, 2.31562000
3.90000000e2, 2.73341100, 2.30004800
4.00000000e2, 2.77636900, 2.27817000
4.10000000e2, 2.80551900, 2.25069400
4.20000000e2, 2.82726400, 2.21927800
4.30000000e2, 2.84173500, 2.18511500
4.40000000e2, 2.84888500, 2.14945600
4.50000000e2, 2.84830500, 2.11472800
4.60000000e2, 2.83925200, 2.08447700
4.70000000e2, 2.82317200, 2.05488300
4.80000000e2, 2.80048000, 2.02585600
4.90000000e2, 2.77141500, 1.99732400
5.00000000e2, 2.73760300, 1.96757400
5.10000000e2, 2.70076400, 1.93472200
5.20000000e2, 2.65743300, 1.90371200
5.30000000e2, 2.60690000, 1.87586200
5.40000000e2, 2.54870600, 1.85242100
5.50000000e2, 2.47794000, 1.83490800
5.60000000e2, 2.39117900, 1.82474900
5.70000000e2, 2.29824700, 1.82256800
5.80000000e2, 2.20136800, 1.82945100
5.90000000e2, 2.10260700, 1.84628900
6.00000000e2, 2.00682200, 1.87780700
6.10000000e2, 1.91713000, 1.92634700
6.20000000e2, 1.83012100, 1.98532700
6.30000000e2, 1.74645800, 2.05373500
6.40000000e2, 1.66674500, 2.13043100
6.50000000e2, 1.59194400, 2.21571900
6.60000000e2, 1.52271600, 2.30868400
6.70000000e2, 1.45906100, 2.40575200
6.80000000e2, 1.40148500, 2.50508600
6.90000000e2, 1.35014700, 2.60532300
7.00000000e2, 1.30884200, 2.70028000
7.10000000e2, 1.27769600, 2.78859300
7.20000000e2, 1.25196300, 2.87518500
7.30000000e2, 1.23064600, 2.96012000
7.40000000e2, 1.21271500, 3.04360800
7.50000000e2, 1.19474000, 3.12641000
7.60000000e2, 1.17622200, 3.20853600
7.70000000e2, 1.15927500, 3.28967300
7.80000000e2, 1.14378800, 3.36961700
7.90000000e2, 1.12966300, 3.44842500
8.00000000e2, 1.11703800, 3.52591800
8.10000000e2, 1.10574500, 3.60215500
8.20000000e2, 1.09544800, 3.67732800
8.30000000e2, 1.08598600, 3.75149200
8.40000000e2, 1.07719600, 3.82470500
8.50000000e2, 1.06852300, 3.89686800
8.60000000e2, 1.06003000, 3.96812700
8.70000000e2, 1.05196400, 4.03871700
