wavelength (nm), n, k
2.50000000e2, 2.19619600, 0.00000000
2.55000000e2, 2.16957800, 0.00000000
2.60000000e2, 2.14528300, 0.00000000
2.65000000e2, 2.12306500, 0.00000000
2.70000000e2, 2.10270800, 0.00000000
2.75000000e2, 2.08402200, 0.00000000
2.80000000e2, 2.06683900, 0.00000000
2.85000000e2, 2.05101100, 0.00000000
2.90000000e2, 2.03640800, 0.00000000
2.95000000e2, 2.02291300, 0.00000000
3.00000000e2, 2.01042300, 0.00000000
3.05000000e2, 1.99884600, 0.00000000
3.10000000e2, 1.98810100, 0.00000000
3.15000000e2, 1.97811200, 0.00000000
3.20000000e2, 1.96881600, 0.00000000
3.25000000e2, 1.96015200, 0.00000000
3.30000000e2, 1.95206700, 0.00000000
3.35000000e2, 1.94451300, 0.00000000
3.40000000e2, 1.93744700, 0.00000000
3.45000000e2, 1.93083000, 0.00000000
3.50000000e2, 1.92462600, 0.00000000
3.55000000e2, 1.91880300, 0.00000000
3.60000000e2, 1.91333300, 0.00000000
3.65000000e2, 1.90818800, 0.00000000
3.70000000e2, 1.90334400, 0.00000000
3.75000000e2, 1.89878000, 0.00000000
3.80000000e2, 1.89447400, 0.00000000
3.85000000e2, 1.89040900, 0.00000000
3.90000000e2, 1.88656800, 0.00000000
3.95000000e2, 1.88293500, 0.00000000
4.00000000e2, 1.87949600, 0.00000000
4.05000000e2, 1.87623800, 0.00000000
4.10000000e2, 1.87314900, 0.00000000
4.15000000e2, 1.87021800, 0.00000000
4.20000000e2, 1.86743500, 0.00000000
4.25000000e2, 1.86479000, 0.00000000
4.30000000e2, 1.86227400, 0.00000000
4.35000000e2, 1.85988000, 0.00000000
4.40000000e2, 1.85760000, 0.00000000
4.45000000e2, 1.85542800, 0.00000000
4.50000000e2, 1.85335600, 0.00000000
4.55000000e2, 1.85137900, 0.00000000
4.60000000e2, 1.84949100, 0.00000000
4.65000000e2, 1.84768700, 0.00000000
4.70000000e2, 1.84596300, 0.00000000
4.75000000e2, 1.84431400, 0.00000000
4.80000000e2, 1.84273500, 0.00000000
4.85000000e2, 1.84122300, 0.00000000
4.90000000e2, 1.83977500, 0.00000000
4.95000000e2, 1.83838600, 0.00000000
5.00000000e2, 1.83705400, 0.00000000
5.05000000e2, 1.83577600, 0.00000000
5.10000000e2, 1.83454800, 0.00000000
5.15000000e2, 1.83336900, 0.00000000
5.20000000e2, 1.83223600, 0.00000000
5.25000000e2, 1.83114600, 0.00000000
5.30000000e2, 1.83009700, 0.00000000
5.35000000e2, 1.82908800, 0.00000000
5.40000000e2, 1.82811700, 0.00000000
5.45000000e2, 1.82718100, 0.00000000
5.50000000e2, 1.82627900, 0.00000000
5.55000000e2, 1.82540900, 0.00000000
5.60000000e2, 1.82457000, 0.00000000
5.65000000e2, 1.82376100, 0.00000000
5.70000000e2, 1.82298000, 0.00000000
5.75000000e2, 1.82222500, 0.00000000
5.80000000e2, 1.82149600, 0.00000000
5.85000000e2, 1.82079200, 0.00000000
5.90000000e2, 1.82011100, 0.00000000
5.95000000e2, 1.81945300, 0.00000000
6.00000000e2, 1.81881600, 0.00000000
6.05000000e2, 1.81819900, 0.00000000
6.10000000e2, 1.81760200, 0.00000000
6.15000000e2, 1.81702400, 0.00000000
6.20000000e2, 1.81646400, 0.00000000
6.25000000e2, 1.81592200, 0.00000000
6.30000000e2, 1.81539600, 0.00000000
6.35000000e2, 1.81488600, 0.00000000
6.40000000e2, 1.81439100, 0.00000000
6.45000000e2, 1.81391100, 0.00000000
6.50000000e2, 1.81344500, 0.00000000
6.55000000e2, 1.81299300, 0.00000000
6.60000000e2, 1.81255400, 0.00000000
6.65000000e2, 1.81212700, 0.00000000
6.70000000e2, 1.81171300, 0.00000000
6.75000000e2, 1.81131000, 0.00000000
6.80000000e2, 1.81091900, 0.00000000
6.85000000e2, 1.81053800, 0.00000000
6.90000000e2, 1.81016800, 0.00000000
6.95000000e2, 1.80980800, 0.00000000
7.00000000e2, 1.80945700, 0.00000000
7.05000000e2, 1.80911600, 0.00000000
7.10000000e2, 1.80878400, 0.00000000
7.15000000e2, 1.80846000, 0.00000000
7.20000000e2, 1.80814500, 0.00000000
7.25000000e2, 1.80783800, 0.00000000
7.30000000e2, 1.80753900, 0.00000000
7.35000000e2, 1.80724700, 0.00000000
7.40000000e2, 1.80696300, 0.00000000
7.45000000e2, 1.80668600, 0.00000000
7.50000000e2, 1.80641500, 0.00000000
7.55000000e2, 1.80615100, 0.00000000
7.60000000e2, 1.80589400, 0.00000000
7.65000000e2, 1.80564300, 0.00000000
7.70000000e2, 1.80539800, 0.00000000
7.75000000e2, 1.80515800, 0.00000000
7.80000000e2, 1.80492500, 0.00000000
7.85000000e2, 1.80469600, 0.00000000
7.90000000e2, 1.80447300, 0.00000000
7.95000000e2, 1.80425500, 0.00000000
8.00000000e2, 1.80404300, 0.00000000
8.05000000e2, 1.80383400, 0.00000000
8.10000000e2, 1.80363100, 0.00000000
8.15000000e2, 1.80343200, 0.00000000
8.20000000e2, 1.80323800, 0.00000000
8.25000000e2, 1.80304700, 0.00000000
8.30000000e2, 1.80286100, 0.00000000
8.35000000e2, 1.80267900, 0.00000000
8.40000000e2, 1.80250100, 0.00000000
8.45000000e2, 1.80232700, 0.00000000
8.50000000e2, 1.80215600, 0.00000000
