wavelength (nm), n, k
1.23985181e2, 3.83000000e-1, 9.20000000e-1
1.24608222e2, 3.88313000e-1, 9.27813000e-1
1.25237557e2, 3.88000000e-1, 9.36000000e-1
1.25873280e2, 3.84438000e-1, 9.44937000e-1
1.26515491e2, 3.80000000e-1, 9.55000000e-1
1.27164289e2, 3.78125000e-1, 9.67375000e-1
1.27819775e2, 3.78000000e-1, 9.80000000e-1
1.28482053e2, 3.80813000e-1, 9.91000000e-1
1.29151231e2, 3.84000000e-1, 1.00100000
1.29827415e2, 3.85000000e-1, 1.00956200
1.30510717e2, 3.85000000e-1, 1.01800000
1.31201250e2, 3.84063000e-1, 1.02781200
1.31899129e2, 3.83000000e-1, 1.03800000
1.32604472e2, 3.83063000e-1, 1.04768700
1.33317399e2, 3.83000000e-1, 1.05800000
1.34038034e2, 3.81000000e-1, 1.07056200
1.34766501e2, 3.80000000e-1, 1.08300000
1.35502930e2, 3.84063000e-1, 1.09275000
1.36247452e2, 3.88000000e-1, 1.10200000
1.37000200e2, 3.86500000e-1, 1.11206300
1.37761313e2, 3.84000000e-1, 1.12300000
1.38530929e2, 3.83500000e-1, 1.13562500
1.39309192e2, 3.84000000e-1, 1.14900000
1.40096250e2, 3.85625000e-1, 1.16287500
1.40892251e2, 3.88000000e-1, 1.17600000
1.41697350e2, 3.91375000e-1, 1.18625000
1.42511703e2, 3.94000000e-1, 1.19600000
1.43335470e2, 3.93438000e-1, 1.20681300
1.44168815e2, 3.92000000e-1, 1.21900000
1.45011908e2, 3.90875000e-1, 1.23418700
1.45864919e2, 3.91000000e-1, 1.25000000
1.46728025e2, 3.94688000e-1, 1.26425000
1.47601406e2, 3.99000000e-1, 1.27800000
1.48485247e2, 4.01188000e-1, 1.29150000
1.49379736e2, 4.03000000e-1, 1.30500000
1.50285068e2, 4.05500000e-1, 1.31862500
1.51201441e2, 4.08000000e-1, 1.33300000
1.52129057e2, 4.09563000e-1, 1.34906300
1.53068125e2, 4.12000000e-1, 1.36600000
1.54018859e2, 4.17813000e-1, 1.38400000
1.54981477e2, 4.24000000e-1, 1.40100000
1.55956203e2, 4.27875000e-1, 1.41368700
1.56943267e2, 4.31000000e-1, 1.42600000
1.57942906e2, 4.33750000e-1, 1.44137500
1.58955361e2, 4.37000000e-1, 1.45800000
1.59980879e2, 4.41813000e-1, 1.47531300
1.61019716e2, 4.48000000e-1, 1.49300000
1.62072132e2, 4.56375000e-1, 1.51087500
1.63138396e2, 4.65000000e-1, 1.52800000
1.64218783e2, 4.71750000e-1, 1.54262500
1.65313575e2, 4.78000000e-1, 1.55700000
1.66423062e2, 4.84375000e-1, 1.57337500
1.67547542e2, 4.91000000e-1, 1.59000000
1.68687321e2, 4.98563000e-1, 1.60556300
1.69842714e2, 5.06000000e-1, 1.62100000
1.71014043e2, 5.12063000e-1, 1.63662500
1.72201641e2, 5.18000000e-1, 1.65300000
1.73405848e2, 5.25187000e-1, 1.67106200
1.74627016e2, 5.32000000e-1, 1.69000000
1.75865505e2, 5.35750000e-1, 1.70900000
1.77121688e2, 5.41000000e-1, 1.72900000
1.78395944e2, 5.52875000e-1, 1.75168800
1.79688669e2, 5.67000000e-1, 1.77400000
1.81000265e2, 5.80313000e-1, 1.79243800
1.82331149e2, 5.94000000e-1, 1.81000000
1.83681750e2, 6.08563000e-1, 1.82906300
1.85052509e2, 6.23000000e-1, 1.84800000
1.86443882e2, 6.36187000e-1, 1.86581200
1.87856335e2, 6.49000000e-1, 1.88300000
1.89290353e2, 6.61875000e-1, 1.89943700
1.90746433e2, 6.75000000e-1, 1.91600000
1.92225087e2, 6.88938000e-1, 1.93343800
1.93726846e2, 7.03000000e-1, 1.95200000
1.95252254e2, 7.16000000e-1, 1.97287500
1.96801875e2, 7.30000000e-1, 1.99400000
1.98376290e2, 7.47688000e-1, 2.01325000
1.99976099e2, 7.66000000e-1, 2.03200000
2.01601921e2, 7.81625000e-1, 2.05143700
2.03254396e2, 7.98000000e-1, 2.07000000
2.04934184e2, 8.18687000e-1, 2.08531200
2.06641969e2, 8.40000000e-1, 2.10100000
2.08378456e2, 8.58375000e-1, 2.12100000
2.10144375e2, 8.77000000e-1, 2.14200000
2.11940481e2, 8.98938000e-1, 2.16187500
2.13767554e2, 9.21000000e-1, 2.18100000
2.15626402e2, 9.38938000e-1, 2.19862500
2.17517862e2, 9.59000000e-1, 2.21600000
2.19442799e2, 9.88812000e-1, 2.23500000
2.21402109e2, 1.02000000, 2.25300000
2.23396723e2, 1.04500000, 2.26681200
2.25427602e2, 1.06900000, 2.28000000
2.27495745e2, 1.09518800, 2.29600000
2.29602188e2, 1.12200000, 2.31200000
2.31748002e2, 1.14868800, 2.32612500
2.33934304e2, 1.17600000, 2.33900000
2.36162250e2, 1.20487500, 2.35062500
2.38433041e2, 1.23400000, 2.36100000
2.40747925e2, 1.26243700, 2.37050000
2.43108199e2, 1.29000000, 2.37800000
2.45515210e2, 1.31537500, 2.38150000
2.47970363e2, 1.34100000, 2.38400000
2.50475114e2, 1.37043800, 2.38818700
2.53030982e2, 1.39900000, 2.39300000
2.55639549e2, 1.42162500, 2.39893700
2.58302461e2, 1.44300000, 2.40400000
2.61021434e2, 1.46850000, 2.40487500
2.63798258e2, 1.49100000, 2.40600000
2.66634798e2, 1.50093700, 2.41075000
2.69533003e2, 1.51100000, 2.41900000
2.72494904e2, 1.53400000, 2.43350000
2.75522625e2, 1.56000000, 2.44900000
2.78618385e2, 1.58187500, 2.46018700
2.81784503e2, 1.60400000, 2.47000000
2.85023405e2, 1.62981300, 2.47956300
2.88337631e2, 1.65500000, 2.48900000
2.91729838e2, 1.67518800, 2.49862500
2.95202813e2, 1.69400000, 2.50900000
2.98759473e2, 1.71406200, 2.51962500
3.02402881e2, 1.73400000, 2.53400000
3.06136250e2, 1.75162500, 2.55706200
3.09962953e2, 1.77200000, 2.58400000
3.13886535e2, 1.79975000, 2.61218800
3.17910721e2, 1.83400000, 2.64000000
3.22039432e2, 1.87606300, 2.66550000
3.26276793e2, 1.92400000, 2.68700000
3.30627150e2, 1.97862500, 2.70112500
3.35095085e2, 2.03300000, 2.71100000
3.39685428e2, 2.07731200, 2.71956200
3.44403281e2, 2.12100000, 2.72400000
3.49254032e2, 2.17318700, 2.72125000
3.54243375e2, 2.22500000, 2.71500000
3.59377337e2, 2.27037500, 2.70856300
3.64662298e2, 2.31000000, 2.70000000
3.70105019e2, 2.34037500, 2.68656300
3.75712671e2, 2.36800000, 2.67400000
3.81492866e2, 2.39943700, 2.66850000
3.87453692e2, 2.43100000, 2.66600000
3.93603750e2, 2.46181200, 2.66431200
3.99952198e2, 2.49000000, 2.66400000
4.06508791e2, 2.51118800, 2.66412500
4.13283938e2, 2.53200000, 2.66700000
4.20288750e2, 2.55843800, 2.67506300
4.27535108e2, 2.58800000, 2.68700000
4.35035724e2, 2.62037500, 2.70350000
4.42804219e2, 2.65500000, 2.72100000
4.50855205e2, 2.68975000, 2.73387500
4.59204375e2, 2.72900000, 2.74900000
4.67868609e2, 2.77718700, 2.77456200
4.76866082e2, 2.83200000, 2.80100000
4.86216397e2, 2.89231300, 2.82093800
4.95940725e2, 2.95900000, 2.83600000
5.06061964e2, 3.03318800, 2.84537500
5.16604922e2, 3.11300000, 2.84900000
5.27596516e2, 3.19718800, 2.84862500
5.39066006e2, 3.28500000, 2.83800000
5.51045250e2, 3.37812500, 2.81012500
5.63569006e2, 3.46800000, 2.76900000
5.76675262e2, 3.54593700, 2.71437500
5.90405625e2, 3.61400000, 2.65200000
6.04805762e2, 3.67125000, 2.58800000
6.19925906e2, 3.71800000, 2.52100000
6.35821443e2, 3.75443700, 2.45037500
6.52553586e2, 3.78000000, 2.38000000
6.70190169e2, 3.79325000, 2.31300000
6.88806563e2, 3.79700000, 2.25100000
7.08486750e2, 3.79012500, 2.19718700
7.29324596e2, 3.78300000, 2.15000000
7.51425341e2, 3.79712500, 2.10643700
7.74907383e2, 3.79800000, 2.07400000
7.99904395e2, 3.73525000, 2.05906200
8.26567875e2, 3.67800000, 2.06200000
8.55070216e2, 3.69856200, 2.10062500
8.85608438e2, 3.73700000, 2.12900000
