wavelength (nm), n, k
1.23985181e2, 4.41000000e-1, 8.80000000e-1
1.24608222e2, 4.40813000e-1, 8.86250000e-1
1.25237557e2, 4.40000000e-1, 8.91000000e-1
1.25873280e2, 4.38188000e-1, 8.95250000e-1
1.26515491e2, 4.35000000e-1, 9.00000000e-1
1.27164289e2, 4.29063000e-1, 9.07063000e-1
1.27819775e2, 4.23000000e-1, 9.15000000e-1
1.28482053e2, 4.19813000e-1, 9.22938000e-1
1.29151231e2, 4.17000000e-1, 9.31000000e-1
1.29827415e2, 4.12875000e-1, 9.38688000e-1
1.30510717e2, 4.08000000e-1, 9.47000000e-1
1.31201250e2, 4.01875000e-1, 9.57313000e-1
1.31899129e2, 3.96000000e-1, 9.68000000e-1
1.32604472e2, 3.92750000e-1, 9.77187000e-1
1.33317399e2, 3.89000000e-1, 9.87000000e-1
1.34038034e2, 3.81000000e-1, 9.99250000e-1
1.34766501e2, 3.73000000e-1, 1.01300000
1.35502930e2, 3.68750000e-1, 1.02825000
1.36247452e2, 3.66000000e-1, 1.04400000
1.37000200e2, 3.64000000e-1, 1.05881200
1.37761313e2, 3.62000000e-1, 1.07400000
1.38530929e2, 3.58188000e-1, 1.09050000
1.39309192e2, 3.55000000e-1, 1.10800000
1.40096250e2, 3.54688000e-1, 1.12712500
1.40892251e2, 3.56000000e-1, 1.14600000
1.41697350e2, 3.59000000e-1, 1.16225000
1.42511703e2, 3.62000000e-1, 1.17800000
1.43335470e2, 3.62625000e-1, 1.19462500
1.44168815e2, 3.63000000e-1, 1.21200000
1.45011908e2, 3.64375000e-1, 1.23093700
1.45864919e2, 3.67000000e-1, 1.25000000
1.46728025e2, 3.72313000e-1, 1.26768700
1.47601406e2, 3.78000000e-1, 1.28500000
1.48485247e2, 3.81562000e-1, 1.30225000
1.49379736e2, 3.85000000e-1, 1.32000000
1.50285068e2, 3.89375000e-1, 1.33937500
1.51201441e2, 3.95000000e-1, 1.35900000
1.52129057e2, 4.02938000e-1, 1.37731300
1.53068125e2, 4.12000000e-1, 1.39600000
1.54018859e2, 4.21625000e-1, 1.41743800
1.54981477e2, 4.31000000e-1, 1.43800000
1.55956203e2, 4.38313000e-1, 1.45337500
1.56943267e2, 4.46000000e-1, 1.46800000
1.57942906e2, 4.56500000e-1, 1.48581300
1.58955361e2, 4.68000000e-1, 1.50400000
1.59980879e2, 4.79313000e-1, 1.52081300
1.61019716e2, 4.91000000e-1, 1.53700000
1.62072132e2, 5.03437000e-1, 1.55256200
1.63138396e2, 5.16000000e-1, 1.56800000
1.64218783e2, 5.27875000e-1, 1.58425000
1.65313575e2, 5.40000000e-1, 1.60000000
1.66423062e2, 5.53375000e-1, 1.61356300
1.67547542e2, 5.67000000e-1, 1.62700000
1.68687321e2, 5.79813000e-1, 1.64237500
1.69842714e2, 5.93000000e-1, 1.65800000
1.71014043e2, 6.07688000e-1, 1.67312500
1.72201641e2, 6.23000000e-1, 1.68700000
1.73405848e2, 6.38500000e-1, 1.69762500
1.74627016e2, 6.54000000e-1, 1.70800000
1.75865505e2, 6.68875000e-1, 1.72175000
1.77121688e2, 6.84000000e-1, 1.73500000
1.78395944e2, 7.00750000e-1, 1.74425000
1.79688669e2, 7.17000000e-1, 1.75200000
1.81000265e2, 7.30500000e-1, 1.75943700
1.82331149e2, 7.43000000e-1, 1.76700000
1.83681750e2, 7.55813000e-1, 1.77593800
1.85052509e2, 7.68000000e-1, 1.78500000
1.86443882e2, 7.78812000e-1, 1.79306200
1.87856335e2, 7.89000000e-1, 1.80100000
1.89290353e2, 7.99313000e-1, 1.80912500
1.90746433e2, 8.09000000e-1, 1.81800000
1.92225087e2, 8.17438000e-1, 1.82837500
1.93726846e2, 8.25000000e-1, 1.84000000
1.95252254e2, 8.31313000e-1, 1.85287500
1.96801875e2, 8.38000000e-1, 1.86700000
1.98376290e2, 8.47188000e-1, 1.88237500
1.99976099e2, 8.57000000e-1, 1.89900000
2.01601921e2, 8.65250000e-1, 1.92056200
2.03254396e2, 8.75000000e-1, 1.93600000
2.04934184e2, 8.89437000e-1, 1.92343800
2.06641969e2, 9.06000000e-1, 1.91900000
2.08378456e2, 9.22813000e-1, 1.96675000
2.10144375e2, 9.41000000e-1, 2.02100000
2.11940481e2, 9.61188000e-1, 2.04287500
2.13767554e2, 9.83000000e-1, 2.05600000
2.15626402e2, 1.00656300, 2.07268800
2.17517862e2, 1.03100000, 2.08800000
2.19442799e2, 1.05593700, 2.10050000
2.21402109e2, 1.08000000, 2.11200000
2.23396723e2, 1.10081200, 2.12406200
2.25427602e2, 1.12100000, 2.13600000
2.27495745e2, 1.14256300, 2.14718700
2.29602188e2, 1.16500000, 2.15900000
2.31748002e2, 1.19193800, 2.17412500
2.33934304e2, 1.21300000, 2.18800000
2.36162250e2, 1.20750000, 2.19518800
2.38433041e2, 1.21000000, 2.20100000
2.40747925e2, 1.26306200, 2.21062500
2.43108199e2, 1.32200000, 2.21900000
2.45515210e2, 1.34837500, 2.22131300
2.47970363e2, 1.36600000, 2.22200000
2.50475114e2, 1.38793800, 2.22412500
2.53030982e2, 1.40800000, 2.22700000
2.55639549e2, 1.42325000, 2.23043800
2.58302461e2, 1.43700000, 2.23600000
2.61021434e2, 1.45200000, 2.24537500
2.63798258e2, 1.46700000, 2.25800000
2.66634798e2, 1.48012500, 2.27381200
2.69533003e2, 1.49600000, 2.29300000
2.72494904e2, 1.51918700, 2.31775000
2.75522625e2, 1.54800000, 2.34200000
2.78618385e2, 1.58250000, 2.35943700
2.81784503e2, 1.62200000, 2.37300000
2.85023405e2, 1.66737500, 2.38475000
2.88337631e2, 1.71400000, 2.39100000
2.91729838e2, 1.75750000, 2.38843800
2.95202813e2, 1.79800000, 2.37800000
2.98759473e2, 1.83612500, 2.35656300
3.02402881e2, 1.86600000, 2.33300000
3.06136250e2, 1.87843800, 2.31568700
3.09962953e2, 1.88400000, 2.30300000
3.13886535e2, 1.89106200, 2.29625000
3.17910721e2, 1.89700000, 2.29500000
3.22039432e2, 1.90075000, 2.29950000
3.26276793e2, 1.90600000, 2.30900000
3.30627150e2, 1.91668700, 2.32387500
3.35095085e2, 1.93100000, 2.34100000
3.39685428e2, 1.94806200, 2.35662500
3.44403281e2, 1.96900000, 2.37300000
3.49254032e2, 1.99537500, 2.39312500
3.54243375e2, 2.02500000, 2.41100000
3.59377337e2, 2.05737500, 2.41975000
3.64662298e2, 2.08900000, 2.42500000
3.70105019e2, 2.11487500, 2.42981200
3.75712671e2, 2.13900000, 2.43500000
3.81492866e2, 2.16387500, 2.44287500
3.87453692e2, 2.18900000, 2.45200000
3.93603750e2, 2.21525000, 2.46162500
3.99952198e2, 2.24100000, 2.47200000
4.06508791e2, 2.26393700, 2.48293800
4.13283938e2, 2.28700000, 2.49500000
4.20288750e2, 2.31275000, 2.50787500
4.27535108e2, 2.34000000, 2.52400000
4.35035724e2, 2.36693700, 2.54731200
4.42804219e2, 2.39800000, 2.57300000
4.50855205e2, 2.43837500, 2.59787500
4.59204375e2, 2.48400000, 2.62100000
4.67868609e2, 2.53200000, 2.63981200
4.76866082e2, 2.58400000, 2.65600000
4.86216397e2, 2.64131300, 2.67100000
4.95940725e2, 2.70200000, 2.68300000
5.06061964e2, 2.76356300, 2.69200000
5.16604922e2, 2.82900000, 2.69400000
5.27596516e2, 2.90406300, 2.68500000
5.39066006e2, 2.97800000, 2.66500000
5.51045250e2, 3.04206200, 2.63100000
5.63569006e2, 3.09600000, 2.58800000
5.76675262e2, 3.13731200, 2.53787500
5.90405625e2, 3.16400000, 2.48700000
6.04805762e2, 3.17137500, 2.44056200
6.19925906e2, 3.16500000, 2.40400000
6.35821443e2, 3.14662500, 2.38431300
6.52553586e2, 3.12300000, 2.38200000
6.70190169e2, 3.09962500, 2.39987500
6.88806563e2, 3.08200000, 2.43800000
7.08486750e2, 3.07387500, 2.49975000
7.29324596e2, 3.08600000, 2.57800000
7.51425341e2, 3.12900000, 2.67031300
7.74907383e2, 3.20700000, 2.76600000
7.99904395e2, 3.32725000, 2.86668800
8.26567875e2, 3.49100000, 2.93300000
8.55070216e2, 3.72937500, 2.92800000
8.85608438e2, 3.96000000, 2.84600000
9.18408750e2, 4.10781200, 2.64131300
9.53732164e2, 4.18200000, 2.39700000
9.91881450e2, 4.15893700, 2.17950000
1.03320984e3, 4.06200000, 1.99300000
1.07813201e3, 3.89618700, 1.86675000
1.12713801e3, 3.69300000, 1.79200000
1.18081125e3, 3.49293700, 1.76637500
1.23985181e3, 3.27400000, 1.80000000
1.30510717e3, 3.01306200, 1.89756200
1.37761313e3, 2.75400000, 2.07300000
1.45864919e3, 2.53150000, 2.35075000
