wavelength (nm), n, k
2.21402109e2, 1.72383900, 0.00000000
2.23396723e2, 1.71817900, 0.00000000
2.25427602e2, 1.71281900, 0.00000000
2.27495745e2, 1.70772300, 0.00000000
2.29602188e2, 1.70285500, 0.00000000
2.31748002e2, 1.69817700, 0.00000000
2.33934304e2, 1.69365300, 0.00000000
2.36162250e2, 1.68924500, 0.00000000
2.38433041e2, 1.68491600, 0.00000000
2.40747925e2, 1.68052900, 0.00000000
2.43108199e2, 1.67597800, 0.00000000
2.45515210e2, 1.67154500, 0.00000000
2.47970363e2, 1.66729700, 0.00000000
2.50475114e2, 1.66336000, 0.00000000
2.53030982e2, 1.65996000, 0.00000000
2.55639549e2, 1.65679000, 0.00000000
2.58302461e2, 1.65379400, 0.00000000
2.61021434e2, 1.65090900, 0.00000000
2.63798258e2, 1.64808000, 0.00000000
2.66634798e2, 1.64527700, 0.00000000
2.69533003e2, 1.64245600, 0.00000000
2.72494904e2, 1.63941400, 0.00000000
2.75522625e2, 1.63633100, 0.00000000
2.78618385e2, 1.63330100, 0.00000000
2.81784503e2, 1.63046500, 0.00000000
2.85023405e2, 1.62781400, 0.00000000
2.88337631e2, 1.62525500, 0.00000000
2.91729838e2, 1.62273200, 0.00000000
2.95202813e2, 1.62023800, 0.00000000
2.98759473e2, 1.61780900, 0.00000000
3.02402881e2, 1.61545400, 0.00000000
3.06136250e2, 1.61318200, 0.00000000
3.09962953e2, 1.61100000, 0.00000000
3.13886535e2, 1.60898000, 0.00000000
3.17910721e2, 1.60699600, 0.00000000
3.22039432e2, 1.60492600, 0.00000000
3.26276793e2, 1.60278500, 0.00000000
3.30627150e2, 1.60073900, 0.00000000
3.35095085e2, 1.59892700, 0.00000000
3.39685428e2, 1.59714400, 0.00000000
3.44403281e2, 1.59517500, 0.00000000
3.49254032e2, 1.59325600, 0.00000000
3.54243375e2, 1.59165800, 0.00000000
3.59377337e2, 1.59017800, 0.00000000
3.64662298e2, 1.58860300, 0.00000000
3.70105019e2, 1.58696500, 0.00000000
3.75712671e2, 1.58520900, 0.00000000
3.81492866e2, 1.58369000, 0.00000000
3.87453692e2, 1.58253800, 0.00000000
3.93603750e2, 1.58091400, 0.00000000
3.99952198e2, 1.57900000, 0.00000000
4.06508791e2, 1.57764900, 0.00000000
4.13283938e2, 1.57629000, 0.00000000
4.20288750e2, 1.57496900, 0.00000000
4.27535108e2, 1.57427800, 0.00000000
4.35035724e2, 1.57298300, 0.00000000
4.42804219e2, 1.57171200, 0.00000000
4.50855205e2, 1.57084400, 0.00000000
4.59204375e2, 1.56915600, 0.00000000
4.67868609e2, 1.56818400, 0.00000000
4.76866082e2, 1.56731300, 0.00000000
4.86216397e2, 1.56638300, 0.00000000
4.95940725e2, 1.56540400, 0.00000000
5.06061964e2, 1.56439200, 0.00000000
5.16604922e2, 1.56334500, 0.00000000
5.27596516e2, 1.56219700, 0.00000000
5.39066006e2, 1.56108000, 0.00000000
5.51045250e2, 1.56039800, 0.00000000
5.63569006e2, 1.55982100, 0.00000000
5.76675262e2, 1.55916200, 0.00000000
5.90405625e2, 1.55848100, 0.00000000
6.04805762e2, 1.55776400, 0.00000000
6.19925906e2, 1.55700000, 0.00000000
6.35821443e2, 1.55621200, 0.00000000
6.52553586e2, 1.55535100, 0.00000000
6.70190169e2, 1.55466300, 0.00000000
6.88806563e2, 1.55422400, 0.00000000
7.08486750e2, 1.55378900, 0.00000000
7.29324596e2, 1.55326300, 0.00000000
7.51425341e2, 1.55279300, 0.00000000
7.74907383e2, 1.55218000, 0.00000000
7.99904395e2, 1.55100000, 0.00000000
8.26567875e2, 1.55034300, 0.00000000
8.55070216e2, 1.55010800, 0.00000000
8.85608438e2, 1.55004100, 0.00000000
9.18408750e2, 1.54952200, 0.00000000
9.53732164e2, 1.54870000, 0.00000000
9.91881450e2, 1.54808200, 0.00000000
1.03320984e3, 1.54798100, 0.00000000
1.07813201e3, 1.54791500, 0.00000000
1.12713801e3, 1.54758700, 0.00000000
1.18081125e3, 1.54715600, 0.00000000
1.23985181e3, 1.54683300, 0.00000000
1.30510717e3, 1.54660200, 0.00000000
1.37761313e3, 1.54637600, 0.00000000
1.45864919e3, 1.54613000, 0.00000000
1.54981477e3, 1.54583700, 0.00000000
1.65313575e3, 1.54547200, 0.00000000
1.77121688e3, 1.54500900, 0.00000000
1.90746433e3, 1.54442300, 0.00000000
