wavelength (nm), n, k
2.50000000e2, 2.42976000, 1.50788400
2.60000000e2, 2.48595000, 1.40654300
2.70000000e2, 2.46735200, 1.31625400
2.80000000e2, 2.44444800, 1.25898000
2.90000000e2, 2.41597000, 1.21783600
3.00000000e2, 2.39220100, 1.17733200
3.10000000e2, 2.36362100, 1.15390600
3.20000000e2, 2.33198300, 1.13274700
3.30000000e2, 2.30867900, 1.11245100
3.40000000e2, 2.27910400, 1.08929300
3.50000000e2, 2.25020100, 1.06254500
3.60000000e2, 2.21285600, 1.03596700
3.70000000e2, 2.16345000, 1.01572900
3.80000000e2, 2.11558800, 9.99135600e-1
3.90000000e2, 2.06667500, 9.79840200e-1
4.00000000e2, 2.00678400, 9.55547000e-1
4.10000000e2, 1.92486000, 9.29833900e-1
4.20000000e2, 1.82293800, 9.15164300e-1
4.30000000e2, 1.70969000, 9.26056600e-1
4.40000000e2, 1.59780100, 9.63091300e-1
4.50000000e2, 1.48844500, 1.01311100
4.60000000e2, 1.39151000, 1.09292900
4.70000000e2, 1.30869400, 1.16946900
4.80000000e2, 1.23589400, 1.26014400
4.90000000e2, 1.17794200, 1.34971300
5.00000000e2, 1.13308200, 1.44032800
5.10000000e2, 1.08869200, 1.53012200
5.20000000e2, 1.05259500, 1.61716000
5.30000000e2, 1.02391700, 1.71144900
5.40000000e2, 9.97503800e-1, 1.79845600
5.50000000e2, 9.71928700e-1, 1.88527300
5.60000000e2, 9.53589300e-1, 1.97303300
5.70000000e2, 9.28489100e-1, 2.05190500
5.80000000e2, 9.14108400e-1, 2.13518000
5.90000000e2, 9.03750700e-1, 2.21512900
6.00000000e2, 8.79954200e-1, 2.30055600
6.10000000e2, 8.70392000e-1, 2.37817900
6.20000000e2, 8.62660300e-1, 2.45375000
6.30000000e2, 8.57950300e-1, 2.53881600
6.40000000e2, 8.48182700e-1, 2.61162000
6.50000000e2, 8.45330200e-1, 2.68865600
6.60000000e2, 8.38050100e-1, 2.77201600
6.70000000e2, 8.27987800e-1, 2.84813600
6.80000000e2, 8.33319700e-1, 2.91858300
6.90000000e2, 8.36538000e-1, 2.99869400
7.00000000e2, 8.30992200e-1, 3.07617500
7.10000000e2, 8.39607900e-1, 3.14639100
7.20000000e2, 8.36739200e-1, 3.21804000
7.30000000e2, 8.42340100e-1, 3.28736800
7.40000000e2, 8.41719600e-1, 3.35050600
7.50000000e2, 8.48151700e-1, 3.42523000
7.60000000e2, 8.55084000e-1, 3.49340900
7.70000000e2, 8.62627700e-1, 3.57155300
7.80000000e2, 8.55051100e-1, 3.63645900
7.90000000e2, 8.69220900e-1, 3.69386700
8.00000000e2, 8.72387200e-1, 3.76286200
8.10000000e2, 8.89561500e-1, 3.83743800
8.20000000e2, 8.82475000e-1, 3.90615000
8.30000000e2, 9.00889000e-1, 3.97490300
8.40000000e2, 9.09862700e-1, 4.03150100
8.50000000e2, 9.11353100e-1, 4.07859000
8.60000000e2, 9.12482100e-1, 4.12928500
8.70000000e2, 9.26962500e-1, 4.19353000
8.80000000e2, 9.38604500e-1, 4.25453300
8.90000000e2, 9.37963200e-1, 4.25381000
9.00000000e2, 9.21693800e-1, 4.18082800
