wavelength (nm), n, k
2.20000000e2, 1.63087800, 1.47190700
2.30000000e2, 1.78939700, 1.45208900
2.40000000e2, 1.94608600, 1.43049700
2.50000000e2, 2.09944100, 1.40614500
2.60000000e2, 2.24795300, 1.37804600
2.70000000e2, 2.38997300, 1.34496500
2.80000000e2, 2.52420900, 1.30628500
2.90000000e2, 2.64951200, 1.26162700
3.00000000e2, 2.76475800, 1.21065700
3.10000000e2, 2.86932000, 1.15393400
3.20000000e2, 2.96221000, 1.09150400
3.30000000e2, 3.04348900, 1.02452800
3.40000000e2, 3.11258800, 9.53634000e-1
3.50000000e2, 3.16996100, 8.80100000e-1
3.60000000e2, 3.21568300, 8.05094000e-1
3.70000000e2, 3.25039200, 7.29769000e-1
3.80000000e2, 3.27479300, 6.55348000e-1
3.90000000e2, 3.28967100, 5.82910000e-1
4.00000000e2, 3.29608400, 5.13395000e-1
4.10000000e2, 3.29497400, 4.47820000e-1
4.20000000e2, 3.28747700, 3.86564000e-1
4.30000000e2, 3.27470500, 3.30474000e-1
4.40000000e2, 3.25763600, 2.79487000e-1
4.50000000e2, 3.23738400, 2.33983000e-1
4.60000000e2, 3.21475900, 1.93778000e-1
4.70000000e2, 3.19067400, 1.58778000e-1
4.80000000e2, 3.16580800, 1.28710000e-1
4.90000000e2, 3.14073000, 1.03166000e-1
5.00000000e2, 3.11600800, 8.17860000e-2
5.10000000e2, 3.09190300, 6.40940000e-2
5.20000000e2, 3.06885800, 4.96520000e-2
5.30000000e2, 3.04691100, 3.80340000e-2
5.40000000e2, 3.02630800, 2.87670000e-2
5.50000000e2, 3.00702000, 2.15180000e-2
5.60000000e2, 2.98910000, 1.58860000e-2
5.70000000e2, 2.97250500, 1.15900000e-2
5.80000000e2, 2.95716700, 8.35200000e-3
5.90000000e2, 2.94302200, 5.93200000e-3
6.00000000e2, 2.92997900, 4.17200000e-3
6.10000000e2, 2.91795600, 2.87900000e-3
6.20000000e2, 2.90686500, 1.97800000e-3
6.30000000e2, 2.89661200, 1.32300000e-3
6.40000000e2, 2.88713000, 8.83000000e-4
6.50000000e2, 2.87833200, 5.75000000e-4
6.60000000e2, 2.87016300, 3.71000000e-4
6.70000000e2, 2.86255900, 2.36000000e-4
6.80000000e2, 2.85546800, 1.46000000e-4
6.90000000e2, 2.84884400, 9.10000000e-5
7.00000000e2, 2.84264000, 5.40000000e-5
7.10000000e2, 2.83682800, 3.30000000e-5
7.20000000e2, 2.83136800, 1.90000000e-5
7.30000000e2, 2.82624100, 1.20000000e-5
7.40000000e2, 2.82141400, 6.00000000e-6
7.50000000e2, 2.81686800, 4.00000000e-6
7.60000000e2, 2.81258200, 2.00000000e-6
7.70000000e2, 2.80853700, 1.00000000e-6
7.80000000e2, 2.80471400, 1.00000000e-6
7.90000000e2, 2.80109600, 0.00000000
8.00000000e2, 2.79766900, 0.00000000
8.10000000e2, 2.79441900, 0.00000000
8.20000000e2, 2.79133400, 0.00000000
8.30000000e2, 2.78839900, 0.00000000
8.40000000e2, 2.78560300, 0.00000000
8.50000000e2, 2.78293500, 0.00000000
8.60000000e2, 2.78038500, 0.00000000
8.70000000e2, 2.77794500, 0.00000000
8.80000000e2, 2.77560500, 0.00000000
8.90000000e2, 2.77335700, 0.00000000
9.00000000e2, 2.77119300, 0.00000000
9.10000000e2, 2.76910800, 0.00000000
9.20000000e2, 2.76709700, 0.00000000
9.30000000e2, 2.76515600, 0.00000000
9.40000000e2, 2.76328100, 0.00000000
9.50000000e2, 2.76147000, 0.00000000
9.60000000e2, 2.75971900, 0.00000000
9.70000000e2, 2.75802700, 0.00000000
9.80000000e2, 2.75639000, 0.00000000
9.90000000e2, 2.75480700, 0.00000000
1.00000000e3, 2.75327700, 0.00000000
1.01000000e3, 2.75179700, 0.00000000
1.02000000e3, 2.75036700, 0.00000000
1.03000000e3, 2.74898400, 0.00000000
1.04000000e3, 2.74764500, 0.00000000
1.05000000e3, 2.74634900, 0.00000000
1.06000000e3, 2.74509300, 0.00000000
1.07000000e3, 2.74387300, 0.00000000
1.08000000e3, 2.74268700, 0.00000000
1.09000000e3, 2.74153100, 0.00000000
1.10000000e3, 2.74040100, 0.00000000
1.11000000e3, 2.73929500, 0.00000000
1.12000000e3, 2.73821000, 0.00000000
1.13000000e3, 2.73714300, 0.00000000
1.14000000e3, 2.73609000, 0.00000000
1.15000000e3, 2.73505000, 0.00000000
1.16000000e3, 2.73402000, 0.00000000
1.17000000e3, 2.73299900, 0.00000000
1.18000000e3, 2.73198400, 0.00000000
1.19000000e3, 2.73097600, 0.00000000
1.20000000e3, 2.72997300, 0.00000000
1.21000000e3, 2.72897500, 0.00000000
1.22000000e3, 2.72798200, 0.00000000
1.23000000e3, 2.72699500, 0.00000000
1.24000000e3, 2.72601600, 0.00000000
1.25000000e3, 2.72504400, 0.00000000
1.26000000e3, 2.72408300, 0.00000000
1.27000000e3, 2.72313600, 0.00000000
1.28000000e3, 2.72220500, 0.00000000
1.29000000e3, 2.72129200, 0.00000000
1.30000000e3, 2.72040100, 0.00000000
1.31000000e3, 2.71953500, 0.00000000
1.32000000e3, 2.71870000, 0.00000000
1.33000000e3, 2.71790000, 0.00000000
1.34000000e3, 2.71713600, 0.00000000
