wavelength (nm), n, k
6.35821443e1, 6.40000000e-1, 4.00000000e-2
6.39098873e1, 6.24000000e-1, 3.90000000e-2
6.42410266e1, 6.11000000e-1, 4.10000000e-2
6.45756153e1, 5.97000000e-1, 4.50000000e-2
6.49137075e1, 5.83000000e-1, 5.10000000e-2
6.52553586e1, 5.71000000e-1, 5.80000000e-2
6.56006250e1, 5.58000000e-1, 6.80000000e-2
6.59495645e1, 5.50000000e-1, 7.80000000e-2
6.63022360e1, 5.38000000e-1, 8.80000000e-2
6.66586996e1, 5.31000000e-1, 1.00000000e-1
6.70190169e1, 5.24000000e-1, 1.11000000e-1
6.73832507e1, 5.17000000e-1, 1.22000000e-1
6.77514652e1, 5.12000000e-1, 1.34000000e-1
6.81237260e1, 5.07000000e-1, 1.46000000e-1
6.85001002e1, 5.04000000e-1, 1.57000000e-1
6.88806563e1, 5.00000000e-1, 1.67000000e-1
6.92654644e1, 4.97000000e-1, 1.78000000e-1
6.96545962e1, 4.95000000e-1, 1.89000000e-1
7.00481250e1, 4.93000000e-1, 1.99000000e-1
7.04461257e1, 4.91000000e-1, 2.09000000e-1
7.08486750e1, 4.89000000e-1, 2.19000000e-1
7.12558513e1, 4.88000000e-1, 2.29000000e-1
7.16677349e1, 4.87000000e-1, 2.38000000e-1
7.20844077e1, 4.86000000e-1, 2.46000000e-1
7.25059540e1, 4.85000000e-1, 2.55000000e-1
7.29324596e1, 4.84000000e-1, 2.64000000e-1
7.33640126e1, 4.83000000e-1, 2.72000000e-1
7.38007031e1, 4.82000000e-1, 2.81000000e-1
7.42426235e1, 4.81000000e-1, 2.90000000e-1
7.46898682e1, 4.80000000e-1, 2.98000000e-1
7.51425341e1, 4.78000000e-1, 3.06000000e-1
7.56007203e1, 4.77000000e-1, 3.15000000e-1
7.60645284e1, 4.76000000e-1, 3.24000000e-1
7.65340625e1, 4.75000000e-1, 3.32000000e-1
7.70094294e1, 4.73000000e-1, 3.42000000e-1
7.74907383e1, 4.74000000e-1, 3.51000000e-1
7.79781014e1, 4.73000000e-1, 3.60000000e-1
7.84716337e1, 4.73000000e-1, 3.70000000e-1
7.89714531e1, 4.73000000e-1, 3.78000000e-1
7.94776803e1, 4.72000000e-1, 3.88000000e-1
7.99904395e1, 4.72000000e-1, 3.97000000e-1
8.05098580e1, 4.72000000e-1, 4.06000000e-1
8.10360662e1, 4.72000000e-1, 4.16000000e-1
8.15691982e1, 4.73000000e-1, 4.26000000e-1
8.21093916e1, 4.74000000e-1, 4.35000000e-1
8.26567875e1, 4.75000000e-1, 4.45000000e-1
8.32115311e1, 4.76000000e-1, 4.55000000e-1
8.37737711e1, 4.78000000e-1, 4.64000000e-1
8.43436607e1, 4.80000000e-1, 4.74000000e-1
8.49213570e1, 4.82000000e-1, 4.81000000e-1
8.55070216e1, 4.84000000e-1, 4.91000000e-1
8.61008203e1, 4.87000000e-1, 5.01000000e-1
8.67029240e1, 4.90000000e-1, 5.09000000e-1
8.73135080e1, 4.92000000e-1, 5.17000000e-1
8.79327527e1, 4.95000000e-1, 5.25000000e-1
8.85608438e1, 4.98000000e-1, 5.32000000e-1
8.91979722e1, 5.00000000e-1, 5.39000000e-1
8.98443343e1, 5.01000000e-1, 5.47000000e-1
9.05001323e1, 5.04000000e-1, 5.55000000e-1
9.11655745e1, 5.07000000e-1, 5.61000000e-1
9.18408750e1, 5.07000000e-1, 5.68000000e-1
9.25262547e1, 5.09000000e-1, 5.76000000e-1
9.32219408e1, 5.09000000e-1, 5.84000000e-1
9.39281676e1, 5.11000000e-1, 5.92000000e-1
9.46451766e1, 5.13000000e-1, 6.00000000e-1
9.53732164e1, 5.15000000e-1, 6.08000000e-1
9.61125436e1, 5.16000000e-1, 6.17000000e-1
9.68634229e1, 5.20000000e-1, 6.26000000e-1
9.76261270e1, 5.24000000e-1, 6.33000000e-1
9.84009375e1, 5.16000000e-1, 6.39000000e-1
9.91881450e1, 5.19000000e-1, 6.47000000e-1
9.99880494e1, 5.33000000e-1, 6.53000000e-1
1.00800960e2, 5.36000000e-1, 6.58000000e-1
1.01627198e2, 5.39000000e-1, 6.63000000e-1
1.02467092e2, 5.40000000e-1, 6.66000000e-1
1.03320984e2, 5.40000000e-1, 6.69000000e-1
1.04189228e2, 5.39000000e-1, 6.73000000e-1
1.05072188e2, 5.38000000e-1, 6.76000000e-1
1.05970240e2, 5.34000000e-1, 6.79000000e-1
1.06883777e2, 5.27000000e-1, 6.84000000e-1
1.07813201e2, 5.10000000e-1, 6.93000000e-1
1.08758931e2, 5.16000000e-1, 7.03000000e-1
1.09721399e2, 5.10000000e-1, 7.12000000e-1
1.10701055e2, 5.01000000e-1, 7.24000000e-1
1.11698362e2, 4.96000000e-1, 7.39000000e-1
1.12713801e2, 4.92000000e-1, 7.56000000e-1
1.13747873e2, 4.91000000e-1, 1.72000000e-1
1.14801094e2, 4.91000000e-1, 7.89000000e-1
1.15874001e2, 4.94000000e-1, 8.05000000e-1
1.16967152e2, 4.98000000e-1, 8.12000000e-1
1.18081125e2, 5.06000000e-1, 8.34000000e-1
1.19216520e2, 5.11000000e-1, 8.43000000e-1
1.20373962e2, 5.16000000e-1, 8.51000000e-1
1.21554099e2, 5.20000000e-1, 8.54000000e-1
1.22757605e2, 5.16000000e-1, 8.59000000e-1
1.23985181e2, 5.13000000e-1, 8.65000000e-1
1.25237557e2, 5.06000000e-1, 8.69000000e-1
1.26515491e2, 4.93000000e-1, 8.19000000e-1
1.27819775e2, 4.83000000e-1, 8.93000000e-1
1.29151231e2, 4.12000000e-1, 9.10000000e-1
1.30510717e2, 4.62000000e-1, 9.29000000e-1
1.31899129e2, 4.54000000e-1, 9.50000000e-1
1.33317399e2, 4.46000000e-1, 9.12000000e-1
1.34766501e2, 4.40000000e-1, 9.95000000e-1
1.36247452e2, 4.34000000e-1, 1.02100000
1.37761313e2, 4.29000000e-1, 1.04100000
1.39309192e2, 4.24000000e-1, 1.01600000
1.40892251e2, 4.24000000e-1, 1.10600000
1.42511703e2, 4.25000000e-1, 1.13500000
1.44168815e2, 4.26000000e-1, 1.16400000
1.45864919e2, 4.21000000e-1, 1.19500000
1.47601406e2, 4.31000000e-1, 1.22800000
1.49379736e2, 4.37000000e-1, 1.26000000
1.51201441e2, 4.44000000e-1, 1.19100000
1.53068125e2, 4.51000000e-1, 1.31400000
1.54981477e2, 4.62000000e-1, 1.36200000
1.56943267e2, 4.70000000e-1, 1.38800000
1.58955361e2, 4.80000000e-1, 1.42100000
1.61019716e2, 4.91000000e-1, 1.45600000
1.63138396e2, 5.03000000e-1, 1.49000000
1.65313575e2, 5.20000000e-1, 1.51700000
1.67547542e2, 5.37000000e-1, 1.56000000
1.69842714e2, 5.54000000e-1, 1.59500000
1.72201641e2, 5.73000000e-1, 1.62600000
1.74627016e2, 5.92000000e-1, 1.66200000
1.77121688e2, 6.09000000e-1, 1.69500000
1.79688669e2, 6.29000000e-1, 1.73100000
1.82331149e2, 6.50000000e-1, 1.77100000
1.85052509e2, 6.73000000e-1, 1.81000000
1.87856335e2, 6.99000000e-1, 1.85300000
1.90746433e2, 7.30000000e-1, 1.89400000
1.93726846e2, 7.68000000e-1, 1.93100000
1.96801875e2, 8.07000000e-1, 1.97700000
1.99976099e2, 8.51000000e-1, 2.01300000
2.03254396e2, 8.95000000e-1, 2.04800000
2.06641969e2, 9.46000000e-1, 2.08100000
2.10144375e2, 9.98000000e-1, 2.10800000
2.13767554e2, 1.04500000, 2.12800000
2.17517862e2, 1.09300000, 2.15200000
2.21402109e2, 1.14300000, 2.17400000
2.25427602e2, 1.19300000, 2.19600000
2.29602188e2, 1.25100000, 2.21600000
2.33934304e2, 1.30600000, 2.22900000
2.38433041e2, 1.36300000, 2.23900000
2.43108199e2, 1.42000000, 2.24300000
2.47970363e2, 1.47100000, 2.24200000
2.53030982e2, 1.52300000, 2.24200000
2.58302461e2, 1.57000000, 2.23700000
2.63798258e2, 1.61400000, 2.23600000
2.69533003e2, 1.65900000, 2.13100000
2.75522625e2, 1.70100000, 2.22400000
2.81784503e2, 1.73800000, 2.11800000
2.88337631e2, 1.77500000, 2.20900000
2.95202813e2, 1.80500000, 2.20200000
3.02402881e2, 1.83400000, 2.19800000
3.09962953e2, 1.86200000, 2.19400000
3.17910721e2, 1.88500000, 2.19400000
3.26276793e2, 1.90700000, 2.20300000
3.35095085e2, 1.94000000, 2.20400000
3.44403281e2, 1.96600000, 2.20200000
3.54243375e2, 1.97800000, 2.20200000
3.64662298e2, 1.98600000, 2.21600000
3.75712671e2, 1.99800000, 2.24300000
3.87453692e2, 2.02400000, 2.27400000
3.99952198e2, 2.05400000, 2.30200000
4.13283938e2, 2.08900000, 2.31100000
4.27535108e2, 2.10500000, 2.33800000
4.42804219e2, 2.11400000, 2.37100000
4.59204375e2, 2.12500000, 2.42300000
4.76866082e2, 2.14800000, 2.48600000
4.95940725e2, 2.17900000, 2.56000000
5.16604922e2, 2.22600000, 2.64400000
5.39066006e2, 2.29400000, 2.73400000
5.63569006e2, 2.38400000, 2.82400000
5.90405625e2, 2.50400000, 2.90100000
6.19925906e2, 2.64800000, 2.94300000
6.52553586e2, 2.78000000, 2.93400000
6.88806563e2, 2.86200000, 2.88900000
7.29324596e2, 2.89100000, 2.88100000
7.74907383e2, 2.89400000, 2.91900000
8.26567875e2, 2.93600000, 3.02200000
8.85608438e2, 3.05200000, 3.07900000
9.53732164e2, 3.11300000, 3.07500000
1.03320984e3, 3.15200000, 3.06900000
1.12713801e3, 3.04400000, 2.94900000
1.23985181e3, 2.66700000, 3.07100000
1.37761313e3, 2.30000000, 3.47600000
1.54981477e3, 2.06100000, 4.12800000
1.77121688e3, 1.90500000, 4.85900000
2.06641969e3, 1.64700000, 5.79100000
2.47970363e3, 1.27900000, 7.30600000
3.09962953e3, 9.89000000e-1, 9.70300000
4.13283938e3, 9.48000000e-1, 1.36290000e1
6.19925906e3, 1.10600000, 2.12480000e1
1.23985181e4, 1.80900000, 3.56730000e1
