wavelength (nm), n, k
2.06641969e2, 1.16000000, 1.21000000
2.08378456e2, 1.16750000, 1.21625000
2.10144375e2, 1.18000000, 1.22000000
2.11940481e2, 1.19500000, 1.22125000
2.13767554e2, 1.21000000, 1.22000000
2.15626402e2, 1.22125000, 1.21500000
2.17517862e2, 1.23000000, 1.21000000
2.19442799e2, 1.23625000, 1.21062500
2.21402109e2, 1.24000000, 1.21000000
2.23396723e2, 1.24437500, 1.20250000
2.25427602e2, 1.24000000, 1.19000000
2.27495745e2, 1.19937500, 1.16500000
2.29602188e2, 1.18000000, 1.15000000
2.31748002e2, 1.26687500, 1.17812500
2.33934304e2, 1.35000000, 1.21000000
2.36162250e2, 1.31625000, 1.20875000
2.38433041e2, 1.26000000, 1.20000000
2.40747925e2, 1.25000000, 1.19875000
2.43108199e2, 1.25000000, 1.20000000
2.45515210e2, 1.24562500, 1.20437500
2.47970363e2, 1.24000000, 1.21000000
2.50475114e2, 1.23000000, 1.21500000
2.53030982e2, 1.22000000, 1.22000000
2.55639549e2, 1.21562500, 1.22437500
2.58302461e2, 1.21000000, 1.23000000
2.61021434e2, 1.19500000, 1.23875000
2.63798258e2, 1.18000000, 1.25000000
2.66634798e2, 1.17437500, 1.26437500
2.69533003e2, 1.17000000, 1.28000000
2.72494904e2, 1.16062500, 1.29562500
2.75522625e2, 1.15000000, 1.31000000
2.78618385e2, 1.14062500, 1.31937500
2.81784503e2, 1.13000000, 1.33000000
2.85023405e2, 1.11687500, 1.34687500
2.88337631e2, 1.10000000, 1.37000000
2.91729838e2, 1.07375000, 1.40187500
2.95202813e2, 1.05000000, 1.44000000
2.98759473e2, 1.04187500, 1.48437500
3.02402881e2, 1.04000000, 1.53000000
3.06136250e2, 1.03812500, 1.56812500
3.09962953e2, 1.04000000, 1.61000000
3.13886535e2, 1.04687500, 1.66875000
3.17910721e2, 1.06000000, 1.73000000
3.22039432e2, 1.08250000, 1.78312500
3.26276793e2, 1.11000000, 1.83000000
3.30627150e2, 1.13875000, 1.86750000
3.35095085e2, 1.17000000, 1.90000000
3.39685428e2, 1.20500000, 1.93125000
3.44403281e2, 1.24000000, 1.96000000
3.49254032e2, 1.27000000, 1.98562500
3.54243375e2, 1.30000000, 2.01000000
3.59377337e2, 1.33437500, 2.03625000
3.64662298e2, 1.37000000, 2.06000000
3.70105019e2, 1.40562500, 2.07625000
3.75712671e2, 1.44000000, 2.09000000
3.81492866e2, 1.47125000, 2.10500000
3.87453692e2, 1.50000000, 2.12000000
3.93603750e2, 1.52625000, 2.13562500
3.99952198e2, 1.55000000, 2.15000000
4.06508791e2, 1.57062500, 2.15937500
4.13283938e2, 1.59000000, 2.17000000
4.20288750e2, 1.60937500, 2.18875000
4.27535108e2, 1.63000000, 2.21000000
4.35035724e2, 1.65562500, 2.23000000
4.42804219e2, 1.68000000, 2.25000000
4.50855205e2, 1.69562500, 2.26937500
4.59204375e2, 1.71000000, 2.29000000
4.67868609e2, 1.73000000, 2.31437500
4.76866082e2, 1.75000000, 2.34000000
4.86216397e2, 1.76562500, 2.36312500
4.95940725e2, 1.78000000, 2.39000000
5.06061964e2, 1.79375000, 2.42750000
5.16604922e2, 1.81000000, 2.47000000
5.27596516e2, 1.83312500, 2.51312500
5.39066006e2, 1.86000000, 2.56000000
5.51045250e2, 1.88750000, 2.61437500
5.63569006e2, 1.92000000, 2.67000000
5.76675262e2, 1.96250000, 2.72000000
5.90405625e2, 2.01000000, 2.77000000
6.04805762e2, 2.05875000, 2.82437500
6.19925906e2, 2.11000000, 2.88000000
6.35821443e2, 2.16250000, 2.93437500
6.52553586e2, 2.22000000, 2.99000000
6.70190169e2, 2.28562500, 3.04937500
6.88806563e2, 2.36000000, 3.11000000
7.08486750e2, 2.44625000, 3.17312500
7.29324596e2, 2.54000000, 3.23000000
7.51425341e2, 2.63625000, 3.27125000
7.74907383e2, 2.74000000, 3.30000000
7.99904395e2, 2.86062500, 3.31687500
8.26567875e2, 2.98000000, 3.32000000
8.55070216e2, 3.08312500, 3.30312500
8.85608438e2, 3.17000000, 3.28000000
9.18408750e2, 3.23250000, 3.25937500
9.53732164e2, 3.28000000, 3.25000000
9.91881450e2, 3.31437500, 3.26687500
1.03320984e3, 3.35000000, 3.30000000
1.07813201e3, 3.40500000, 3.34562500
1.12713801e3, 3.47000000, 3.40000000
1.18081125e3, 3.54250000, 3.45937500
1.23985181e3, 3.62000000, 3.52000000
