wavelength (nm), n, k
1.80000000e2, 1.37019000, 1.99796400
1.90000000e2, 1.53481500, 1.83115600
2.00000000e2, 1.53584100, 1.69583300
2.10000000e2, 1.46000000, 1.65000000
2.20000000e2, 1.43283700, 1.80633600
2.30000000e2, 1.44256300, 2.08404400
2.40000000e2, 1.36258000, 2.45346600
2.50000000e2, 1.36501900, 2.84727000
2.60000000e2, 1.62734500, 3.19744700
2.70000000e2, 1.95194400, 3.43182000
2.80000000e2, 3.35526400, 3.56059900
2.90000000e2, 3.83493300, 3.53466900
3.00000000e2, 4.73162300, 3.28025200
3.10000000e2, 5.23525500, 2.73437700
3.20000000e2, 5.39131300, 2.07589000
3.30000000e2, 5.29113100, 1.56979400
3.40000000e2, 4.96871900, 1.09258800
3.50000000e2, 4.47727700, 6.50811000e-1
3.60000000e2, 3.87000000, 2.51000000e-1
3.70000000e2, 3.66132600, 3.30020000e-2
3.80000000e2, 3.49840600, 0.00000000
3.90000000e2, 3.37530400, 0.00000000
4.00000000e2, 3.28608700, 0.00000000
4.10000000e2, 3.22481800, 0.00000000
4.20000000e2, 3.18556500, 0.00000000
4.30000000e2, 3.16239100, 0.00000000
4.40000000e2, 3.14936200, 0.00000000
4.50000000e2, 3.14054400, 0.00000000
4.60000000e2, 3.13000000, 0.00000000
4.70000000e2, 3.10412500, 0.00000000
4.80000000e2, 3.08000000, 0.00000000
4.90000000e2, 3.05375000, 0.00000000
5.00000000e2, 3.03000000, 0.00000000
5.10000000e2, 3.01375000, 0.00000000
5.20000000e2, 3.00000000, 0.00000000
5.30000000e2, 2.98500000, 0.00000000
5.40000000e2, 2.97000000, 0.00000000
5.50000000e2, 2.95437500, 0.00000000
5.60000000e2, 2.94000000, 0.00000000
5.70000000e2, 2.92937500, 0.00000000
5.80000000e2, 2.92000000, 0.00000000
5.90000000e2, 2.91000000, 0.00000000
6.00000000e2, 2.90000000, 0.00000000
6.10000000e2, 2.88937500, 0.00000000
6.20000000e2, 2.88000000, 0.00000000
6.30000000e2, 2.87500000, 0.00000000
6.40000000e2, 2.87000000, 0.00000000
6.50000000e2, 2.86000000, 0.00000000
6.60000000e2, 2.85000000, 0.00000000
6.70000000e2, 2.84437500, 0.00000000
6.80000000e2, 2.84000000, 0.00000000
6.90000000e2, 2.83500000, 0.00000000
7.00000000e2, 2.83000000, 0.00000000
7.10000000e2, 2.82500000, 0.00000000
7.20000000e2, 2.82000000, 0.00000000
7.30000000e2, 2.81437500, 0.00000000
7.40000000e2, 2.81000000, 0.00000000
7.50000000e2, 2.81000000, 0.00000000
7.60000000e2, 2.81000000, 0.00000000
7.70000000e2, 2.80562500, 0.00000000
7.80000000e2, 2.80000000, 0.00000000
7.90000000e2, 2.79437500, 0.00000000
8.00000000e2, 2.79000000, 0.00000000
8.10000000e2, 2.79000000, 0.00000000
8.20000000e2, 2.79000000, 0.00000000
8.30000000e2, 2.78500000, 0.00000000
8.40000000e2, 2.78000000, 0.00000000
8.50000000e2, 2.78000000, 0.00000000
8.60000000e2, 2.78000000, 0.00000000
8.70000000e2, 2.77500000, 0.00000000
8.80000000e2, 2.77000000, 0.00000000
8.90000000e2, 2.77000000, 0.00000000
9.00000000e2, 2.77000000, 0.00000000
9.10000000e2, 2.76500000, 0.00000000
9.20000000e2, 2.76000000, 0.00000000
9.30000000e2, 2.75937500, 0.00000000
9.40000000e2, 2.76000000, 0.00000000
9.50000000e2, 2.76062500, 0.00000000
9.60000000e2, 2.76000000, 0.00000000
9.70000000e2, 2.75500000, 0.00000000
9.80000000e2, 2.75000000, 0.00000000
9.90000000e2, 2.74899600, 0.00000000
1.00000000e3, 2.75000000, 0.00000000
1.01000000e3, 2.74975000, 0.00000000
1.02000000e3, 2.74935100, 0.00000000
1.03000000e3, 2.74881500, 0.00000000
1.04000000e3, 2.74815600, 0.00000000
1.05000000e3, 2.74738600, 0.00000000
1.06000000e3, 2.74652000, 0.00000000
1.07000000e3, 2.74556800, 0.00000000
1.08000000e3, 2.74454500, 0.00000000
1.09000000e3, 2.74346400, 0.00000000
1.10000000e3, 2.74233800, 0.00000000
1.11000000e3, 2.74117900, 0.00000000
1.12000000e3, 2.74000000, 0.00000000
1.13000000e3, 2.73900000, 0.00000000
1.14000000e3, 2.73799000, 0.00000000
1.15000000e3, 2.73697400, 0.00000000
1.16000000e3, 2.73595700, 0.00000000
1.17000000e3, 2.73494000, 0.00000000
1.18000000e3, 2.73392900, 0.00000000
1.19000000e3, 2.73292500, 0.00000000
1.20000000e3, 2.73193400, 0.00000000
1.21000000e3, 2.73095800, 0.00000000
1.22000000e3, 2.73000000, 0.00000000
1.23000000e3, 2.72933100, 0.00000000
1.24000000e3, 2.72870200, 0.00000000
1.25000000e3, 2.72810800, 0.00000000
1.26000000e3, 2.72754400, 0.00000000
1.27000000e3, 2.72700500, 0.00000000
1.28000000e3, 2.72648600, 0.00000000
1.29000000e3, 2.72598200, 0.00000000
1.30000000e3, 2.72548900, 0.00000000
1.31000000e3, 2.72500000, 0.00000000
1.32000000e3, 2.72451100, 0.00000000
1.33000000e3, 2.72401800, 0.00000000
1.34000000e3, 2.72351400, 0.00000000
1.35000000e3, 2.72299500, 0.00000000
1.36000000e3, 2.72245600, 0.00000000
1.37000000e3, 2.72189200, 0.00000000
1.38000000e3, 2.72129800, 0.00000000
1.39000000e3, 2.72066900, 0.00000000
1.40000000e3, 2.72000000, 0.00000000
1.41000000e3, 2.71928600, 0.00000000
1.42000000e3, 2.71852100, 0.00000000
1.43000000e3, 2.71770200, 0.00000000
1.44000000e3, 2.71682200, 0.00000000
1.45000000e3, 2.71587700, 0.00000000
1.46000000e3, 2.71486200, 0.00000000
1.47000000e3, 2.71377200, 0.00000000
1.48000000e3, 2.71260100, 0.00000000
1.49000000e3, 2.71134600, 0.00000000
1.50000000e3, 2.71000000, 0.00000000
