wavelength (nm), n, k
2.06641969e2, 1.14000000, 2.18000000
2.08378456e2, 1.14187500, 2.19187500
2.10144375e2, 1.14000000, 2.20000000
2.11940481e2, 1.13562500, 2.20562500
2.13767554e2, 1.13000000, 2.21000000
2.15626402e2, 1.12437500, 2.21562500
2.17517862e2, 1.12000000, 2.22000000
2.19442799e2, 1.11875000, 2.22125000
2.21402109e2, 1.12000000, 2.22000000
2.23396723e2, 1.12437500, 2.21500000
2.25427602e2, 1.13000000, 2.21000000
2.27495745e2, 1.13437500, 2.20937500
2.29602188e2, 1.14000000, 2.21000000
2.31748002e2, 1.15000000, 2.21000000
2.33934304e2, 1.16000000, 2.21000000
2.36162250e2, 1.16437500, 2.21187500
2.38433041e2, 1.17000000, 2.21000000
2.40747925e2, 1.18375000, 2.19437500
2.43108199e2, 1.20000000, 2.18000000
2.45515210e2, 1.21500000, 2.18250000
2.47970363e2, 1.23000000, 2.19000000
2.50475114e2, 1.24437500, 2.19562500
2.53030982e2, 1.26000000, 2.20000000
2.55639549e2, 1.28187500, 2.19500000
2.58302461e2, 1.30000000, 2.20000000
2.61021434e2, 1.30125000, 2.24125000
2.63798258e2, 1.30000000, 2.29000000
2.66634798e2, 1.30875000, 2.32125000
2.69533003e2, 1.32000000, 2.35000000
2.72494904e2, 1.32812500, 2.38375000
2.75522625e2, 1.34000000, 2.42000000
2.78618385e2, 1.36500000, 2.46000000
2.81784503e2, 1.39000000, 2.50000000
2.85023405e2, 1.40000000, 2.53500000
2.88337631e2, 1.41000000, 2.57000000
2.91729838e2, 1.43312500, 2.60937500
2.95202813e2, 1.46000000, 2.65000000
2.98759473e2, 1.48500000, 2.69000000
3.02402881e2, 1.51000000, 2.73000000
3.06136250e2, 1.53312500, 2.77000000
3.09962953e2, 1.56000000, 2.81000000
3.13886535e2, 1.59750000, 2.85000000
3.17910721e2, 1.64000000, 2.89000000
3.22039432e2, 1.68312500, 2.92937500
3.26276793e2, 1.73000000, 2.97000000
3.30627150e2, 1.78312500, 3.01500000
3.35095085e2, 1.84000000, 3.06000000
3.39685428e2, 1.90000000, 3.10062500
3.44403281e2, 1.96000000, 3.14000000
3.49254032e2, 2.01562500, 3.18250000
3.54243375e2, 2.07000000, 3.22000000
3.59377337e2, 2.12437500, 3.24187500
3.64662298e2, 2.18000000, 3.26000000
3.70105019e2, 2.23937500, 3.28625000
3.75712671e2, 2.30000000, 3.31000000
3.81492866e2, 2.35937500, 3.32000000
3.87453692e2, 2.42000000, 3.33000000
3.93603750e2, 2.48250000, 3.35625000
3.99952198e2, 2.55000000, 3.38000000
4.06508791e2, 2.63000000, 3.38062500
4.13283938e2, 2.71000000, 3.38000000
4.20288750e2, 2.77312500, 3.40125000
4.27535108e2, 2.84000000, 3.42000000
4.35035724e2, 2.93312500, 3.41375000
4.42804219e2, 3.03000000, 3.40000000
4.50855205e2, 3.11125000, 3.39187500
4.59204375e2, 3.19000000, 3.38000000
4.67868609e2, 3.27437500, 3.35812500
4.76866082e2, 3.36000000, 3.33000000
4.86216397e2, 3.44937500, 3.29875000
4.95940725e2, 3.53000000, 3.26000000
5.06061964e2, 3.58750000, 3.20687500
5.16604922e2, 3.63000000, 3.15000000
5.27596516e2, 3.66125000, 3.09750000
5.39066006e2, 3.68000000, 3.05000000
5.51045250e2, 3.68500000, 3.01125000
5.63569006e2, 3.68000000, 2.98000000
5.76675262e2, 3.67125000, 2.95625000
5.90405625e2, 3.65000000, 2.94000000
6.04805762e2, 3.60125000, 2.92875000
6.19925906e2, 3.55000000, 2.93000000
6.35821443e2, 3.52312500, 2.95562500
6.52553586e2, 3.50000000, 2.99000000
6.70190169e2, 3.46312500, 3.02187500
6.88806563e2, 3.43000000, 3.05000000
7.08486750e2, 3.41500000, 3.06500000
7.29324596e2, 3.41000000, 3.08000000
7.51425341e2, 3.41062500, 3.10937500
7.74907383e2, 3.42000000, 3.14000000
7.99904395e2, 3.44812500, 3.16125000
8.26567875e2, 3.47000000, 3.18000000
8.55070216e2, 3.45625000, 3.19687500
8.85608438e2, 3.43000000, 3.22000000
9.18408750e2, 3.41437500, 3.25312500
9.53732164e2, 3.38000000, 3.31000000
9.91881450e2, 3.29687500, 3.41000000
1.03320984e3, 3.19000000, 3.54000000
1.07813201e3, 3.07437500, 3.68437500
1.12713801e3, 2.95000000, 3.87000000
1.18081125e3, 2.81312500, 4.13375000
1.23985181e3, 2.69000000, 4.43000000
1.30510717e3, 2.61125000, 4.71312500
1.37761313e3, 2.56000000, 5.02000000
1.45864919e3, 2.52937500, 5.36562500
1.54981477e3, 2.52000000, 5.77000000
1.65313575e3, 2.53375000, 6.26187500
1.77121688e3, 2.56000000, 6.83000000
1.90746433e3, 2.58625000, 7.48000000
2.06641969e3, 2.62000000, 8.19000000
2.25427602e3, 2.66375000, 8.94500000
2.47970363e3, 2.72000000, 9.73000000
