wavelength (nm), n, k
6.19925906, 1.00000000, 0.00000000
6.28909884, 1.00000000, 0.00000000
6.38158083, 1.00000000, 0.00000000
6.47682333, 1.00000000, 0.00000000
6.57495181, 1.00000000, 0.00000000
6.67609947, 1.00000000, 0.00000000
6.78040782, 1.00000000, 0.00000000
6.88802736, 1.00000000, 0.00000000
6.99911830, 1.00000000, 0.00000000
7.11385137, 1.00000000, 0.00000000
7.23240864, 1.00000000, 0.00000000
7.35498456, 1.00000000, 0.00000000
7.48178699, 1.00000000, 0.00000000
7.61303835, 1.00000000, 0.00000000
7.74897697, 1.00000000, 0.00000000
7.88985849, 1.00000000, 0.00000000
8.03595751, 1.00000000, 0.00000000
8.18756934, 1.00000000, 0.00000000
8.34501200, 1.00000000, 0.00000000
8.50862846, 1.00000000, 0.00000000
8.67878911, 1.00000000, 0.00000000
8.85589461, 1.00000000, 0.00000000
9.04037896, 1.00000000, 0.00000000
9.23271313, 1.00000000, 0.00000000
9.43340901, 1.00000000, 0.00000000
9.64302402, 1.00000000, 0.00000000
9.86216622, 1.00000000, 0.00000000
1.00915003e1, 1.00000000, 0.00000000
1.03317540e1, 1.00000000, 0.00000000
1.05837265e1, 1.00000000, 0.00000000
1.08482966e1, 1.00000000, 0.00000000
1.11264330e1, 1.00000000, 0.00000000
1.14192069e1, 1.00000000, 0.00000000
1.17278050e1, 1.00000000, 0.00000000
1.20535457e1, 1.00000000, 0.00000000
1.23978982e1, 1.00000000, 0.00000000
1.27625048e1, 1.00000000, 0.00000000
1.31492063e1, 1.00000000, 0.00000000
1.35600741e1, 1.00000000, 0.00000000
1.39974464e1, 1.00000000, 0.00000000
1.44639736e1, 1.00000000, 0.00000000
1.49626711e1, 1.00000000, 0.00000000
1.54969854e1, 1.00000000, 0.00000000
1.60708734e1, 1.00000000, 0.00000000
1.66889007e1, 1.00000000, 0.00000000
1.73563633e1, 1.00000000, 0.00000000
1.80794397e1, 1.00000000, 0.00000000
1.88653826e1, 1.00000000, 0.00000000
1.97227636e1, 1.00000000, 0.00000000
2.06617863e1, 1.00000000, 0.00000000
2.16946949e1, 1.00000000, 0.00000000
2.28363106e1, 1.00000000, 0.00000000
2.41047479e1, 1.00000000, 0.00000000
2.55223824e1, 1.00000000, 0.00000000
2.71171824e1, 1.00000000, 0.00000000
2.89245728e1, 1.00000000, 0.00000000
3.09900973e1, 1.00000000, 0.00000000
3.33733093e1, 1.00000000, 0.00000000
3.61536074e1, 1.00000000, 0.00000000
3.94392535e1, 1.00000000, 0.00000000
4.33817989e1, 1.00000000, 0.00000000
4.82001249e1, 1.00000000, 0.00000000
5.42225056e1, 1.00000000, 0.00000000
6.19647065e1, 1.00000000, 0.00000000
7.22861365e1, 1.00000000, 0.00000000
8.67332503e1, 1.00000000, 0.00000000
1.08397606e2, 1.00000000, 0.00000000
1.44488033e2, 1.00000000, 0.00000000
2.16605837e2, 1.00000000, 0.00000000
4.32456161e2, 1.00000000, 0.00000000
1.23985181e5, 1.00000000, 0.00000000
