wavelength (nm), n, k
2.53030982e2, 2.50200000, 3.26500000
2.55639549e2, 2.48843800, 3.26793800
2.58302461e2, 2.49000000, 3.28200000
2.61021434e2, 2.50331300, 3.30031300
2.63798258e2, 2.52500000, 3.31600000
2.66634798e2, 2.55137500, 3.31400000
2.69533003e2, 2.58000000, 3.31200000
2.72494904e2, 2.60368700, 3.32875000
2.75522625e2, 2.63300000, 3.34600000
2.78618385e2, 2.67875000, 3.34925000
2.81784503e2, 2.73300000, 3.34600000
2.85023405e2, 2.79587500, 3.33656200
2.88337631e2, 2.85400000, 3.32800000
2.91729838e2, 2.88531300, 3.33243800
2.95202813e2, 2.91600000, 3.33500000
2.98759473e2, 2.97106200, 3.32237500
3.02402881e2, 3.03200000, 3.30200000
3.06136250e2, 3.08875000, 3.27562500
3.09962953e2, 3.14100000, 3.24700000
3.13886535e2, 3.18143800, 3.22293800
3.17910721e2, 3.22100000, 3.19600000
3.22039432e2, 3.27343800, 3.15793700
3.26276793e2, 3.32300000, 3.11800000
3.30627150e2, 3.35468700, 3.08325000
3.35095085e2, 3.38000000, 3.05200000
3.39685428e2, 3.40562500, 3.02737500
3.44403281e2, 3.43100000, 3.00200000
3.49254032e2, 3.45768800, 2.96818800
3.54243375e2, 3.48600000, 2.93000000
3.59377337e2, 3.51875000, 2.88893800
3.64662298e2, 3.55000000, 2.84500000
3.70105019e2, 3.57500000, 2.79637500
3.75712671e2, 3.59300000, 2.75000000
3.81492866e2, 3.60018700, 2.71493700
3.87453692e2, 3.60100000, 2.68300000
3.93603750e2, 3.59943700, 2.64618800
3.99952198e2, 3.59300000, 2.61300000
4.06508791e2, 3.57787500, 2.58981300
4.13283938e2, 3.56200000, 2.57500000
4.20288750e2, 3.55318800, 2.57056300
4.27535108e2, 3.54800000, 2.57200000
4.35035724e2, 3.54562500, 2.57500000
4.42804219e2, 3.54600000, 2.58100000
4.50855205e2, 3.54775000, 2.59006200
4.59204375e2, 3.55400000, 2.60200000
4.67868609e2, 3.56875000, 2.61806200
4.76866082e2, 3.58800000, 2.63400000
4.86216397e2, 3.60975000, 2.64475000
4.95940725e2, 3.63200000, 2.65400000
5.06061964e2, 3.65118800, 2.66293800
5.16604922e2, 3.67000000, 2.67400000
5.27596516e2, 3.68893700, 2.69050000
5.39066006e2, 3.71100000, 2.71100000
5.51045250e2, 3.74006200, 2.73562500
5.63569006e2, 3.77400000, 2.76300000
5.76675262e2, 3.80900000, 2.79225000
5.90405625e2, 3.85400000, 2.82200000
6.04805762e2, 3.91862500, 2.85462500
6.19925906e2, 3.99700000, 2.87800000
6.35821443e2, 4.09337500, 2.87906200
6.52553586e2, 4.18700000, 2.86300000
6.70190169e2, 4.25550000, 2.82525000
6.88806563e2, 4.30800000, 2.78200000
7.08486750e2, 4.34262500, 2.74975000
7.29324596e2, 4.37000000, 2.72300000
7.51425341e2, 4.40281200, 2.70068800
7.74907383e2, 4.43300000, 2.68600000
7.99904395e2, 4.45443800, 2.68143700
8.26567875e2, 4.47400000, 2.68800000
8.55070216e2, 4.48337500, 2.71212500
8.85608438e2, 4.52200000, 2.74000000
9.18408750e2, 4.64668700, 2.76875000
9.53732164e2, 4.79700000, 2.77200000
9.91881450e2, 4.94225000, 2.71968700
1.03320984e3, 5.05000000, 2.62000000
1.07813201e3, 5.06675000, 2.45225000
1.12713801e3, 5.02500000, 2.27300000
1.18081125e3, 4.93075000, 2.13162500
1.23985181e3, 4.81000000, 2.02900000
1.30510717e3, 4.70487500, 1.98568700
1.37761313e3, 4.57300000, 1.99200000
1.45864919e3, 4.37800000, 2.04681300
1.54981477e3, 4.14400000, 2.14500000
1.65313575e3, 3.88181300, 2.25400000
1.77121688e3, 3.59500000, 2.45500000
1.90746433e3, 3.27000000, 2.83893800
2.06641969e3, 2.96900000, 3.34400000
2.25427602e3, 2.74950000, 3.90881300
2.47970363e3, 2.61200000, 4.62300000
2.75522625e3, 2.56106200, 5.56637500
3.09962953e3, 2.64200000, 6.70700000
3.54243375e3, 2.88400000, 7.94787500
4.13283938e3, 3.34000000, 9.56400000
4.95940725e3, 4.00125000, 1.18403100e1
6.19925906e3, 5.08200000, 1.46500000e1
8.26567875e3, 6.74074900, 1.79691900e1
1.23985181e4, 9.13600100, 2.17740000e1
2.47970363e4, 2.07720000e1, 3.78310000e1
