wavelength (nm), n, k
2.53030982e2, 2.68800000, 3.36800000
2.55639549e2, 2.66356200, 3.35968800
2.58302461e2, 2.65900000, 3.39700000
2.61021434e2, 2.67542000, 3.45509800
2.63798258e2, 2.71470000, 3.50762200
2.66634798e2, 2.78415100, 3.51757900
2.69533003e2, 2.86097600, 3.50527300
2.72494904e2, 2.92327600, 3.48264700
2.75522625e2, 2.97659600, 3.45181300
2.78618385e2, 3.02235400, 3.41559100
2.81784503e2, 3.06936700, 3.38198700
2.85023405e2, 3.12721200, 3.35937600
2.88337631e2, 3.18332600, 3.34222000
2.91729838e2, 3.22545800, 3.32528500
2.95202813e2, 3.26447000, 3.30051500
2.98759473e2, 3.31103100, 3.26043800
3.02402881e2, 3.35820100, 3.21251600
3.06136250e2, 3.39868900, 3.16499200
3.09962953e2, 3.43398200, 3.12106200
3.13886535e2, 3.46631700, 3.08236100
3.17910721e2, 3.49751700, 3.04122800
3.22039432e2, 3.52883400, 2.99076600
3.26276793e2, 3.55773500, 2.93941900
3.30627150e2, 3.58134500, 2.89607100
3.35095085e2, 3.59856200, 2.85786700
3.39685428e2, 3.60930500, 2.82016200
3.44403281e2, 3.61647300, 2.78041400
3.49254032e2, 3.62295900, 2.73707100
3.54243375e2, 3.62787000, 2.69201800
3.59377337e2, 3.62985200, 2.64804900
3.64662298e2, 3.62884000, 2.60707100
3.70105019e2, 3.62513500, 2.57082100
3.75712671e2, 3.62005000, 2.54169900
3.81492866e2, 3.61498900, 2.52117400
3.87453692e2, 3.61142900, 2.50464800
3.93603750e2, 3.61045100, 2.48726400
3.99952198e2, 3.60868500, 2.46735500
4.06508791e2, 3.60269700, 2.44361200
4.13283938e2, 3.59272600, 2.42273700
4.20288750e2, 3.57887400, 2.41169500
4.27535108e2, 3.56546200, 2.40567500
4.35035724e2, 3.55728000, 2.39999500
4.42804219e2, 3.54970500, 2.39712100
4.50855205e2, 3.53803900, 2.39926100
4.59204375e2, 3.52617600, 2.40492200
4.67868609e2, 3.51808200, 2.41255900
4.76866082e2, 3.50989900, 2.42402400
4.86216397e2, 3.49730900, 2.44100200
4.95940725e2, 3.48500000, 2.46300000
5.06061964e2, 3.47705800, 2.48943900
5.16604922e2, 3.47195200, 2.52202300
5.27596516e2, 3.46857300, 2.56236700
5.39066006e2, 3.47003100, 2.61009300
5.51045250e2, 3.47880800, 2.66598400
5.63569006e2, 3.49594700, 2.72691600
5.76675262e2, 3.52249800, 2.79007400
5.90405625e2, 3.56120700, 2.85507900
6.04805762e2, 3.61499600, 2.92141300
6.19925906e2, 3.68344000, 2.98715400
6.35821443e2, 3.76676100, 3.05062800
6.52553586e2, 3.85791500, 3.10762900
6.70190169e2, 3.94990900, 3.15395500
6.88806563e2, 4.04991900, 3.19049000
7.08486750e2, 4.16487200, 3.21806700
7.29324596e2, 4.29368200, 3.23116800
7.51425341e2, 4.43332700, 3.22460000
7.74907383e2, 4.56275200, 3.20185000
7.99904395e2, 4.66353000, 3.16658900
8.26567875e2, 4.75611800, 3.11161800
8.55070216e2, 4.86119700, 3.03171100
8.85608438e2, 4.96316500, 2.94306600
9.18408750e2, 5.04320800, 2.86104600
9.53732164e2, 5.10229700, 2.77438700
9.91881450e2, 5.14200500, 2.67167000
1.03320984e3, 5.14982400, 2.55910800
1.07813201e3, 5.11574600, 2.44916600
1.12713801e3, 5.03655300, 2.37024400
1.18081125e3, 4.91889200, 2.34582800
1.23985181e3, 4.82412500, 2.36113300
1.30510717e3, 4.80279400, 2.39605100
1.37761313e3, 4.77821400, 2.43565600
1.45864919e3, 4.67098000, 2.47129800
1.54981477e3, 4.52078700, 2.54652300
1.65313575e3, 4.37434100, 2.70503300
1.77121688e3, 4.24121200, 2.91161800
1.90746433e3, 4.13004100, 3.13126600
2.06641969e3, 4.00443900, 3.40576500
2.25427602e3, 3.82633300, 3.77540300
2.47970363e3, 3.66760600, 4.31431100
2.75522625e3, 3.59422300, 5.10382000
3.09962953e3, 3.67025800, 6.10177000
3.54243375e3, 3.95840900, 7.27171900
4.13283938e3, 4.53168400, 8.63627500
4.95940725e3, 5.53018800, 1.01837800e1
6.19925906e3, 6.69400000, 1.20540000e1
8.26567875e3, 7.83781200, 1.43580600e1
1.23985181e4, 8.78700100, 1.72030000e1
2.47970363e4, 1.95390000e1, 3.06730000e1
