wavelength (nm), n, k
1.90746433e2, 1.26000000, 2.95000000
1.91482905e2, 1.27062500, 2.97101600
1.92225087e2, 1.28250000, 2.99312500
1.92973045e2, 1.29562500, 3.01617200
1.93726846e2, 1.31000000, 3.04000000
1.94486559e2, 1.32562500, 3.06445300
1.95252254e2, 1.34250000, 3.08937500
1.96024002e2, 1.36062500, 3.11461000
1.96801875e2, 1.38000000, 3.14000000
1.97585946e2, 1.40062500, 3.16539100
1.98376290e2, 1.42250000, 3.19062500
1.99172982e2, 1.44562500, 3.21554700
1.99976099e2, 1.47000000, 3.24000000
2.00785719e2, 1.49601500, 3.26304700
2.01601921e2, 1.52312500, 3.28562500
2.02424786e2, 1.55117200, 3.30789100
2.03254396e2, 1.58000000, 3.33000000
2.04090833e2, 1.60910400, 3.35200000
2.04934184e2, 1.63881500, 3.37420000
2.05784533e2, 1.66912000, 3.39680000
2.06641969e2, 1.70000000, 3.42000000
2.07506580e2, 1.73144000, 3.44400000
2.08378456e2, 1.76352000, 3.46800000
2.09257690e2, 1.79688000, 3.49200000
2.10144375e2, 1.83216000, 3.51600000
2.11038606e2, 1.87000000, 3.54000000
2.11940481e2, 1.91216000, 3.56512000
2.12850097e2, 1.95688000, 3.58896000
2.13767554e2, 2.00320000, 3.60896000
2.14692955e2, 2.05080000, 3.62512000
2.15626402e2, 2.10000000, 3.64000000
2.16568002e2, 2.15080000, 3.65712000
2.17517862e2, 2.20320000, 3.67296000
2.18476090e2, 2.25720000, 3.68560000
2.19442799e2, 2.31280000, 3.69440000
2.20418100e2, 2.37000000, 3.70000000
2.21402109e2, 2.42880000, 3.70240000
2.22394944e2, 2.48920100, 3.70160000
2.23396723e2, 2.55184000, 3.69824000
2.24407568e2, 2.61608000, 3.69168000
2.25427602e2, 2.68000000, 3.68000000
2.26456952e2, 2.74120000, 3.65912000
2.27495745e2, 2.80080100, 3.63376000
2.28544113e2, 2.85912000, 3.60744000
2.29602188e2, 2.91584000, 3.58048000
2.30670105e2, 2.97000000, 3.55000000
2.31748002e2, 3.01984000, 3.51192000
2.32836021e2, 3.06712000, 3.47096000
2.33934304e2, 3.11312000, 3.43032100
2.35042998e2, 3.15784000, 3.39064000
2.36162250e2, 3.20000000, 3.35000000
2.37292213e2, 3.23840000, 3.30776000
2.38433041e2, 3.27360000, 3.26328000
2.39584891e2, 3.30592000, 3.21528100
2.40747925e2, 3.33504000, 3.16376000
