wavelength (nm), n, k
1.65313575e2, 6.19000000e-1, 2.19100000
1.67547542e2, 6.56000000e-1, 2.24700000
1.69842714e2, 7.06000000e-1, 2.30400000
1.72201641e2, 7.47000000e-1, 2.35400000
1.74627016e2, 7.92000000e-1, 2.40600000
1.77121688e2, 8.38000000e-1, 2.45500000
1.79688669e2, 8.95000000e-1, 2.51300000
1.82331149e2, 9.52000000e-1, 2.53300000
1.85052509e2, 9.87000000e-1, 2.58700000
1.87856335e2, 1.04600000, 2.62500000
1.90746433e2, 1.09000000, 2.66000000
1.93726846e2, 1.15900000, 2.70200000
1.96801875e2, 1.21000000, 2.71900000
1.99976099e2, 1.23400000, 2.75800000
2.03254396e2, 1.29500000, 2.82200000
2.06641969e2, 1.36000000, 2.84200000
2.10144375e2, 1.39300000, 2.87300000
2.13767554e2, 1.44300000, 2.93600000
2.17517862e2, 1.49300000, 2.97200000
2.21402109e2, 1.53700000, 3.05700000
2.25427602e2, 1.66000000, 3.12800000
2.29602188e2, 1.72200000, 3.12700000
2.33934304e2, 1.79400000, 3.22000000
2.38433041e2, 1.89300000, 3.25700000
2.43108199e2, 1.99500000, 3.33900000
2.47970363e2, 2.15600000, 3.38200000
2.53030982e2, 2.25900000, 3.37800000
2.58302461e2, 2.43800000, 3.44800000
2.63798258e2, 2.61400000, 3.43900000
2.69533003e2, 2.80800000, 3.29900000
2.75522625e2, 2.84700000, 3.18000000
2.81784503e2, 2.88200000, 3.17400000
2.88337631e2, 2.96700000, 3.16300000
2.95202813e2, 3.06400000, 3.13700000
3.02402881e2, 3.16100000, 3.09400000
3.09962953e2, 3.24800000, 3.03600000
3.17910721e2, 3.31300000, 2.96800000
3.26276793e2, 3.35900000, 2.92500000
3.35095085e2, 3.41100000, 2.88700000
3.44403281e2, 3.45700000, 2.85800000
3.54243375e2, 3.50800000, 2.83700000
3.64662298e2, 3.55900000, 2.83100000
3.75712671e2, 3.63300000, 2.82800000
3.87453692e2, 3.71000000, 2.81000000
3.99952198e2, 3.79300000, 2.81700000
4.13283938e2, 3.90300000, 2.81700000
4.27535108e2, 4.02100000, 2.79400000
4.42804219e2, 7.90700000, 2.36700000
4.59204375e2, 2.29000000e1, 7.37000000e-1
4.76866082e2, 2.28000000e1, 7.24000000e-1
4.95940725e2, 2.27000000e1, 7.10000000e-1
5.16604922e2, 2.26000000e1, 6.93000000e-1
5.39066006e2, 2.25000000e1, 6.81000000e-1
5.63569006e2, 2.24000000e1, 6.71000000e-1
5.90405625e2, 2.23000000e1, 6.64000000e-1
6.19925906e2, 2.22000000e1, 6.52000000e-1
6.52553586e2, 2.21000000e1, 6.33000000e-1
6.88806563e2, 2.20000000e1, 6.13000000e-1
7.29324596e2, 2.19000000e1, 6.00000000e-1
7.74907383e2, 2.18000000e1, 5.91000000e-1
8.26567875e2, 2.17000000e1, 5.87000000e-1
8.85608438e2, 2.16000000e1, 5.76000000e-1
9.53732164e2, 2.15000000e1, 5.59000000e-1
1.03320984e3, 2.14000000e1, 5.43000000e-1
1.12713801e3, 2.13000000e1, 5.33000000e-1
1.23985181e3, 2.11000000e1, 5.28000000e-1
1.37761313e3, 2.11000000e1, 5.23000000e-1
1.54981477e3, 2.10000000e1, 5.17000000e-1
1.77121688e3, 2.09000000e1, 5.11000000e-1
2.06641969e3, 2.08000000e1, 5.06000000e-1
2.47970363e3, 2.07000000e1, 5.03000000e-1
3.09962953e3, 2.06000000e1, 5.00000000e-1
4.13283938e3, 2.05000000e1, 4.95000000e-1
6.19925906e3, 2.04000000e1, 4.89000000e-1
1.23985181e4, 2.03200000e1, 4.85000000e-1
