wavelength (nm), n, k
1.65313575e2, 6.97000000e-1, 1.83400000
1.67547542e2, 7.22000000e-1, 1.89100000
1.69842714e2, 7.35000000e-1, 1.95500000
1.72201641e2, 7.68000000e-1, 2.02100000
1.74627016e2, 7.88000000e-1, 2.08300000
1.77121688e2, 8.31000000e-1, 2.14500000
1.79688669e2, 8.76000000e-1, 2.19400000
1.82331149e2, 9.02000000e-1, 2.23800000
1.85052509e2, 9.25000000e-1, 2.29600000
1.87856335e2, 9.78000000e-1, 2.38500000
1.90746433e2, 1.03600000, 2.40800000
1.93726846e2, 1.07300000, 2.46100000
1.96801875e2, 1.12200000, 2.52500000
1.99976099e2, 1.18600000, 2.54700000
2.03254396e2, 1.22900000, 2.59400000
2.06641969e2, 1.26600000, 2.63400000
2.10144375e2, 1.28600000, 2.69300000
2.13767554e2, 1.34600000, 2.78300000
2.17517862e2, 1.41400000, 2.88200000
2.21402109e2, 1.54900000, 2.92300000
2.25427602e2, 1.64500000, 2.97900000
2.29602188e2, 1.78300000, 3.00400000
2.33934304e2, 1.90500000, 2.95400000
2.38433041e2, 1.98900000, 2.94400000
2.43108199e2, 2.08700000, 2.94600000
2.47970363e2, 2.04400000, 2.83500000
2.53030982e2, 2.11000000, 2.90100000
2.58302461e2, 2.18000000, 2.91500000
2.63798258e2, 2.25600000, 2.90300000
2.69533003e2, 2.30100000, 2.87800000
2.75522625e2, 2.33100000, 2.86900000
2.81784503e2, 2.35800000, 2.87100000
2.88337631e2, 2.38100000, 2.88100000
2.95202813e2, 2.40200000, 2.90100000
3.02402881e2, 2.41800000, 2.93400000
3.09962953e2, 2.43900000, 2.98600000
3.17910721e2, 2.46800000, 3.05200000
3.26276793e2, 2.51400000, 3.13300000
3.35095085e2, 2.57700000, 3.22200000
3.44403281e2, 2.66000000, 3.31700000
3.54243375e2, 2.77000000, 3.40900000
3.64662298e2, 2.89400000, 3.49200000
3.75712671e2, 3.03700000, 3.56900000
3.87453692e2, 3.19000000, 3.64200000
3.99952198e2, 3.36900000, 3.71400000
4.13283938e2, 3.58100000, 3.76800000
4.27535108e2, 3.81200000, 4.00000000
4.42804219e2, 7.83100000, 3.25400000
4.59204375e2, 2.29000000e1, 1.09000000
4.76866082e2, 2.28000000e1, 1.10100000
4.95940725e2, 2.27000000e1, 1.09300000
5.16604922e2, 2.26000000e1, 1.07300000
5.39066006e2, 2.25000000e1, 1.04900000
5.63569006e2, 2.24000000e1, 1.02200000
5.90405625e2, 2.23000000e1, 9.95000000e-1
6.19925906e2, 2.22000000e1, 9.70000000e-1
6.52553586e2, 2.21000000e1, 9.46000000e-1
6.88806563e2, 2.20000000e1, 9.24000000e-1
7.29324596e2, 2.19000000e1, 9.08000000e-1
7.74907383e2, 2.18000000e1, 8.95000000e-1
8.26567875e2, 2.17000000e1, 8.83000000e-1
8.85608438e2, 2.16000000e1, 8.73000000e-1
9.53732164e2, 2.15000000e1, 8.61000000e-1
1.03320984e3, 2.14000000e1, 8.50000000e-1
1.12713801e3, 2.13000000e1, 8.39000000e-1
1.23985181e3, 2.12000000e1, 8.27000000e-1
1.37761313e3, 2.11000000e1, 8.23000000e-1
1.54981477e3, 2.10000000e1, 8.23000000e-1
1.77121688e3, 2.09000000e1, 8.25000000e-1
2.06641969e3, 2.08000000e1, 8.24000000e-1
2.47970363e3, 2.07000000e1, 8.22000000e-1
3.09962953e3, 2.06000000e1, 8.10000000e-1
4.13283938e3, 2.05000000e1, 8.18000000e-1
6.19925906e3, 2.04000000e1, 8.12000000e-1
1.23985181e4, 2.03200000e1, 8.08000000e-1
