wavelength (nm), n, k
2.06641969e2, 2.38600000, 0.00000000
2.08378456e2, 2.37200000, 0.00000000
2.10144375e2, 2.35900000, 0.00000000
2.11940481e2, 2.34675000, 0.00000000
2.13767554e2, 2.33500000, 0.00000000
2.15626402e2, 2.32337500, 0.00000000
2.17517862e2, 2.31200000, 0.00000000
2.19442799e2, 2.30087500, 0.00000000
2.21402109e2, 2.29000000, 0.00000000
2.23396723e2, 2.27937500, -1.00000000e-6
2.25427602e2, 2.26900000, 0.00000000
2.27495745e2, 2.25887500, 5.00000000e-6
2.29602188e2, 2.24900000, 9.00000000e-6
2.31748002e2, 2.23931200, 9.00000000e-6
2.33934304e2, 2.23000000, 8.00000000e-6
2.36162250e2, 2.22137500, 8.00000000e-6
2.38433041e2, 2.21300000, 7.00000000e-6
2.40747925e2, 2.20443700, 7.00000000e-6
2.43108199e2, 2.19600000, 6.00000000e-6
2.45515210e2, 2.18793800, 5.00000000e-6
2.47970363e2, 2.18000000, 5.00000000e-6
2.50475114e2, 2.17187500, 5.00000000e-6
2.53030982e2, 2.16400000, 5.00000000e-6
2.55639549e2, 2.15687500, 4.00000000e-6
2.58302461e2, 2.15000000, 4.00000000e-6
2.61021434e2, 2.14293800, 4.00000000e-6
2.63798258e2, 2.13600000, 4.00000000e-6
2.66634798e2, 2.12943700, 4.00000000e-6
2.69533003e2, 2.12300000, 3.00000000e-6
2.72494904e2, 2.11643700, 3.00000000e-6
2.75522625e2, 2.11000000, 3.00000000e-6
2.78618385e2, 2.10393700, 2.00000000e-6
2.81784503e2, 2.09800000, 2.00000000e-6
2.85023405e2, 2.09193700, 2.00000000e-6
2.88337631e2, 2.08600000, 2.00000000e-6
2.91729838e2, 2.08037500, 2.00000000e-6
2.95202813e2, 2.07500000, 2.00000000e-6
2.98759473e2, 2.06993700, 2.00000000e-6
3.02402881e2, 2.06500000, 1.00000000e-6
3.06136250e2, 2.06000000, 1.00000000e-6
3.09962953e2, 2.05500000, 1.00000000e-6
3.13886535e2, 2.04993800, 1.00000000e-6
3.17910721e2, 2.04500000, 1.00000000e-6
3.22039432e2, 2.04043700, 1.00000000e-6
3.26276793e2, 2.03600000, 1.00000000e-6
3.30627150e2, 2.03143700, 1.00000000e-6
3.35095085e2, 2.02700000, 0.00000000
3.39685428e2, 2.02293800, 0.00000000
3.44403281e2, 2.01900000, 0.00000000
3.49254032e2, 2.01500000, 0.00000000
3.54243375e2, 2.01100000, 0.00000000
3.59377337e2, 2.00693800, 0.00000000
3.64662298e2, 2.00300000, 0.00000000
3.70105019e2, 1.99943700, 0.00000000
3.75712671e2, 1.99600000, 0.00000000
3.81492866e2, 1.99250000, 0.00000000
3.87453692e2, 1.98900000, 0.00000000
3.93603750e2, 1.98543700, 0.00000000
3.99952198e2, 1.98200000, 0.00000000
4.06508791e2, 1.97893800, 0.00000000
4.13283938e2, 1.97600000, 0.00000000
4.20288750e2, 1.97300000, 0.00000000
4.27535108e2, 1.97000000, 0.00000000
4.35035724e2, 1.96700000, 0.00000000
4.42804219e2, 1.96400000, 0.00000000
4.50855205e2, 1.96093700, 0.00000000
4.59204375e2, 1.95800000, 0.00000000
4.67868609e2, 1.95543700, 0.00000000
4.76866082e2, 1.95300000, 0.00000000
4.86216397e2, 1.95050000, 0.00000000
4.95940725e2, 1.94800000, 0.00000000
5.06061964e2, 1.94550000, 0.00000000
5.16604922e2, 1.94297900, 0.00000000
5.27596516e2, 1.94055100, 0.00000000
5.39066006e2, 1.93841700, 0.00000000
5.51045250e2, 1.93612300, 0.00000000
5.63569006e2, 1.93400000, 0.00000000
5.76675262e2, 1.93219800, 0.00000000
5.90405625e2, 1.93000000, 0.00000000
6.04805762e2, 1.92800000, 0.00000000
6.19925906e2, 1.92600000, 0.00000000
6.35821443e2, 1.92469000, 0.00000000
6.52553586e2, 1.92222800, 0.00000000
6.70190169e2, 1.92067700, 0.00000000
6.88806563e2, 1.91906500, 0.00000000
7.08486750e2, 1.91745200, 0.00000000
7.29324596e2, 1.91583900, 0.00000000
7.51425341e2, 1.91422600, 0.00000000
7.74907383e2, 1.91261300, 0.00000000
7.99904395e2, 1.91100000, 0.00000000
8.26567875e2, 1.90934000, 0.00000000
8.55070216e2, 1.90839600, 0.00000000
8.85608438e2, 1.90722500, 0.00000000
9.18408750e2, 1.90562000, 0.00000000
9.53732164e2, 1.90438900, 0.00000000
9.91881450e2, 1.90323500, 0.00000000
1.03320984e3, 1.90194200, 0.00000000
1.07813201e3, 1.90058800, 0.00000000
1.12713801e3, 1.89923600, 0.00000000
1.18081125e3, 1.89815000, 0.00000000
1.23985181e3, 1.89719500, 0.00000000
1.30510717e3, 1.89617400, 0.00000000
1.37761313e3, 1.89469800, 0.00000000
1.45864919e3, 1.89319400, 0.00000000
1.54981477e3, 1.89212100, 0.00000000
1.65313575e3, 1.89113000, 0.00000000
1.77121688e3, 1.88996900, 0.00000000
1.90746433e3, 1.88809100, 0.00000000
2.06641969e3, 1.88569300, 0.00000000
2.25427602e3, 1.88366900, 0.00000000
2.47970363e3, 1.88123700, 0.00000000
