wavelength (nm), n, k
2.29602188e2, 2.07883000, 2.67408300
2.30028166e2, 2.10082900, 2.67670300
2.30455727e2, 2.12316300, 2.67873300
2.30884881e2, 2.14581200, 2.68014500
2.31315637e2, 2.16874700, 2.68090600
2.31748002e2, 2.19194400, 2.68099000
2.32181987e2, 2.21536800, 2.68036700
2.32617601e2, 2.23898900, 2.67901300
2.33054852e2, 2.26276700, 2.67690200
2.33493750e2, 2.28666500, 2.67401100
2.33934304e2, 2.31063800, 2.67032200
2.34376524e2, 2.33464400, 2.66581700
2.34820419e2, 2.35863300, 2.66048200
2.35265999e2, 2.38255800, 2.65430800
2.35713272e2, 2.40636500, 2.64728800
2.36162250e2, 2.43000700, 2.63941900
2.36612941e2, 2.45342400, 2.63070300
2.37065356e2, 2.47656800, 2.62114600
2.37519504e2, 2.49938200, 2.61076000
2.37975396e2, 2.52181200, 2.59955900
2.38433041e2, 2.54380600, 2.58756400
2.38892450e2, 2.56531200, 2.57480000
2.39353632e2, 2.58628200, 2.56129500
2.39816598e2, 2.60666700, 2.54708300
2.40281359e2, 2.62642300, 2.53220200
2.40747925e2, 2.64551000, 2.51669200
2.41216306e2, 2.66388900, 2.50059800
2.41686513e2, 2.68152600, 2.48396800
2.42158557e2, 2.69839400, 2.46685100
2.42632449e2, 2.71446500, 2.44930000
2.43108199e2, 2.72972200, 2.43136700
2.43585818e2, 2.74395800, 2.41336500
2.44065318e2, 2.75753700, 2.39483700
2.44546709e2, 2.77026600, 2.37609200
2.45030003e2, 2.78214400, 2.35718600
2.45515210e2, 2.79317400, 2.33817200
2.46002344e2, 2.80336200, 2.31910200
2.46491414e2, 2.81271800, 2.30002800
2.46982433e2, 2.82125900, 2.28099600
2.47475412e2, 2.82899900, 2.26205600
2.47970363e2, 2.83596100, 2.24324800
2.48467297e2, 2.84216600, 2.22461700
2.48966227e2, 2.84764200, 2.20620000
2.49467166e2, 2.85241500, 2.18803200
2.49970124e2, 2.85651500, 2.17014500
2.50475114e2, 2.85997100, 2.15257000
2.50982148e2, 2.86281500, 2.13533100
2.51491240e2, 2.86507900, 2.11845400
2.52002401e2, 2.86679600, 2.10195900
2.52515644e2, 2.86799700, 2.08586300
2.53030982e2, 2.86871700, 2.07018200
2.53548428e2, 2.86898600, 2.05492800
2.54067994e2, 2.86883700, 2.04011200
2.54589695e2, 2.86830100, 2.02574100
2.55113542e2, 2.86740800, 2.01182400
2.55639549e2, 2.86618800, 1.99836200
2.56167730e2, 2.86467100, 1.98535900
2.56698098e2, 2.86288200, 1.97281400
2.57230667e2, 2.86085000, 1.96072900
2.57765450e2, 2.85859900, 1.94910000
2.58302461e2, 2.85615400, 1.93792400
2.58841715e2, 2.85353800, 1.92719800
2.59383224e2, 2.85077400, 1.91691700
2.59927005e2, 2.84788200, 1.90707300
2.60473070e2, 2.84488200, 1.89766300
2.61021434e2, 2.84179200, 1.88867600
2.61572112e2, 2.83863100, 1.88010800
2.62125119e2, 2.83541500, 1.87194900
2.62680469e2, 2.83216000, 1.86419200
2.63238177e2, 2.82887900, 1.85682800
2.63798258e2, 2.82558700, 1.84984900
2.64360728e2, 2.82229700, 1.84324600
2.64925601e2, 2.81902000, 1.83701100
2.65492894e2, 2.81576700, 1.83113400
2.66062621e2, 2.81254900, 1.82560700
2.66634798e2, 2.80937500, 1.82042300
2.67209442e2, 2.80625400, 1.81557200
2.67786569e2, 2.80319500, 1.81104700
2.68366193e2, 2.80020500, 1.80684000
2.68948333e2, 2.79729100, 1.80294200
2.69533003e2, 2.79446000, 1.79934800
2.70120221e2, 2.79171900, 1.79604900
2.70710003e2, 2.78907200, 1.79303900
2.71302366e2, 2.78652500, 1.79031200
2.71897327e2, 2.78408300, 1.78786100
2.72494904e2, 2.78175200, 1.78568100
2.73095113e2, 2.77953500, 1.78376700
2.73697972e2, 2.77743600, 1.78211300
2.74303498e2, 2.77546000, 1.78071500
2.74911710e2, 2.77361100, 1.77957000
2.75522625e2, 2.77189200, 1.77867200
2.76136261e2, 2.77030800, 1.77802000
2.76752637e2, 2.76886100, 1.77761000
2.77371770e2, 2.76755600, 1.77744100
2.77993680e2, 2.76639600, 1.77751000
2.78618385e2, 2.76538500, 1.77781700
2.79245904e2, 2.76452900, 1.77836100
2.79876256e2, 2.76382900, 1.77914300
2.80509460e2, 2.76329300, 1.78016200
2.81145536e2, 2.76292400, 1.78142100
2.81784503e2, 2.76272900, 1.78292100
2.82426381e2, 2.76271300, 1.78466500
2.83071190e2, 2.76288400, 1.78665800
2.83718950e2, 2.76324900, 1.78890300
2.84369682e2, 2.76381800, 1.79140500
2.85023405e2, 2.76460100, 1.79417300
2.85680141e2, 2.76560900, 1.79721100
2.86339911e2, 2.76685500, 1.80053000
2.87002734e2, 2.76835800, 1.80413900
2.87668634e2, 2.77013400, 1.80804700
2.88337631e2, 2.77220500, 1.81226600
2.89009747e2, 2.77459900, 1.81680900
2.89685003e2, 2.77734400, 1.82168600
2.90363422e2, 2.78047800, 1.82691100
2.91045027e2, 2.78404200, 1.83249400
2.91729838e2, 2.78808700, 1.83844300
2.92417880e2, 2.79267100, 1.84476400
2.93109176e2, 2.79786000, 1.85145700
2.93803747e2, 2.80373000, 1.85851200
2.94501618e2, 2.81036700, 1.86591000
2.95202813e2, 2.81786400, 1.87361800
2.95907354e2, 2.82632100, 1.88158500
2.96615266e2, 2.83584000, 1.88973700
2.97326574e2, 2.84652800, 1.89798100
2.98041301e2, 2.85848000, 1.90619300
2.98759473e2, 2.87178500, 1.91422200
2.99481114e2, 2.88651300, 1.92189000
3.00206250e2, 2.90270600, 1.92899000
