wavelength (nm), n, k
2.06641969e2, 2.24000000, 1.65000000
2.08378456e2, 2.35100000, 1.72528000
2.10144375e2, 2.46510000, 1.76624000
2.11940481e2, 2.57970000, 1.77656000
2.13767554e2, 2.69220000, 1.75992000
2.15626402e2, 2.80000000, 1.72000000
2.17517862e2, 2.90060000, 1.66048000
2.19442799e2, 2.99150000, 1.58504000
2.21402109e2, 3.07010000, 1.49736000
2.23396723e2, 3.13380000, 1.40112000
2.25427602e2, 3.18000000, 1.30000000
2.27495745e2, 3.17900000, 1.20248100
2.29602188e2, 3.16230000, 1.10624000
2.31748002e2, 3.13410000, 1.01376000
2.33934304e2, 3.09860000, 9.27520000e-1
2.36162250e2, 3.06000000, 8.50000000e-1
2.38433041e2, 3.03990000, 8.01600000e-1
2.40747925e2, 3.02100000, 7.62400000e-1
2.43108199e2, 3.00300000, 7.30400000e-1
2.45515210e2, 2.98610000, 7.03600000e-1
2.47970363e2, 2.97000000, 6.80000000e-1
2.50475114e2, 2.95570000, 6.48640000e-1
2.53030982e2, 2.94180000, 6.18720000e-1
2.55639549e2, 2.92820000, 5.90480000e-1
2.58302461e2, 2.91430000, 5.64160000e-1
2.61021434e2, 2.90000000, 5.40000000e-1
2.63798258e2, 2.88230000, 5.19840000e-1
2.66634798e2, 2.86420000, 5.01920000e-1
2.69533003e2, 2.84580000, 4.86080000e-1
2.72494904e2, 2.82770000, 4.72160000e-1
2.75522625e2, 2.81000000, 4.60000000e-1
2.78618385e2, 2.79410000, 4.48160000e-1
2.81784503e2, 2.77900000, 4.38080000e-1
2.85023405e2, 2.76500000, 4.29920000e-1
2.88337631e2, 2.75190000, 4.23840000e-1
2.91729838e2, 2.74000000, 4.20000000e-1
2.95202813e2, 2.72480000, 4.26240000e-1
2.98759473e2, 2.71200000, 4.33120000e-1
3.02402881e2, 2.70280000, 4.38880000e-1
3.06136250e2, 2.69840000, 4.41760000e-1
3.09962953e2, 2.70000000, 4.40000000e-1
3.13886535e2, 2.72540000, 4.21600000e-1
3.17910721e2, 2.75510000, 3.97600000e-1
3.22039432e2, 2.78610000, 3.68800000e-1
3.26276793e2, 2.81540000, 3.36000000e-1
3.30627150e2, 2.84000000, 3.00000000e-1
3.35095085e2, 2.84230000, 2.57760000e-1
3.39685428e2, 2.83780000, 2.14880000e-1
3.44403281e2, 2.82700000, 1.73120000e-1
3.49254032e2, 2.81090000, 1.34240000e-1
3.54243375e2, 2.79000000, 1.00000000e-1
3.59377337e2, 2.76320000, 8.36800000e-2
3.64662298e2, 2.73360000, 7.26400000e-2
3.70105019e2, 2.70240000, 6.57600000e-2
3.75712671e2, 2.67080000, 6.19200000e-2
3.81492866e2, 2.64000000, 6.00000000e-2
3.87453692e2, 2.61670000, 5.56800000e-2
3.93603750e2, 2.59520000, 5.18400000e-2
3.99952198e2, 2.57540000, 4.81600000e-2
4.06508791e2, 2.55700000, 4.43200000e-2
4.13283938e2, 2.54000000, 4.00000000e-2
4.20288750e2, 2.52290000, 2.98200000e-2
4.27535108e2, 2.50710000, 1.97850000e-2
4.35035724e2, 2.49270000, 1.08420000e-2
4.42804219e2, 2.47990000, 3.93400000e-3
4.50855205e2, 2.46870000, 7.00000000e-6
4.59204375e2, 2.45930000, 7.00000000e-6
4.67868609e2, 2.45020000, 7.00000000e-6
4.76866082e2, 2.44140000, 6.00000000e-6
4.86216397e2, 2.43300000, 6.00000000e-6
4.95940725e2, 2.42480000, 5.00000000e-6
5.06061964e2, 2.41700000, 4.00000000e-6
5.16604922e2, 2.40940000, 4.00000000e-6
5.27596516e2, 2.40210000, 4.00000000e-6
5.39066006e2, 2.39500000, 4.00000000e-6
5.51045250e2, 2.38820000, 4.00000000e-6
5.63569006e2, 2.38160000, 4.00000000e-6
5.76675262e2, 2.37530000, 4.00000000e-6
5.90405625e2, 2.36920000, 4.00000000e-6
6.04805762e2, 2.36330000, 4.00000000e-6
6.19925906e2, 2.35760000, 4.00000000e-6
6.35821443e2, 2.35200000, 4.00000000e-6
6.52553586e2, 2.34670000, 4.00000000e-6
6.70190169e2, 2.34160000, 4.00000000e-6
6.88806563e2, 2.33670000, 4.00000000e-6
7.08486750e2, 2.33190000, 4.00000000e-6
7.29324596e2, 2.32740000, 4.00000000e-6
7.51425341e2, 2.32290000, 4.00000000e-6
7.74907383e2, 2.31870000, 4.00000000e-6
7.99904395e2, 2.31460000, 4.00000000e-6
8.26567875e2, 2.31070000, 3.00000000e-6
8.55070216e2, 2.30690000, 3.00000000e-6
8.85608438e2, 2.30330000, 3.00000000e-6
9.18408750e2, 2.29980000, 3.00000000e-6
9.53732164e2, 2.29650000, 3.00000000e-6
9.91881450e2, 2.29330000, 3.00000000e-6
1.03320984e3, 2.29030000, 0.00000000
1.07813201e3, 2.28740000, 0.00000000
1.12713801e3, 2.28460000, 0.00000000
1.18081125e3, 2.28200000, 0.00000000
1.23985181e3, 2.27950000, 0.00000000
