wavelength (nm), n, k
1.90746433e2, 2.26368600, 2.36358900
1.92225087e2, 2.31442400, 2.29265500
1.93726846e2, 2.36128600, 2.21032100
1.95252254e2, 2.40412300, 2.11880600
1.96801875e2, 2.44278300, 2.02033400
1.98376290e2, 2.47711400, 1.91712500
1.99976099e2, 2.50696400, 1.81139900
2.01601921e2, 2.53218400, 1.70537900
2.03254396e2, 2.55262100, 1.60128400
2.04934184e2, 2.56946100, 1.49763900
2.06641969e2, 2.57854000, 1.40775700
2.08378456e2, 2.57431700, 1.34875700
2.10144375e2, 2.56210300, 1.30776000
2.11940481e2, 2.54514800, 1.27758900
2.13767554e2, 2.52410100, 1.25825100
2.15626402e2, 2.50040100, 1.24757300
2.17517862e2, 2.47492900, 1.24491800
2.19442799e2, 2.44870200, 1.24929500
2.21402109e2, 2.42276000, 1.25959400
2.23396723e2, 2.39812000, 1.27481200
2.25427602e2, 2.37586700, 1.29363000
2.27495745e2, 2.35719700, 1.31419200
2.29602188e2, 2.34279000, 1.33711000
2.31748002e2, 2.33233900, 1.36398100
2.33934304e2, 2.33000000, 1.39000000
2.36162250e2, 2.34138600, 1.40883100
2.38433041e2, 2.36181500, 1.42667400
2.40747925e2, 2.38849700, 1.44742300
2.43108199e2, 2.42136900, 1.47165600
2.45515210e2, 2.45987200, 1.49812900
2.47970363e2, 2.50270300, 1.53619200
2.50475114e2, 2.54813900, 1.60109900
2.53030982e2, 2.59687100, 1.67388800
2.55639549e2, 2.64721900, 1.75818500
2.58302461e2, 2.70457000, 1.80149200
2.61021434e2, 2.77583600, 1.73946100
2.63798258e2, 2.85476800, 1.61126900
2.66634798e2, 2.93957000, 1.42146900
2.69533003e2, 3.02380400, 1.20959600
2.72494904e2, 3.10217300, 1.00752600
2.75522625e2, 3.16944700, 8.42805000e-1
2.78618385e2, 3.21804500, 7.57822000e-1
2.81784503e2, 3.24972100, 7.39945000e-1
2.85023405e2, 3.25970900, 8.17874000e-1
2.88337631e2, 3.26000000, 9.10000000e-1
2.91729838e2, 3.26243500, 9.31096000e-1
2.95202813e2, 3.26270300, 9.20719000e-1
2.98759473e2, 3.26032400, 8.89213000e-1
3.02402881e2, 3.25565100, 8.38992000e-1
3.06136250e2, 3.24884400, 7.69590000e-1
3.09962953e2, 3.24000000, 7.00000000e-1
3.13886535e2, 3.22919500, 6.55028000e-1
3.17910721e2, 3.21664700, 6.16771000e-1
3.22039432e2, 3.20255300, 5.74221000e-1
3.26276793e2, 3.18705700, 5.31505000e-1
3.30627150e2, 3.17031800, 4.88967000e-1
3.35095085e2, 3.15249300, 4.46951000e-1
3.39685428e2, 3.13431700, 4.05248000e-1
3.44403281e2, 3.11422000, 3.65855000e-1
3.49254032e2, 3.09096800, 3.30447000e-1
3.54243375e2, 3.06429000, 2.99778000e-1
3.59377337e2, 3.03229200, 2.76156000e-1
3.64662298e2, 2.99860500, 2.56599000e-1
3.70105019e2, 2.96627300, 2.38691000e-1
3.75712671e2, 2.93516800, 2.23047000e-1
3.81492866e2, 2.90595600, 2.09525000e-1
3.87453692e2, 2.87930300, 1.97981000e-1
3.93603750e2, 2.85587600, 1.88273000e-1
3.99952198e2, 2.83633900, 1.80259000e-1
4.06508791e2, 2.82135800, 1.73796000e-1
4.13283938e2, 2.81159900, 1.68741000e-1
4.20288750e2, 2.80725900, 1.64818000e-1
4.27535108e2, 2.81041300, 1.62286000e-1
4.35035724e2, 2.82454500, 1.61805000e-1
4.42804219e2, 2.84562300, 1.61894000e-1
4.50855205e2, 2.87665400, 1.63378000e-1
4.59204375e2, 2.90000000, 1.60000000e-1
4.67868609e2, 2.89495800, 1.43873000e-1
4.76866082e2, 2.87372600, 1.20709000e-1
4.86216397e2, 2.83793100, 9.10410000e-2
4.95940725e2, 2.79858000, 6.25180000e-2
5.06061964e2, 2.76903500, 4.44220000e-2
5.16604922e2, 2.74385000, 3.23880000e-2
5.27596516e2, 2.72250400, 2.56250000e-2
5.39066006e2, 2.70358100, 2.26940000e-2
5.51045250e2, 2.68532900, 2.19100000e-2
5.63569006e2, 2.66823600, 2.32140000e-2
5.76675262e2, 2.65222900, 2.61410000e-2
5.90405625e2, 2.63723500, 3.02250000e-2
6.04805762e2, 2.62324700, 3.60370000e-2
6.19925906e2, 2.61000000, 4.00000000e-2
6.35821443e2, 2.59714700, 3.72470000e-2
6.52553586e2, 2.58491900, 3.22150000e-2
6.70190169e2, 2.57346800, 2.80330000e-2
6.88806563e2, 2.56269200, 2.37530000e-2
7.08486750e2, 2.55255100, 1.94460000e-2
7.29324596e2, 2.54300600, 1.51840000e-2
7.51425341e2, 2.53401700, 1.10370000e-2
7.74907383e2, 2.52554600, 7.07600000e-3
7.99904395e2, 2.51755300, 3.03100000e-3
8.26567875e2, 2.51000000, 0.00000000
8.55070216e2, 2.50284700, 0.00000000
8.85608438e2, 2.49605400, 0.00000000
9.18408750e2, 2.48958300, 0.00000000
9.53732164e2, 2.48339400, 0.00000000
9.91881450e2, 2.47744900, 0.00000000
1.03320984e3, 2.47170800, 0.00000000
1.07813201e3, 2.46613100, 0.00000000
1.12713801e3, 2.46068000, 0.00000000
1.18081125e3, 2.45531600, 0.00000000
1.23985181e3, 2.45000000, 0.00000000
