wavelength (nm), n, k
1.96801875e2, 2.46493400, 1.97519200
1.97193131e2, 2.46975500, 1.95604800
1.97585946e2, 2.47390500, 1.93702300
1.97980329e2, 2.47739500, 1.91814800
1.98376290e2, 2.48024200, 1.89944700
1.98773838e2, 2.48246000, 1.88094700
1.99172982e2, 2.48406800, 1.86267300
1.99573732e2, 2.48508300, 1.84464400
1.99976099e2, 2.48552400, 1.82688400
2.00380091e2, 2.48540900, 1.80941000
2.00785719e2, 2.48476000, 1.79224200
2.01192992e2, 2.48359400, 1.77539600
2.01601921e2, 2.48193300, 1.75888600
2.02012515e2, 2.47979600, 1.74272600
2.02424786e2, 2.47720400, 1.72692900
2.02838742e2, 2.47417700, 1.71150700
2.03254396e2, 2.47073500, 1.69646800
2.03671756e2, 2.46689700, 1.68182200
2.04090833e2, 2.46268400, 1.66757800
2.04511639e2, 2.45811400, 1.65374000
2.04934184e2, 2.45320700, 1.64031700
2.05358478e2, 2.44798100, 1.62731300
2.05784533e2, 2.44245300, 1.61473000
2.06212360e2, 2.43664300, 1.60257500
2.06641969e2, 2.43056500, 1.59084900
2.07073372e2, 2.42423800, 1.57955500
2.07506580e2, 2.41767700, 1.56869400
2.07941604e2, 2.41089900, 1.55826700
2.08378456e2, 2.40391700, 1.54827600
2.08817147e2, 2.39674800, 1.53872100
2.09257690e2, 2.38940500, 1.52960300
2.09700095e2, 2.38190200, 1.52092000
2.10144375e2, 2.37425200, 1.51267200
2.10590541e2, 2.36646800, 1.50486000
2.11038606e2, 2.35856300, 1.49748100
2.11488582e2, 2.35054800, 1.49053700
2.11940481e2, 2.34243600, 1.48402500
2.12394315e2, 2.33423700, 1.47794400
2.12850097e2, 2.32596300, 1.47229400
2.13307839e2, 2.31762400, 1.46707400
2.13767554e2, 2.30923100, 1.46228300
2.14229255e2, 2.30079300, 1.45791900
2.14692955e2, 2.29232100, 1.45398300
2.15158666e2, 2.28382500, 1.45047400
2.15626402e2, 2.27531300, 1.44739000
2.16096177e2, 2.26679700, 1.44473200
2.16568002e2, 2.25828400, 1.44249900
2.17041893e2, 2.24978400, 1.44069200
2.17517862e2, 2.24130700, 1.43931000
2.17995923e2, 2.23286200, 1.43835300
2.18476090e2, 2.22445800, 1.43782300
2.18958378e2, 2.21610500, 1.43771900
2.19442799e2, 2.20781100, 1.43804200
2.19929368e2, 2.19958800, 1.43879400
2.20418100e2, 2.19144400, 1.43997500
2.20909009e2, 2.18339100, 1.44158700
2.21402109e2, 2.17543800, 1.44363000
2.21897416e2, 2.16759600, 1.44610800
2.22394944e2, 2.15987700, 1.44902100
2.22894708e2, 2.15229100, 1.45237200
2.23396723e2, 2.14485200, 1.45616200
2.23901005e2, 2.13757100, 1.46039200
2.24407568e2, 2.13046200, 1.46506600
2.24916429e2, 2.12353800, 1.47018500
2.25427602e2, 2.11681400, 1.47575100
2.25941105e2, 2.11030500, 1.48176600
2.26456952e2, 2.10402600, 1.48823100
2.26975160e2, 2.09799500, 1.49514900
2.27495745e2, 2.09222800, 1.50251900
2.28018724e2, 2.08674400, 1.51034300
2.28544113e2, 2.08156200, 1.51862100
2.29071928e2, 2.07670300, 1.52735300
2.29602188e2, 2.07218700, 1.53653900
2.30134907e2, 2.06803700, 1.54617600
2.30670105e2, 2.06427600, 1.55626200
2.31207797e2, 2.06092800, 1.56679400
2.31748002e2, 2.05801900, 1.57776700
2.32290738e2, 2.05557500, 1.58917500
2.32836021e2, 2.05362400, 1.60101200
2.33383871e2, 2.05219500, 1.61326800
2.33934304e2, 2.05131600, 1.62593100
2.34487341e2, 2.05101800, 1.63899100
2.35042998e2, 2.05133200, 1.65243100
2.35601295e2, 2.05229000, 1.66623500
2.36162250e2, 2.05392500, 1.68038200
2.36725883e2, 2.05626900, 1.69484900
2.37292213e2, 2.05935400, 1.70961100
