wavelength (nm), n, k
2.50000000e2, 2.64598700, 0.00000000
2.60000000e2, 2.60254000, 0.00000000
2.70000000e2, 2.56034900, 0.00000000
2.80000000e2, 2.52051800, 0.00000000
2.90000000e2, 2.48387200, 0.00000000
3.00000000e2, 2.45089100, 0.00000000
3.10000000e2, 2.42170800, 0.00000000
3.20000000e2, 2.39615800, 0.00000000
3.30000000e2, 2.37387200, 0.00000000
3.40000000e2, 2.35437300, 0.00000000
3.50000000e2, 2.33717600, 0.00000000
3.60000000e2, 2.32185500, 0.00000000
3.70000000e2, 2.30807400, 0.00000000
3.80000000e2, 2.29560700, 0.00000000
3.90000000e2, 2.28431400, 0.00000000
4.00000000e2, 2.27412500, 0.00000000
4.10000000e2, 2.26500800, 0.00000000
4.20000000e2, 2.25694800, 0.00000000
4.30000000e2, 2.24992500, 0.00000000
4.40000000e2, 2.24390700, 0.00000000
4.50000000e2, 2.23884000, 0.00000000
4.60000000e2, 2.23465100, 0.00000000
4.70000000e2, 2.23124800, 0.00000000
4.80000000e2, 2.22852600, 0.00000000
4.90000000e2, 2.22637100, 0.00000000
5.00000000e2, 2.22466700, 0.00000000
5.10000000e2, 2.22330000, 0.00000000
5.20000000e2, 2.22216400, 0.00000000
5.30000000e2, 2.22116600, 0.00000000
5.40000000e2, 2.22022200, 0.00000000
5.50000000e2, 2.21926600, 0.00000000
5.60000000e2, 2.21824700, 0.00000000
5.70000000e2, 2.21713100, 0.00000000
5.80000000e2, 2.21589700, 0.00000000
5.90000000e2, 2.21453800, 0.00000000
6.00000000e2, 2.21306100, 0.00000000
6.10000000e2, 2.21148000, 0.00000000
6.20000000e2, 2.20981500, 0.00000000
6.30000000e2, 2.20809000, 0.00000000
6.40000000e2, 2.20632700, 0.00000000
6.50000000e2, 2.20454900, 0.00000000
6.60000000e2, 2.20277400, 0.00000000
6.70000000e2, 2.20101700, 0.00000000
6.80000000e2, 2.19928800, 0.00000000
6.90000000e2, 2.19759500, 0.00000000
7.00000000e2, 2.19594200, 0.00000000
7.10000000e2, 2.19433000, 0.00000000
7.20000000e2, 2.19276000, 0.00000000
7.30000000e2, 2.19123200, 0.00000000
7.40000000e2, 2.18974700, 0.00000000
7.50000000e2, 2.18830300, 0.00000000
7.60000000e2, 2.18689900, 0.00000000
7.70000000e2, 2.18553100, 0.00000000
7.80000000e2, 2.18419200, 0.00000000
7.90000000e2, 2.18287300, 0.00000000
8.00000000e2, 2.18156000, 0.00000000
8.10000000e2, 2.18024200, 0.00000000
8.20000000e2, 2.17891100, 0.00000000
8.30000000e2, 2.17756200, 0.00000000
8.40000000e2, 2.17619700, 0.00000000
8.50000000e2, 2.17482200, 0.00000000
