wavelength (nm), n, k
4.13283938e2, 2.71000000, 2.96000000
4.27535108e2, 2.79000000, 2.95000000
4.42804219e2, 2.86000000, 3.05000000
4.59204375e2, 2.92000000, 3.11000000
4.76866082e2, 3.04000000, 3.11000000
4.95940725e2, 3.23000000, 3.15000000
5.16604922e2, 3.26000000, 3.16000000
5.39066006e2, 3.33000000, 3.18000000
5.63569006e2, 3.44000000, 3.16000000
5.90405625e2, 3.55000000, 3.28000000
6.19925906e2, 3.66000000, 3.11000000
6.52553586e2, 3.70000000, 3.27000000
6.88806563e2, 3.91000000, 3.36000000
