wl (m),n,k
0.00000021,1.831,-8.69E-10
0.00000022,1.817,-6.83E-10
0.00000023,1.805,-4.76E-10
0.00000024,1.793,-3.63E-10
0.00000025,1.789,-3.18E-10
0.00000026,1.779,-2.07E-10
0.00000027,1.776,-8.59E-11
0.00000028,1.772,-2.23E-11
0.00000029,1.767,2.31E-11
0.0000003,1.762,1.67E-10
0.00000031,1.762,2.47E-10
0.00000032,1.762,3.06E-10
0.00000033,1.761,3.41E-10
0.00000034,1.76,3.79E-10
0.00000035,1.758,4.18E-10
0.00000036,1.757,4.87E-10
0.00000037,1.757,5.30E-10
0.00000038,1.757,5.44E-10
0.00000039,1.757,5.90E-10
0.0000004,1.756,6.05E-10
0.00000041,1.755,6.20E-10
0.00000042,1.754,6.35E-10
0.00000043,1.754,6.84E-10
0.00000044,1.754,7.35E-10
0.00000045,1.754,7.52E-10
0.00000046,1.754,7.69E-10
0.00000047,1.754,7.85E-10
0.00000048,1.754,8.02E-10
0.00000049,1.754,8.19E-10
0.0000005,1.754,8.36E-10
0.00000051,1.753,8.52E-10
0.00000052,1.753,8.69E-10
0.00000053,1.753,8.44E-10
0.00000054,1.753,9.02E-10
0.00000055,1.753,9.19E-10
0.00000056,1.752,8.91E-10
0.00000057,1.752,9.53E-10
0.00000058,1.752,9.23E-10
0.00000059,1.752,9.39E-10
0.0000006,1.752,9.55E-10
0.00000061,1.751,9.71E-10
0.00000062,1.751,1.04E-09
0.00000063,1.751,1.00E-09
0.00000064,1.751,1.02E-09
0.00000065,1.751,1.03E-09
0.00000066,1.751,1.05E-09
0.00000067,1.751,1.07E-09
0.00000068,1.751,1.08E-09
0.00000069,1.751,1.15E-09
0.0000007,1.751,1.11E-09
0.00000071,1.751,1.13E-09
0.00000072,1.751,1.15E-09
0.00000073,1.75,1.16E-09
0.00000074,1.75,1.18E-09
0.00000075,1.75,1.19E-09
0.00000076,1.75,1.21E-09
0.00000077,1.75,1.23E-09
0.00000078,1.75,1.24E-09
0.00000079,1.75,1.26E-09
0.0000008,1.75,1.27E-09
0.00000081,1.75,1.29E-09
0.00000082,1.75,1.31E-09
0.00000083,1.75,1.32E-09
0.00000084,1.75,1.34E-09
0.00000085,1.75,1.35E-09
0.00000086,1.75,1.37E-09
0.00000087,1.75,1.38E-09
0.00000088,1.75,1.40E-09
0.00000089,1.75,1.42E-09
0.0000009,1.75,1.43E-09
0.00000091,1.75,1.45E-09
0.00000092,1.75,1.46E-09
0.00000093,1.75,1.48E-09
0.00000094,1.75,1.50E-09
0.00000095,1.75,1.51E-09
0.00000096,1.75,1.53E-09
