wl (m),n,k
1.76E-08,0.8953,0.0592
1.77E-08,0.8936,0.0599
1.78E-08,0.8926,0.0605
1.80E-08,0.891,0.0617
1.81E-08,0.8893,0.0624
1.82E-08,0.8883,0.0636
1.84E-08,0.8866,0.0643
1.85E-08,0.885,0.065
1.86E-08,0.8834,0.0662
1.88E-08,0.8812,0.067
1.89E-08,0.8796,0.0682
1.91E-08,0.8774,0.069
1.92E-08,0.8757,0.0702
1.94E-08,0.8735,0.071
1.95E-08,0.8713,0.0723
1.97E-08,0.8686,0.0737
1.98E-08,0.8664,0.075
2.00E-08,0.8636,0.0764
2.02E-08,0.8608,0.0778
2.03E-08,0.8581,0.0792
2.05E-08,0.8547,0.0807
2.07E-08,0.8513,0.0822
2.08E-08,0.848,0.0843
2.10E-08,0.8447,0.0864
2.12E-08,0.8407,0.0886
2.14E-08,0.8368,0.0908
2.16E-08,0.8323,0.0937
2.18E-08,0.8278,0.096
2.19E-08,0.8228,0.0997
2.21E-08,0.8177,0.1033
2.23E-08,0.8127,0.1071
2.25E-08,0.8065,0.1116
2.27E-08,0.801,0.1167
2.30E-08,0.7943,0.1221
2.32E-08,0.7878,0.1288
2.34E-08,0.7814,0.1363
2.36E-08,0.7739,0.1447
2.38E-08,0.7667,0.1546
2.41E-08,0.7601,0.1664
2.43E-08,0.7537,0.1791
2.46E-08,0.7476,0.1946
2.48E-08,0.7429,0.212
2.50E-08,0.7399,0.2311
2.53E-08,0.7396,0.2529
2.56E-08,0.7427,0.2767
2.58E-08,0.7502,0.3013
2.61E-08,0.7635,0.3255
2.64E-08,0.7825,0.3483
2.67E-08,0.8069,0.3662
2.70E-08,0.8355,0.3782
2.72E-08,0.8656,0.3824
2.76E-08,0.8945,0.3784
2.79E-08,0.9196,0.367
2.82E-08,0.9383,0.3512
2.85E-08,0.9499,0.3321
2.88E-08,0.9542,0.3139
2.92E-08,0.9528,0.2981
2.95E-08,0.9458,0.2855
2.99E-08,0.936,0.2778
3.02E-08,0.9235,0.2756
3.06E-08,0.9106,0.2795
3.10E-08,0.8989,0.2898
3.14E-08,0.8902,0.3072
3.18E-08,0.8887,0.3314
3.22E-08,0.8978,0.3592
3.26E-08,0.9209,0.386
3.31E-08,0.9576,0.4036
3.35E-08,1.0026,0.404
3.40E-08,1.0454,0.3845
3.44E-08,1.0752,0.3506
3.49E-08,1.0893,0.3108
3.54E-08,1.0892,0.2727
3.59E-08,1.0794,0.2409
3.65E-08,1.064,0.2148
3.70E-08,1.046,0.195
3.76E-08,1.0264,0.1802
3.81E-08,1.0063,0.1694
3.87E-08,0.986,0.1618
3.94E-08,0.9652,0.157
4.00E-08,0.9448,0.154
4.07E-08,0.9244,0.1536
4.13E-08,0.9033,0.155
4.20E-08,0.8826,0.1581
4.28E-08,0.8607,0.1638
4.35E-08,0.8394,0.1721
4.43E-08,0.8177,0.1834
4.51E-08,0.7965,0.1984
4.59E-08,0.7781,0.2178
4.68E-08,0.766,0.2402
4.77E-08,0.7612,0.2614
4.86E-08,0.7618,0.2744
4.96E-08,0.7589,0.2774
5.06E-08,0.745,0.2758
5.17E-08,0.7213,0.278
5.28E-08,0.6913,0.2879
5.39E-08,0.6588,0.3051
5.51E-08,0.6253,0.3302
5.64E-08,0.5933,0.3633
5.77E-08,0.5632,0.404
5.90E-08,0.5362,0.4522
6.05E-08,0.5163,0.5085
6.20E-08,0.5043,0.5721
6.36E-08,0.5047,0.6409
6.53E-08,0.5256,0.7115
6.70E-08,0.5701,0.7596
6.89E-08,0.5974,0.77
7.08E-08,0.5887,0.7916
7.29E-08,0.5813,0.8396
7.51E-08,0.5868,0.8963
7.75E-08,0.6039,0.9538
8.00E-08,0.6288,1.0082
8.27E-08,0.6596,1.0574
8.55E-08,0.6934,1.1004
8.86E-08,0.7264,1.1365
9.18E-08,0.7554,1.1669
9.54E-08,0.7768,1.1947
9.92E-08,0.7885,1.2251
1.03E-07,0.791,1.2636
1.08E-07,0.7868,1.3168
1.13E-07,0.78,1.3904
1.18E-07,0.7779,1.4964
1.24E-07,0.8091,1.6717
1.31E-07,1.2024,1.8118
1.38E-07,1.047,1.5196
1.46E-07,0.9647,1.6612
1.55E-07,0.976,1.8013
1.65E-07,1.0188,1.9352
1.77E-07,1.0804,2.066
1.91E-07,1.1551,2.1946
2.07E-07,1.2376,2.3209
2.25E-07,1.321,2.4458
2.48E-07,1.3938,2.5746
2.61E-07,1.4215,2.644
2.76E-07,1.4408,2.7204
2.92E-07,1.4497,2.8078
3.10E-07,1.4463,2.9115
3.31E-07,1.4296,3.0382
3.54E-07,1.3995,3.1965
3.81E-07,1.3568,3.3965
4.13E-07,1.3038,3.6501
4.51E-07,1.244,3.9712
4.96E-07,1.1813,4.3778
5.51E-07,1.1201,4.8932
6.20E-07,1.0643,5.5518
7.08E-07,1.0177,6.4073
8.27E-07,0.9843,7.5506
9.92E-07,0.9704,9.1467
1.24E-06,0.989,11.5283
1.65E-06,1.0782,15.4738
2.48E-06,1.3916,23.3183
0.0000025,1.3499202,14.23958
0.00000267,1.4802727,15.240124
0.00000286,1.6348171,16.359682
0.00000308,1.8209204,17.640057
0.00000333,2.0587589,19.120563
0.00000364,2.3469537,20.845754
0.000004,2.6799222,22.915456
0.00000444,3.1932058,25.461819
0.000005,3.9020861,28.57704
0.00000571,4.9008382,32.510917
0.00000667,6.4122619,37.643719
0.000008,8.7691085,44.613332
0.00001,12.931507,54.673721
0.0000111,15.61576,59.926459
0.0000125,19.058763,66.350003
0.0000143,24.23852,73.949845
0.0000167,31.493393,82.79423
0.00002,41.721911,93.122866
0.0000222,48.392026,98.921392
0.000025,56.42849,105.16669
0.0000286,66.1388,111.86857
0.0000333,77.867703,119.08288
0.00004,92.016211,127.08528
0.0000444,100.17673,131.63028
0.00005,109.23359,136.82885
0.0000571,119.43744,143.08774
0.0000667,131.25365,151.08524
0.00008,145.5884,161.9815
0.0001,164.07966,177.86128
0.000125,184.49663,196.87085
